B03012	C09486
B05516	C10871
B04644	C00185
B00345	C01756
B03102	C09583
B04983	C05138
B02753	C09187
B00308	C01502
B02784	C09228
B01394	C01152
B05061	C05489
B00290	C01444
B01980	C06173
B02791	C09237
B05049	C05474
B03248	C09750
B04671	C00332
B01864	C05488
B03529	C10088
B04280	C11638
B01947	C06002
B00610	C03600
B04863	C02741
B03373	C09911
B03809	C10396
B00621	C03682
B05139	C05924
B04573	C13482
B04640	C00143
B05089	C05655
B00527	C03012
B02833	C09289
B05434	C10353
B03247	C09748
B02263	C08609
B00885	C05986
B01325	C00750
B01616	C02991
B00455	C02502
B04921	C04036
B02416	C08795
B03100	C09581
B00144	C00596
B03863	C10458
B03888	C10483
B02211	C08541
B04339	C11860
B01703	C03944
B04488	C12405
B00773	C05413
B04904	C03589
B03059	C09537
B00436	C02378
B03176	C09663
B03787	C10374
B00766	C05332
B04771	C01120
B04433	C12139
B04566	C13044
B04914	C03794
B02804	C09256
B02501	C08893
B04888	C03319
B04325	C11817
B05292	C08799
B00465	C02612
B03115	C09597
B03890	C10485
B04037	C10660
B02790	C09236
B01449	C01433
B05619	C12215
B04197	C10893
B01476	C01673
B02399	C08777
B00883	C05979
B02014	C06417
B00972	C06560
B03018	C09492
B05534	C11523
B02350	C08717
B01892	C05773
B03589	C10152
B02351	C08718
B05541	C11635
B02375	C08750
B02192	C08521
B04442	C12154
B01201	C00255
B04676	C00392
B04309	C11681
B02235	C08577
B00223	C01024
B00496	C02763
B00759	C05175
B00571	C03263
B00165	C00747
B00831	C05663
B05562	C11919
B02333	C08691
B01209	C00296
B02802	C09254
B04975	C05086
B01785	C04752
B00562	C03219
B02412	C08791
B01836	C05294
B03335	C09867
B00135	C00571
B01505	C01829
B03570	C10132
B01735	C04352
B04163	C10829
B01953	C06029
B03076	C09555
B03609	C10176
B00234	C01066
B01916	C05927
B04646	C00191
B01204	C00275
B01661	C03451
B02507	C08899
B03595	C10161
B04927	C04106
B02515	C08909
B01305	C00669
B04304	C11673
B03123	C09606
B04591	C13821
B03241	C09742
B04967	C04848
B02382	C08757
B00683	C04133
B02229	C08568
B00203	C00933
B02413	C08792
B05021	C05427
B04524	C12459
B00488	C02717
B00957	C06383
B02725	C09155
B00298	C01474
B00281	C01387
B00577	C03338
B04005	C10624
B05360	C09547
B03265	C09767
B00859	C05830
B02510	C08902
B00383	C02008
B04980	C05111
B05436	C10416
B03882	C10477
B01507	C01850
B00990	C06601
B03854	C10448
B03300	C09803
B00543	C03113
B05004	C05276
B00047	C00164
B01611	C02906
B03901	C10497
B03820	C10407
B03821	C10408
B05464	C10696
B03918	C10515
B04527	C12474
B01983	C06176
B05094	C05683
B03667	C10242
B04514	C12434
B02363	C08731
B04183	C10879
B05596	C11979
B05392	C09880
B03125	C09608
B05445	C10571
B02466	C08857
B01326	C00761
B00163	C00740
B00647	C03864
B04758	C01037
B05620	C12246
B01838	C05298
B02913	C09379
B03297	C09800
B03670	C10245
B03934	C10535
B03048	C09525
B02089	C06688
B04498	C12415
B00227	C01042
B02590	C08990
B04028	C10650
B04353	C11874
B01081	C07214
B05501	C10855
B00909	C06145
B01651	C03329
B02488	C08880
B02572	C08970
B01146	C00068
B01523	C01967
B00545	C03134
B04412	C12041
B05297	C08905
B03019	C09493
B02732	C09164
B00030	C00113
B02164	C08320
B02463	C08854
B03923	C10522
B02536	C08931
B03781	C10368
B01076	C07208
B03869	C10464
B01237	C00408
B03487	C10044
B01811	C05131
B04915	C03838
B05359	C09527
B02719	C09148
B04243	C11397
B05572	C11929
B02255	C08600
B00704	C04350
B03113	C09595
B04953	C04700
B02451	C08841
B01818	C05174
B00634	C03758
B02274	C08620
B05625	C12300
B04261	C11419
B01630	C03089
B03071	C09550
B01535	C02129
B04612	C13918
B02317	C08669
B04060	C10686
B01865	C05500
B05478	C10758
B05624	C12298
B04228	C11360
B04910	C03684
B03311	C09832
B03414	C09960
B05414	C10085
B04655	C00257
B00146	C00616
B01150	C00078
B05270	C08627
B01089	C07478
B02654	C09065
B02509	C08901
B04508	C12428
B04923	C04052
B01187	C00199
B01006	C06637
B05575	C11932
B01071	C07111
B02696	C09119
B02780	C09224
B05090	C05656
B00794	C05575
B02891	C09354
B01517	C01912
B00336	C01717
B01097	C07725
B00866	C05842
B00768	C05341
B03332	C09864
B01792	C04807
B02388	C08763
B03573	C10135
B01080	C07213
B05634	C12392
B03303	C09806
B00507	C02835
B04942	C04454
B03859	C10453
B00709	C04409
B05357	C09497
B03485	C10042
B01619	C03004
B02230	C08569
B02759	C09196
B00864	C05838
B04706	C00620
B01849	C05376
B02994	C09467
B02079	C06635
B00554	C03178
B01641	C03227
B02440	C08830
B02867	C09328
B00492	C02726
B04845	C02262
B01068	C07101
B00852	C05813
B02676	C09091
B03353	C09890
B04569	C13358
B04160	C10826
B05686	C13947
B03507	C10065
B05108	C05714
B02700	C09124
B01964	C06079
B03153	C09640
B03850	C10444
B03607	C10174
B00325	C01586
B03949	C10551
B05200	C06467
B03285	C09788
B03832	C10424
B01454	C01460
B02653	C09063
B01728	C04271
B01414	C01226
B01154	C00082
B01308	C00679
B02268	C08614
B04123	C10787
B04485	C12402
B02767	C09207
B03725	C10305
B00109	C00429
B01967	C06086
B03117	C09599
B02692	C09115
B00503	C02800
B03577	C10139
B05385	C09836
B03937	C10538
B03276	C09779
B05473	C10749
B03392	C09934
B03673	C10248
B01224	C00355
B03810	C10397
B02103	C06973
