CHEMBL1201666	DB00001
CHEMBL1201577	DB00002
CHEMBL1201431	DB00003
CHEMBL1201550	DB00004
CHEMBL1201572	DB00005
CHEMBL2103749	DB00006
CHEMBL1201199	DB00007
CHEMBL1201560	DB00008
CHEMBL1201593	DB00009
CHEMBL2108509	DB00011
CHEMBL1201566	DB00012
CHEMBL1201420	DB00013
CHEMBL1201247	DB00014
CHEMBL2107885	DB00015
CHEMBL1201565	DB00016
CHEMBL2109047	DB00018
CHEMBL1201568	DB00019
CHEMBL1201670	DB00020
CHEMBL1201561	DB00022
CHEMBL2108989	DB00023
CHEMBL1201533	DB00024
CHEMBL2108175	DB00025
CHEMBL1201570	DB00026
CHEMBL557217	DB00027
CHEMBL2108250	DB00029
CHEMBL2108791	DB00031
CHEMBL2108427	DB00032
CHEMBL1201564	DB00033
CHEMBL1429	DB00035
CHEMBL1201573	DB00038
CHEMBL1201821	DB00039
CHEMBL266481	DB00040
CHEMBL1201438	DB00041
CHEMBL1201569	DB00042
CHEMBL1201589	DB00043
CHEMBL1201419	DB00044
CHEMBL1201538	DB00046
CHEMBL1201497	DB00047
CHEMBL1201594	DB00049
CHEMBL1200490	DB00050
CHEMBL1201580	DB00051
CHEMBL1201621	DB00052
CHEMBL1201632	DB00053
CHEMBL1201584	DB00054
CHEMBL1201506	DB00056
CHEMBL1743091	DB00057
CHEMBL2108546	DB00059
CHEMBL1201562	DB00060
CHEMBL1201514	DB00061
CHEMBL1201451	DB00062
CHEMBL1174	DB00063
CHEMBL1201581	DB00065
CHEMBL1201692	DB00066
CHEMBL373742	DB00067
CHEMBL1201563	DB00068
CHEMBL1201557	DB00069
CHEMBL1201636	DB00070
CHEMBL1201585	DB00072
CHEMBL1201576	DB00073
CHEMBL1201439	DB00074
CHEMBL1201608	DB00075
CHEMBL387675	DB00080
CHEMBL1201604	DB00081
CHEMBL1201515	DB00082
CHEMBL2108074	DB00085
CHEMBL2108147	DB00086
CHEMBL1201587	DB00087
CHEMBL1201633	DB00088
CHEMBL2108285	DB00089
CHEMBL1201595	DB00090
CHEMBL160	DB00091
CHEMBL1201571	DB00092
CHEMBL3185126	DB00093
CHEMBL1201520	DB00094
CHEMBL1201575	DB00095
CHEMBL1201464	DB00097
CHEMBL1201567	DB00099
CHEMBL1201556	DB00102
CHEMBL2108888	DB00103
CHEMBL1680	DB00104
CHEMBL1252	DB00106
CHEMBL395429	DB00107
CHEMBL1201607	DB00108
CHEMBL525076	DB00109
CHEMBL1201586	DB00110
CHEMBL1201605	DB00111
CHEMBL1201583	DB00112
CHEMBL2108253	DB00113
CHEMBL82202	DB00114
CHEMBL2110563	DB00115
CHEMBL2021342	DB00116
CHEMBL17962	DB00117
CHEMBL1088977	DB00118
CHEMBL1162144	DB00119
CHEMBL301523	DB00120
CHEMBL857	DB00121
CHEMBL920	DB00122
CHEMBL8085	DB00123
CHEMBL1485	DB00125
CHEMBL196	DB00126
CHEMBL23194	DB00127
CHEMBL274323	DB00128
CHEMBL446143	DB00129
CHEMBL930	DB00130
CHEMBL752	DB00131
CHEMBL8739	DB00132
CHEMBL11298	DB00133
CHEMBL42336	DB00134
CHEMBL925	DB00135
CHEMBL846	DB00136
CHEMBL173929	DB00137
CHEMBL590540	DB00138
CHEMBL576	DB00139
CHEMBL1534	DB00140
CHEMBL447878	DB00141
CHEMBL575060	DB00142
CHEMBL1543	DB00143
CHEMBL773	DB00145
CHEMBL1040	DB00146
CHEMBL102970	DB00147
CHEMBL283800	DB00148
CHEMBL291962	DB00149
CHEMBL54976	DB00150
CHEMBL863	DB00151
CHEMBL1547	DB00152
CHEMBL1536	DB00153
CHEMBL465183	DB00154
CHEMBL444814	DB00155
CHEMBL291747	DB00156
CHEMBL1622	DB00158
CHEMBL460026	DB00159
CHEMBL279597	DB00160
CHEMBL43068	DB00161
CHEMBL986	DB00162
CHEMBL47	DB00163
CHEMBL1364	DB00165
CHEMBL134342	DB00166
CHEMBL1233584	DB00167
CHEMBL171679	DB00168
CHEMBL1042	DB00169
CHEMBL590	DB00170
CHEMBL14249	DB00171
CHEMBL54922	DB00172
CHEMBL226345	DB00173
CHEMBL58832	DB00174
CHEMBL1144	DB00175
CHEMBL814	DB00176
CHEMBL1069	DB00177
CHEMBL1168	DB00178
CHEMBL313972	DB00179
CHEMBL1512	DB00180
CHEMBL701	DB00181
CHEMBL405	DB00182
CHEMBL1328	DB00183
CHEMBL3	DB00184
CHEMBL580	DB00186
CHEMBL768	DB00187
CHEMBL325041	DB00188
CHEMBL591	DB00189
CHEMBL1201236	DB00190
CHEMBL1574	DB00191
CHEMBL1201242	DB00192
CHEMBL1066	DB00193
CHEMBL1090	DB00194
CHEMBL423	DB00195
CHEMBL106	DB00196
CHEMBL408	DB00197
CHEMBL1229	DB00198
CHEMBL532	DB00199
CHEMBL2103737	DB00200
CHEMBL113	DB00201
CHEMBL703	DB00202
CHEMBL192	DB00203
CHEMBL473	DB00204
CHEMBL36	DB00205
CHEMBL772	DB00206
CHEMBL529	DB00207
CHEMBL833	DB00208
