CHEMBL72275	C16435
CHEMBL3706540	C16551
CHEMBL429432	C19642
CHEMBL533	C07753
CHEMBL1640	C19307
CHEMBL1614877	C06421;C00185
CHEMBL1231670	C06422;C00185
CHEMBL1425	C01756;C02380
CHEMBL1565335	C18499
CHEMBL2079384	C17667
CHEMBL487185	C18502
CHEMBL806	C07653
CHEMBL408706	C05138
CHEMBL463165	C09187
CHEMBL13766	C15572;C01502
CHEMBL1689802	C09228
CHEMBL3251670	C01152
CHEMBL15976	C01444
CHEMBL12160	C07448
CHEMBL1159526	C00446;C01171;C03384
CHEMBL1318110	C06173
CHEMBL403893	C06173
CHEMBL1200559	C01432
CHEMBL253144	C05488
CHEMBL187043	C10088
CHEMBL168552	C14181
CHEMBL2313154	C10937
CHEMBL1234380	C16364
CHEMBL1240833	C20229
CHEMBL2333962	C20343
CHEMBL470059	C10396
CHEMBL464983	C16525
CHEMBL3109286	C13482
CHEMBL260876	C14415
CHEMBL1338613	C19228
CHEMBL1527556	C19175
CHEMBL1201064	C14629
CHEMBL389051	C11737
CHEMBL239716	C21721
CHEMBL1221692	C12038
CHEMBL1234270	C00143
CHEMBL3274193	C00143
CHEMBL549963	C05721
CHEMBL1200530	C08106
CHEMBL204543	C03012
CHEMBL136356	C09289
CHEMBL1917176	C17790
CHEMBL39476	C19788
CHEMBL4167757	C12183
CHEMBL2145254	C18608
CHEMBL1181451	C08269
CHEMBL1763	C07763
CHEMBL1200813	C07677
CHEMBL452492	C09748
CHEMBL2359253	C08609
CHEMBL1563026	C05986
CHEMBL23194	C00750
CHEMBL417675	C16512
CHEMBL662	C02502
CHEMBL1206059	C04036
CHEMBL235428	C09581
CHEMBL2152487	C10458
CHEMBL2110577	C21595
CHEMBL1988265	C05413
CHEMBL2252194	C18452
CHEMBL267894	C07536
CHEMBL2288023	C16462
CHEMBL509106	C09537
CHEMBL1046	C02378
CHEMBL3120654	C09663
CHEMBL452754	C10374
CHEMBL1076479	C21736
CHEMBL103010	C21050;C01825;C15923;C21032
CHEMBL610	C05332
CHEMBL494132	C06446
CHEMBL78494	C01120
CHEMBL1784264	C12139
CHEMBL1406148	C13044
CHEMBL15245	C09256
CHEMBL4212545	C11817
CHEMBL194378	C07576
CHEMBL1446	C08046
CHEMBL793	C16359
CHEMBL551160	C08799
CHEMBL1163012	C08799
CHEMBL3181810	C20360
CHEMBL1201195	C08103
CHEMBL22533	C10660
CHEMBL519266	C09236
CHEMBL1221	C08076
CHEMBL160871	C07240
CHEMBL163	C07240
CHEMBL1606435	C14448
CHEMBL1589904	C01433
CHEMBL1081584	C01433
CHEMBL2135791	C01433
CHEMBL2251310	C18782
CHEMBL1882342	C11002
CHEMBL170408	C14405
CHEMBL437412	C10893
CHEMBL2356993	C14667
CHEMBL498270	C13784
CHEMBL1897483	C18562
CHEMBL2220567	C20166
CHEMBL100940	C20166
CHEMBL297508	C01673
CHEMBL3351073	C01673
CHEMBL4068172	C01673
CHEMBL846	C01673
CHEMBL2131954	C18456
CHEMBL14687	C05979
CHEMBL359965	C07600
CHEMBL1232398	C06417
CHEMBL1872965	C06560
CHEMBL4127442	C18838
CHEMBL1394708	C11523
CHEMBL3184315	C11523
CHEMBL130493	C08717
CHEMBL291890	C00636;C01171
CHEMBL510139	C16765
CHEMBL575125	C08521
CHEMBL94657	C12154
CHEMBL1620144	C12842
CHEMBL1534	C00255
CHEMBL479579	C00563
CHEMBL418012	C00563
CHEMBL1318812	C00563
CHEMBL44628	C18141
CHEMBL689	C00392
CHEMBL9249	C12316
CHEMBL273676	C01024
CHEMBL1311	C07714
CHEMBL1922602	C05175
CHEMBL1743304	C07639
CHEMBL326602	C05771
CHEMBL1231891	C03263
CHEMBL272485	C14214
CHEMBL266158	C00747
CHEMBL1094974	C20183
CHEMBL11	C07049
CHEMBL1731	C07221
CHEMBL1730239	C14530
CHEMBL465398	C00296
CHEMBL386389	C05086
CHEMBL1546388	C10921
CHEMBL1864812	C10908
CHEMBL446036	C19440
CHEMBL2152260	C16839
CHEMBL1794762	C00571
CHEMBL3188645	C18953
CHEMBL1624	C01829
CHEMBL203187	C11227
CHEMBL1324326	C13254
CHEMBL2087618	C11527
CHEMBL1201058	C12554
CHEMBL280558	C18774
CHEMBL2219815	C10132
CHEMBL464724	C10829
CHEMBL2107072	C11771
CHEMBL1330194	C19310
CHEMBL358320	C03189
CHEMBL117545	C19446
CHEMBL1556805	C11601
CHEMBL518701	C17163
CHEMBL3182004	C18541
CHEMBL221886	C00494
CHEMBL1201118	C08104
CHEMBL3039425	C01594
CHEMBL312163	C10176
CHEMBL470062	C16308
CHEMBL34259	C01937
CHEMBL363919	C01066
CHEMBL327134	C16972
CHEMBL1159524	C00191;C08350
CHEMBL496672	C00191;C08350
CHEMBL811	C06857
CHEMBL3182119	C14505
CHEMBL4296692	C00275
CHEMBL402001	C00275
CHEMBL1770687	C08899
CHEMBL1522291	C10161
CHEMBL446873	C21195;C11842
CHEMBL412516	C20865
CHEMBL1169820	C08909
CHEMBL215226	C17703
CHEMBL448502	C17094
CHEMBL1200539	C08129
CHEMBL460831	C00669
CHEMBL1399702	C15586;C01736
CHEMBL184398	C13621
CHEMBL1627631	C14483
CHEMBL166415	C19270
CHEMBL2028283	C18808
CHEMBL460031	C11673
CHEMBL462318	C09606
CHEMBL2106073	C13821
CHEMBL472016	C08757
CHEMBL3184763	C18465
CHEMBL502135	C00181;C02205;C01394;C02096
CHEMBL421701	C18391
CHEMBL1229073	C19780
CHEMBL46	C07325
CHEMBL10372	C01865
CHEMBL156339	C17847
CHEMBL3251854	C14059
CHEMBL206555	C02717
CHEMBL3739883	C16281
CHEMBL124518	C09155
CHEMBL55814	C01474
CHEMBL134886	C01387
CHEMBL4102748	C03338
CHEMBL41873	C11033
CHEMBL3185544	C08902
CHEMBL1330588	C19265
CHEMBL23629	C13701
CHEMBL96712	C04580
CHEMBL369611	C18588
CHEMBL17001	C10477
CHEMBL84685	C14444
CHEMBL324842	C01850
CHEMBL1234169	C19773
CHEMBL453291	C06348
CHEMBL4207816	C10448
CHEMBL132722	C13740
CHEMBL3939799	C09803;C17449
CHEMBL1314522	C09803
