CHEMBL443014	D01270
CHEMBL539163	D06003
CHEMBL1090089	D08963
CHEMBL16264	D01772
CHEMBL2104251	D07893
CHEMBL190461	D10915
CHEMBL278703	D09899
CHEMBL65375	D10467
CHEMBL1440	D00201
CHEMBL1485984	D00201
CHEMBL198	D00201
CHEMBL332524	D02204
CHEMBL405821	D06640
CHEMBL4297223	D11408
CHEMBL1822916	D03937
CHEMBL2104888	D04537
CHEMBL542581	D05453
CHEMBL343448	D06637
CHEMBL1201782	D06597
CHEMBL2107148	D02674
CHEMBL2104689	D03078
CHEMBL2107266	D04679
CHEMBL2106202	D01463
CHEMBL1484857	D07060
CHEMBL106258	D02909
CHEMBL836	D08560
CHEMBL2103828	D09607
CHEMBL1487672	D10852
CHEMBL2104640	D02278
CHEMBL2106705	D04125
CHEMBL290916	D01552
CHEMBL2104984	D06647
CHEMBL39736	D00595
CHEMBL3185827	D01489
CHEMBL2104472	D10216
CHEMBL504088	D03090
CHEMBL1200796	D00287
CHEMBL3693786	D10918
CHEMBL178	D07776
CHEMBL9659	D07776
CHEMBL122079	D04735
CHEMBL2105322	D07375
CHEMBL1201172	D01979
CHEMBL1201291	D01761
CHEMBL1713	D00789
CHEMBL1079604	D00773
CHEMBL2105282	D02573
CHEMBL3189100	D10033
CHEMBL2105715	D09871
CHEMBL1818442	D10089
CHEMBL62193	D01142
CHEMBL629	D07448
CHEMBL1200814	D01196
CHEMBL2106977	D04984
CHEMBL2105731	D10116
CHEMBL1200379	D01008
CHEMBL3544909	D00122
CHEMBL3301680	D06057
CHEMBL2106338	D04535
CHEMBL1256723	D07877
CHEMBL1356352	D07877
CHEMBL1574167	D07877
CHEMBL3188549	D07995
CHEMBL23588	D01581
CHEMBL1627056	D03875
CHEMBL1095	D00708
CHEMBL2106570	D01315
CHEMBL1621082	D00277
CHEMBL1753	D00277
CHEMBL1200446	D02091
CHEMBL1200586	D01243
CHEMBL111	D05731
CHEMBL6608	D07901;D03899
CHEMBL417	D07901
CHEMBL428676	D10090
CHEMBL3707349	D10903
CHEMBL4297222	D11434
CHEMBL494892	D03071
CHEMBL1800807	D08855
CHEMBL2106484	D03549
CHEMBL1525	D05443
CHEMBL2104321	D01751
CHEMBL106687	D04826
CHEMBL956	D00452
CHEMBL404422	D02618
CHEMBL258918	D04947
CHEMBL1991350	D04519
CHEMBL2104970	D04519
CHEMBL1387	D05207
CHEMBL1484251	D01345
CHEMBL1200627	D05630
CHEMBL93018	D01409
CHEMBL2106171	D03986
CHEMBL135416	D05625
CHEMBL1167	D08526
CHEMBL17157	D00521
CHEMBL2105318	D01149
CHEMBL2105309	D05657
CHEMBL3989960	D11257
CHEMBL790	D07668
CHEMBL2362410	D01847
CHEMBL1200572	D01167
CHEMBL161350	D04247
CHEMBL3545060	D02524
CHEMBL3707313	D11225
CHEMBL572	D00439
CHEMBL1623049	D07597
CHEMBL2105616	D07374
CHEMBL467	D00341
CHEMBL1893554	D01158
CHEMBL2107233	D10217
CHEMBL1727	D00263
CHEMBL6634	D00263
CHEMBL4066936	D11051
CHEMBL2106145	D03367
CHEMBL1200490	D07665
CHEMBL4298169	D11548
CHEMBL3989532	D05936
CHEMBL1090	D06298
CHEMBL20247	D06298
CHEMBL2105918	D01638
CHEMBL1580	D00155
CHEMBL1071	D00463
CHEMBL1749	D03945
CHEMBL8846	D05609
CHEMBL1199324	D10895
CHEMBL1672	D07650
CHEMBL1531134	D07309
CHEMBL3545062	D10806
CHEMBL3989966	D11298
CHEMBL2105645	D08563
CHEMBL1255937	D01651
CHEMBL3188432	D01616
CHEMBL2106221	D04068
CHEMBL1968544	D04354
CHEMBL1200515	D08194
CHEMBL1201027	D00540
CHEMBL2106066	D03569
CHEMBL333464	D03569
CHEMBL1201247	D04405
CHEMBL652	D07962
CHEMBL552561	D06373
CHEMBL320408	D11312
CHEMBL456341	D11312
CHEMBL2105233	D07324
CHEMBL3989554	D01857
CHEMBL834	D07281
CHEMBL3422109	D11681
CHEMBL2107795	D03291
CHEMBL565612	D09671
CHEMBL3545063	D10766
CHEMBL1963249	D09981
CHEMBL4297677	D11421
CHEMBL1695	D02097
CHEMBL44384	D00491
CHEMBL352705	D00491
CHEMBL428647	D00491
CHEMBL2105485	D01384
CHEMBL13291	D01354
CHEMBL232201	D01833
CHEMBL1165268	D01774
CHEMBL2107275	D06208
CHEMBL3989783	D04920
CHEMBL2104704	D05196
CHEMBL1200384	D01637
CHEMBL2106327	D02467
CHEMBL2106646	D03178
CHEMBL1619785	D08557
CHEMBL2251611	D08274
CHEMBL193	D00437
CHEMBL1152	D00980
CHEMBL105	D00208
CHEMBL4297649	D11402
CHEMBL2028019	D09997
CHEMBL1200425	D02564
CHEMBL13779	D03382
CHEMBL1329029	D06096
