CHEMBL3710403	P31946
CHEMBL3329082	P62258
CHEMBL3708585	Q04917
CHEMBL1293296	P61981
CHEMBL1909482	P31947
CHEMBL3710408	P27348
CHEMBL4105899	P63104
CHEMBL4763	Q15172
CHEMBL4284	P63151
CHEMBL1958	P14060
CHEMBL3670	P26439
CHEMBL3108657	P46952
CHEMBL3396943	P29372
CHEMBL3351214	Q13541
CHEMBL214	P08908
CHEMBL1898	P28222
CHEMBL1983	P28221
CHEMBL2182	P28566
CHEMBL1805	P30939
CHEMBL224	P28223
CHEMBL1833	P41595
CHEMBL225	P28335
CHEMBL1899	P46098
CHEMBL2111332	O95264
CHEMBL2094132	Q8WXA8;Q70Z44;A5X5Y0
CHEMBL1875	Q13639
CHEMBL3426	P47898
CHEMBL3371	P50406
CHEMBL3155	P34969
CHEMBL3708197	P49902
CHEMBL5957	P21589
CHEMBL3404	P52209
CHEMBL3708265	P36639
CHEMBL4285	P02763
CHEMBL5958	P19652
CHEMBL2487	P05067
CHEMBL226	P30542
CHEMBL251	P29274
CHEMBL255	P29275
CHEMBL256	P0DMS8
CHEMBL3509584	P22760
CHEMBL3562162	Q15758
CHEMBL5960	P01011
CHEMBL2046259	Q8N5Z0
CHEMBL3830	Q2M2I8
CHEMBL3847	Q9Y478
CHEMBL2117	O43741
CHEMBL2393	P54619
CHEMBL2453	Q9UGJ0
CHEMBL3038452	Q9UGI9
CHEMBL3038457	Q9UGI9
CHEMBL4106159	Q9UGI9
CHEMBL4106162	Q9UGI9
CHEMBL4045	Q13131
CHEMBL2116	P54646
CHEMBL2189139	P17174
CHEMBL2189132	Q5VST6
CHEMBL1741179	P31941
CHEMBL2007626	Q8IUX4
CHEMBL1741217	Q9HC16
CHEMBL2362986	O95477
CHEMBL1772928	Q2M3G0
CHEMBL2007630	Q9NP58
CHEMBL1293189	Q9NP78
CHEMBL6020	O95342
CHEMBL2071	Q09428
CHEMBL1971	O60706
CHEMBL2073702	Q96J66
CHEMBL5393	Q9UNQ0
CHEMBL5516	Q8N2K0
CHEMBL2189127	Q9BV23
CHEMBL2189134	Q8NFV4
CHEMBL6168	O95870
CHEMBL1862	P00519
CHEMBL4014	P42684
CHEMBL3351	Q13085
CHEMBL4829	O00763
CHEMBL4105892	P49748
CHEMBL3638338	O00400
CHEMBL4105816	Q6JQN1
CHEMBL4105707	Q709F0
CHEMBL3736	Q9BYF1
CHEMBL3351194	Q8TDN7
CHEMBL2331067	Q5QJU3
CHEMBL220	P22303
CHEMBL1808	P12821
CHEMBL2109238	Q9GZZ6
CHEMBL2109230	Q15822;P30926
CHEMBL2109236	Q15822
CHEMBL3068	P32297
CHEMBL1882	P43681
CHEMBL3038461	P30532
CHEMBL3137272	P30532
CHEMBL3137273	P30532;P30926
CHEMBL2109233	Q15825;Q05901
CHEMBL2109237	Q15825
CHEMBL3137285	Q15825;P30926
CHEMBL2492	P36544
CHEMBL2184	Q9UGM1
CHEMBL4808	P02708
CHEMBL1883	P17787
CHEMBL1907591	P30926
CHEMBL1907594	P30926
CHEMBL3038459	P30926
CHEMBL3885595	P30926
CHEMBL1907588	P11230;P07510
CHEMBL3885508	P11230
CHEMBL4106145	P11230
CHEMBL3011	Q07001
CHEMBL2484	Q04844
CHEMBL4599	Q07912
CHEMBL2321626	Q16570
CHEMBL4105988	O00590
CHEMBL2010631	P25106
CHEMBL3720	P53396
CHEMBL216	P11229
CHEMBL211	P08172
CHEMBL245	P20309
CHEMBL1821	P08173
CHEMBL2035	P08912
CHEMBL4105941	Q8TDX5
CHEMBL5555	O00767
CHEMBL2189136	Q86TX2
CHEMBL2189135	P49753
CHEMBL4105748	Q15067
CHEMBL4105817	O15254
CHEMBL1741174	P13798
CHEMBL2363065	O14561;Q9Y375;O15239;O43678;O95167;Q16718;P56556;O95182;P51970;Q16795;O95299;Q86Y39;Q9UI09;O75438;O95178;O43676;O95168;O43674;O95139;P17568;O95169;Q9Y6M9;O96000;Q9NX14;O43677;O95298;Q8N183;Q9BU61;Q9P032;P28331;O75306;O75489;O43181;O43920;O75380;O75251;O00217;P49821;P19404;P56181;P03886;P03891;P03897;P03901;P03915;P03923;Q9NRX3
CHEMBL2738	P10323
CHEMBL4105818	Q9ULC5
CHEMBL2062353	P60709
CHEMBL1965	Q01718
CHEMBL5310	P36896
CHEMBL5642	Q8NER5
CHEMBL5311	P37023
CHEMBL5903	Q04771
CHEMBL5028	O14672
CHEMBL5030	O43184
CHEMBL2331050	Q13444
CHEMBL3706	P78536
CHEMBL229	P35348
CHEMBL232	P35368
CHEMBL223	P25100
CHEMBL1867	P08913
CHEMBL1942	P18089
CHEMBL1916	P18825
CHEMBL6121	Q9BZ11
CHEMBL1795150	Q6DHV7
CHEMBL5665	P78325
CHEMBL5982	Q13443
CHEMBL1910	P00813
CHEMBL4105885	Q86TW2
CHEMBL4105886	Q3MIX3
CHEMBL2899	Q08828
CHEMBL3760	Q08462
CHEMBL2097167	O60266;Q8NFM4;O43306;P51828;P40145
CHEMBL3189	O95622
CHEMBL2655	O60503
CHEMBL5854	Q96PN6
CHEMBL1970	P07327
CHEMBL3284	P00325
CHEMBL3285	P00326
CHEMBL2990	P08319
CHEMBL2096668	P28332
CHEMBL3867	P40394
CHEMBL4116	P11766
CHEMBL3589	P55263
CHEMBL5267	Q7Z4H4
CHEMBL2062356	P35318
CHEMBL3137295	Q9NRN7
CHEMBL213	P08588
CHEMBL210	P07550
CHEMBL246	P13945
CHEMBL2364701	Q16186;P62333;P62191;P17980;P35998;P62195;P25786;P25787;P25788;P25789;P28066;P60900;O14818;A5LHX3;P28070;O00231;O00232;Q9UNM6;Q8TAA3;Q99460;Q13200;O43242;P55036;Q15008;P51665;P48556;P60896
CHEMBL3709670	P05141
CHEMBL4105854	P12236
CHEMBL3137287	Q6ZN18;Q09028;Q15022
CHEMBL2311230	Q8NB90
CHEMBL2524	P06280
CHEMBL2417354	Q53H12
CHEMBL227	P30556
CHEMBL4607	P50052
CHEMBL3201	P35869
CHEMBL3309113	O95433
CHEMBL2246	P14550
CHEMBL5983	O60218
CHEMBL5905	Q04828
CHEMBL5847	P52895
CHEMBL4681	P42330
CHEMBL4999	P17516
CHEMBL5910	Q9NWT8
CHEMBL4282	P31749
CHEMBL2431	P31751
CHEMBL4816	Q9Y243
CHEMBL1255161	Q96B36
CHEMBL3577	P00352
CHEMBL3112384	O94788
CHEMBL3579	P47895
CHEMBL4881	P30837
CHEMBL3578	P30838
CHEMBL3542434	P43353;P48448;P49189
CHEMBL3414418	P30038
CHEMBL4550	P20292
CHEMBL5929	P24298
CHEMBL3253	P02768
CHEMBL1935	P05091
CHEMBL2106	P04075
CHEMBL1900	P15121
CHEMBL3112376	Q96Q83
CHEMBL3621037	Q6P6C2
CHEMBL4247	Q9UM73
CHEMBL1741189	P55789
CHEMBL2544	P19021
CHEMBL3392949	Q4VCS5
CHEMBL2432	Q9H4A4
CHEMBL2869	P23109
CHEMBL2997	Q01433
CHEMBL2912	Q01432
CHEMBL3439	Q07075
CHEMBL3965	P28838
CHEMBL1907	P15144
