DB00001	BTD00024;DB00001;BIOD00024
DB00002	BTD00071;BIOD00071;DB00002
DB00003	DB00003;BIOD00001;BTD00001
DB00004	BTD00084;DB00004;BIOD00084
DB00005	DB00005;BIOD00052;BTD00052
DB00006	BIOD00076;BTD00076;EXPT03302;DB02351;DB00006
DB00007	DB00007;BTD00009;BIOD00009
DB00008	DB00008;BTD00043;BIOD00043
DB00009	DB00009;BTD00050;BIOD00050
DB00010	BTD00033;BIOD00033;DB00010
DB00011	DB00084;BIOD00096;BTD00096;DB00011
DB00012	BIOD00032;BTD00032;DB00012
DB00013	BIOD00030;BTD00030;DB00013
DB00014	BIOD00113;DB00014;BTD00113
DB00015	BIOD00013;BTD00013;DB00015
DB00016	DB08923;BTD00103;DB00016;BIOD00103
DB00017	BTD00025;DB00017;BIOD00025
DB00018	BIOD00023;DB00018;BTD00023
DB00019	BIOD00094;DB00019;BTD00094
DB00020	BTD00035;BIOD00035;DB00020
DB00022	DB00022;BIOD00048;BTD00048
DB00023	BTD00011;DB00023;BIOD00011
DB00024	BIOD00020;DB00024;BTD00020
DB00025	DB13162;DBSALT002413;BIOD00029;BTD00029;DB00025
DB00026	BTD00060;DB00026;BIOD00060
DB00027	BIOD00036;BTD00036;DB00027
DB00028	BIOD00091;DB00028;BTD00091
DB00029	BTD00102;BIOD00102;DB00029
DB00030	DB05278;DB05215;BTD00105;BIOD00105;DB05283;DB08914;DB01383;DB00030
DB00031	BIOD00019;BTD00019;DB00031
DB00032	BIOD00018;DB00032;BTD00018
DB00033	BIOD00017;DB00033;BTD00017
DB00034	DB00037;BIOD00012;BTD00012;BTD00095;BIOD00095;DB00034
DB00035	BIOD00112;BIOD00061;BTD00112;DB00035;BTD00061
DB00036	DB00036;BTD00006;BIOD00006
DB00038	BIOD00021;BTD00021;DB00038
DB00039	DB00039;BIOD00042;BTD00042
DB00040	DB00040;BIOD00057;BTD00057
DB00041	BIOD00082;BTD00082;DB00041
DB00042	BTD00070;DB00042;BIOD00070
DB00043	DB00043;BTD00081;BIOD00081
DB00044	DB00044;BTD00056;BIOD00056
DB00045	BTD00054;BIOD00054;DB00045
DB00046	DB01310;BTD00065;BIOD00065;DB00046
DB00047	BIOD00045;DB01308;DB00047;BTD00045
DB00048	DB00048;BIOD00010;BTD00010;DB11249
DB00049	DB00049;BIOD00090;BTD00090
DB00050	DB00050;BTD00115;BIOD00115;APRD00686
DB00051	BIOD00049;DB00051;BTD00049
DB00052	DB00052;DB06417;BIOD00086;BTD00086
DB00053	DB00053;BIOD00026;BTD00026
DB00054	BIOD00041;DB00054;BTD00041
DB00055	BIOD00068;BTD00068;DB00055
DB00056	BIOD00077;DB00056;BTD00077
DB00057	BTD00108;BIOD00108;DB00057
DB00058	BTD00002;BIOD00002;DB00058
DB00059	BTD00079;DB00059;BIOD00079
DB00060	DB00060;BTD00093;BIOD00093
DB00061	BTD00100;BIOD00100;DB00061
DB00062	BTD00101;DB00062;BIOD00089;BIOD00101;BTD00089;BIOD00059;BTD00059;DB00064;DB00096
DB00063	BIOD00063;BTD00063;DB00063
DB00065	DB00065;BTD00004;BIOD00004
DB00066	BTD00064;BIOD00099;DB00066;DB09024;BIOD00064;BTD00099
DB00067	BTD00110;DB00067;DB09392;BIOD00110
DB00068	BTD00078;DB00068;BIOD00078
DB00069	DB00069;BTD00062;BIOD00062
DB00070	BTD00022;DB00070;BIOD00022
DB00071	DB00071;BIOD00031;BTD00031
DB00072	BIOD00098;BTD00098;DB00072
DB00073	DB00073;BTD00014;BIOD00014
DB00074	BIOD00073;BTD00073;DB00074
DB00075	BTD00005;BIOD00005;DB00075
DB00076	BTD00046;DB00076;BTD00027;BIOD00027;BIOD00046
DB00078	BTD00069;DB00078;BIOD00069
DB00080	BTD00111;DB00080;BIOD00111
DB00081	DB00081;BTD00085;DB09557;BIOD00085
DB00082	BIOD00044;BTD00044;DB00082
DB00083	BTD00092;BIOD00092;DB00083
DB00085	DB00085;DB05356;BTD00067;BIOD00067
DB00086	DB00086;BIOD00028;BTD00028
DB00087	DB00087;BTD00109;BIOD00109
DB00088	BIOD00037;BTD00037;DB00088
DB00089	BTD00080;BIOD00080;DB00089
DB00090	BTD00008;DB00090;BIOD00008
