DB00001	D06880
DB00002	D03455
DB00003	
DB00004	
DB00005	D00742
DB00006	D03136
DB00007	D08113
DB00008	
DB00009	D02837
DB00010	
DB00011	
DB00012	
DB00013	
DB00014	D00573
DB00015	
DB00016	
DB00017	D00249
DB00018	
DB00019	D06889
DB00020	
DB00022	
DB00023	
DB00024	
DB00025	
DB00026	D02934
DB00027	D04369
DB00028	
DB00029	
DB00030	D03230
DB00031	D06070
DB00032	
DB00033	
DB00034	
DB00035	D00291
DB00036	D00172
DB00038	
DB00039	
DB00040	D00116
DB00041	
DB00042	D02735
DB00043	
DB00044	
DB00045	
DB00046	D04477
DB00047	D03250
DB00048	
DB00049	
DB00050	D07665
DB00051	D02597
DB00052	
DB00053	D02810
DB00054	D02778
DB00055	
DB00056	
DB00057	
DB00058	
DB00059	
DB00060	
DB00061	
DB00062	
DB00063	
DB00065	
DB00066	
DB00067	D00101
DB00068	D00746
DB00069	
DB00070	
DB00071	
DB00072	D03257
DB00073	
DB00074	
DB00075	D05092
DB00076	
DB00078	
DB00080	D01080
DB00081	
DB00082	
DB00083	D00783
DB00085	D05349
DB00086	
DB00087	
DB00088	
DB00089	
DB00090	
DB00091	D00184
DB00092	
DB00093	
DB00094	
DB00095	
DB00097	
DB00098	
DB00099	D03235
DB00100	
DB00102	
DB00103	
DB00104	D00442
DB00105	
DB00106	D02738
DB00107	D00089
DB00108	
DB00109	
DB00110	
DB00111	D03639
DB00112	
DB00113	
DB00114	D00006
DB00115	D00166
DB00116	
DB00117	D00032
DB00118	
DB00119	
DB00120	D00021
DB00121	D00029
DB00122	D07690
DB00123	D02304
DB00125	D02982
DB00126	D00018
DB00127	
DB00128	D00013
DB00129	
DB00130	D00015
DB00131	D02769
DB00132	
DB00133	D00016
DB00134	D00019
DB00135	D00022
DB00136	D00129
DB00137	
DB00138	D03636
DB00139	
DB00140	D00050
DB00141	
DB00142	D00007
DB00143	D00014
DB00144	
DB00145	D00011
DB00146	
DB00147	
DB00148	
DB00149	D00030
DB00150	D00020
DB00151	D00026
DB00152	D08580
DB00153	D00187
DB00154	
DB00155	D07706
DB00156	D00041
DB00157	
DB00158	D00070
DB00159	D08061
DB00160	D00012
DB00161	D00039
DB00162	D00069
DB00163	
DB00165	
DB00166	D00086
DB00167	D00065
DB00168	D02381
DB00169	D00188
DB00170	D02335
DB00171	D08646
DB00172	D00035
DB00173	D00034
DB00174	
DB00175	D08410
DB00176	
DB00177	D00400
DB00178	D00421
DB00179	D04862
DB00180	
DB00181	D00241
DB00182	D07445
DB00183	D01631
DB00184	D03365
DB00185	D00661
DB00186	D00365
DB00187	D07916
DB00188	D03150
DB00189	D00704
DB00190	D00558
DB00191	D05458
DB00192	
DB00193	D08623
DB00194	D00406
DB00195	
DB00196	D00322
DB00197	D00395
DB00198	D00900
DB00199	D00140
DB00200	D01027
DB00201	D00528
DB00202	
DB00203	D08514
DB00204	D00647
DB00205	D00488
DB00206	D00197
DB00207	
DB00208	D08594
DB00209	D01103
DB00210	D01112
DB00211	D08220
DB00212	
DB00213	D05353
DB00214	D00382
DB00215	D07704
DB00216	D07887
DB00217	D01603
DB00218	D08237
DB00219	
DB00220	D08259
DB00221	D04625
DB00222	D00593
DB00223	D07827
DB00224	
DB00225	
DB00226	D08029
DB00227	D00359
DB00228	D00543
DB00229	D07648
DB00230	D02716
DB00231	D00370
DB00232	D00656
DB00233	D00162
DB00234	
DB00235	D00417
DB00236	D00467
DB00237	D03180
DB00238	D00435
DB00239	D08313
DB00240	D07116
DB00241	D03182
DB00242	D01370
DB00243	
DB00244	D00377
DB00245	D07511
DB00246	D08687
DB00247	D02357
DB00248	D00987
DB00249	D00342
DB00250	D00592
DB00251	D00888
DB00252	D00512
DB00253	D02289
DB00254	D07876
DB00255	D00577
DB00256	D06884
DB00257	D00282
DB00258	D00931
DB00259	D08543
DB00260	
DB00261	D07455
DB00262	D00254
DB00263	D00450
DB00264	D02358
DB00265	D01381
DB00266	D03798
DB00267	D01739
DB00268	D08489
DB00269	D00269
DB00270	D00349
DB00271	D01013
DB00272	
DB00273	D00537
DB00274	D00910
DB00275	D01204
DB00276	D02321
DB00277	D00371
DB00278	
DB00279	
DB00280	D00303
DB00281	D00358
DB00282	D07281
DB00283	D03535
DB00284	D00216
DB00285	D08670
DB00286	D04070
DB00287	D01964
DB00288	D01387
DB00289	D07473
DB00290	
DB00291	D00266
DB00292	D00548
DB00293	D01064
DB00294	
DB00295	D08233
DB00296	
DB00297	
DB00298	D07775
DB00299	D05407
DB00300	
DB00301	D04196
DB00302	D01136
DB00303	D07908
DB00304	D02367
DB00305	D00208
DB00306	D06887
DB00307	D03106
DB00308	D00648
DB00309	D01769
DB00310	D00272
DB00311	D02441
DB00312	D00499
DB00313	D00399
DB00314	D00135
DB00315	D00415
DB00316	D00217
DB00317	D01977
DB00318	D03580
DB00319	D00466
DB00320	
DB00321	D07448
DB00322	D04197
DB00323	D00786
DB00324	D01367
DB00325	
DB00326	D00934
DB00327	
DB00328	D00141
DB00330	D07925
DB00331	D04966
DB00332	
DB00333	D08195
DB00334	D00454
DB00335	D00235
DB00336	D00862
DB00337	
DB00338	D00455
DB00339	D00144
DB00340	D01871
DB00341	
DB00342	D00521
DB00343	D07845
DB00344	D08447
DB00345	D06890
DB00346	D07124
DB00347	D00392
DB00348	
DB00349	D01253
DB00350	D00418
DB00351	D00952
DB00352	D08603
DB00353	D00680
DB00354	D07547
DB00355	D00240
DB00356	D00771
DB00357	D00574
DB00358	D04895
DB00359	D00587
DB00360	D08505
DB00361	D08680
DB00362	D03211
DB00363	D00283
DB00364	
DB00365	
DB00366	D02327
DB00367	D00950
DB00368	D00076
DB00369	
DB00370	D00563
DB00371	D00376
DB00372	D02354
DB00373	
DB00374	
DB00375	
DB00376	D08638
DB00377	D07175
DB00378	D01217
DB00379	
DB00380	D03730
DB00381	D07450
DB00382	D08555
DB00383	D08325
DB00384	D00386
DB00385	
DB00387	D08425
DB00388	D08365
DB00389	D07616
DB00390	D00298
DB00391	D01226
DB00392	D01118
DB00393	D00438
DB00394	D07495
DB00395	D00768
DB00396	D00066
DB00397	
DB00398	D08524
DB00399	D01968
DB00400	D00209
DB00401	D00618
DB00402	
DB00403	D03442
DB00404	D00225
DB00405	
DB00406	D01046
DB00407	D02980
DB00408	D02340
DB00409	
DB00410	D01076
DB00411	D00524
DB00412	D00596
DB00413	D00559
DB00414	D00219
DB00415	D00204
DB00416	D00761
DB00417	D05411
DB00418	D00430
DB00419	D05032
DB00420	D08430
DB00421	D00443
DB00422	D04999
DB00423	D00402
DB00424	D00147
DB00425	
DB00426	D00317
DB00427	D01782
DB00428	D05932
DB00429	D00682
DB00430	D01904
DB00431	D00360
DB00432	D00391
DB00433	D00493
DB00434	
DB00435	D00074
DB00436	D00650
DB00437	D00224
DB00438	D07654
DB00439	
DB00440	D00145
DB00441	D02368
DB00442	D04008
DB00443	D00244
DB00444	D02698
DB00445	
DB00446	D00104
DB00447	D00916
DB00448	D00355
DB00449	D02349
DB00450	D00308
DB00451	D08125
DB00452	
DB00453	D06885
DB00454	D08343
DB00455	D00364
DB00456	D07635
