DB00001	Lepirudin
DB00002	Cetuximab
DB00003	Dornase_alfa
DB00004	Denileukin_diftitox
DB00005	Etanercept
DB00006	Bivalirudin
DB00007	Leuprolide
DB00008	Peginterferon_alfa_2a
DB00009	Alteplase
DB00010	Sermorelin
DB00011	Interferon_alfa_n1
DB00012	Darbepoetin_alfa
DB00013	Urokinase
DB00014	Goserelin
DB00015	Reteplase
DB00016	Erythropoietin
DB00017	Salmon_Calcitonin
DB00018	Interferon_alfa_n3
DB00019	Pegfilgrastim
DB00020	Sargramostim
DB00022	Peginterferon_alfa_2b
DB00023	Asparaginase_Escherichia_coli
DB00024	Thyrotropin_alfa
DB00025	Antihemophilic_factor__human_recombinant
DB00026	Anakinra
DB00027	Gramicidin_D
DB00028	Human_immunoglobulin_G
DB00029	Anistreplase
DB00030	Insulin_human
DB00031	Tenecteplase
DB00032	Menotropins
DB00033	Interferon_gamma_1b
DB00034	Interferon_alfa_2a__Recombinant
DB00035	Desmopressin
DB00036	Coagulation_factor_VIIa_Recombinant_Human
DB00038	Oprelvekin
DB00039	Palifermin
DB00040	Glucagon
DB00041	Aldesleukin
DB00042	Botulinum_Toxin_Type_B
DB00043	Omalizumab
DB00044	Lutropin_alfa
DB00045	Lyme_disease_vaccine__recombinant_OspA_
DB00046	Insulin_lispro
DB00047	Insulin_glargine
DB00048	Collagenase_clostridium_histolyticum
DB00049	Rasburicase
DB00050	Cetrorelix
DB00051	Adalimumab
DB00052	Somatotropin
DB00053	Imiglucerase
DB00054	Abciximab
DB00055	Drotrecogin_alfa
DB00056	Gemtuzumab_ozogamicin
DB00057	Indium_In_111_satumomab_pendetide
DB00058	Alpha_1_proteinase_inhibitor
DB00059	Pegaspargase
DB00060	Interferon_beta_1a
DB00061	Pegademase
DB00062	Albumin_human
DB00063	Eptifibatide
DB00065	Infliximab
DB00066	Follitropin
DB00067	Vasopressin
DB00068	Interferon_beta_1b
DB00069	Interferon_alfacon_1
DB00070	Hyaluronidase__ovine_
DB00071	Insulin_pork
DB00072	Trastuzumab
DB00073	Rituximab
DB00074	Basiliximab
DB00075	Muromonab
DB00076	Digoxin_Immune_Fab__Ovine_
DB00078	Ibritumomab_tiuxetan
DB00080	Daptomycin
DB00081	Tositumomab
DB00082	Pegvisomant
DB00083	Botulinum_toxin_type_A
DB00085	Pancrelipase
DB00086	Streptokinase
DB00087	Alemtuzumab
DB00088	Alglucerase
DB00089	Capromab_pendetide
DB00090	Laronidase
DB00091	Cyclosporine
DB00092	Alefacept
DB00093	Felypressin
DB00094	Urofollitropin
DB00095	Efalizumab
DB00097	Choriogonadotropin_alfa
DB00098	Antithymocyte_immunoglobulin__rabbit_
DB00099	Filgrastim
DB00100	Coagulation_Factor_IX__Recombinant_
DB00102	Becaplermin
DB00103	Agalsidase_beta
DB00104	Octreotide
DB00105	Interferon_alfa_2b
DB00106	Abarelix
DB00107	Oxytocin
DB00108	Natalizumab
DB00109	Enfuvirtide
DB00110	Palivizumab
DB00111	Daclizumab
DB00112	Bevacizumab
DB00113	Technetium_Tc_99m_arcitumomab
DB00114	Pyridoxal_phosphate
DB00115	Cyanocobalamin
DB00116	Tetrahydrofolic_acid
DB00117	Histidine
DB00118	Ademetionine
DB00119	Pyruvic_acid
DB00120	Phenylalanine
DB00121	Biotin
DB00122	Choline
DB00123	L_Lysine
DB00125	Arginine
DB00126	Ascorbic_acid
DB00127	Spermine
DB00128	Aspartic_acid
DB00129	Ornithine
DB00130	L_Glutamine
DB00131	Adenosine_phosphate
DB00132	alpha_Linolenic_acid
DB00133	Serine
DB00134	Methionine
DB00135	Tyrosine
DB00136	Calcitriol
DB00137	Lutein
DB00138	Cystine
DB00139	Succinic_acid
DB00140	Riboflavin
DB00141	N_Acetylglucosamine
DB00142	Glutamic_acid
DB00143	Glutathione
DB00144	Phosphatidyl_serine
DB00145	Glycine
DB00146	Calcifediol
DB00147	Pyridoxal
DB00148	Creatine
DB00149	Leucine
DB00150	Tryptophan
DB00151	Cysteine
DB00152	Thiamine
DB00153	Ergocalciferol
DB00154	Dihomo_gamma_linolenic_acid
DB00155	Citrulline
DB00156	Threonine
DB00157	NADH
DB00158	Folic_acid
DB00159	Icosapent
DB00160	Alanine
DB00161	Valine
DB00162	Vitamin_A
DB00163	Vitamin_E
DB00165	Pyridoxine
DB00166	Lipoic_acid
DB00167	Isoleucine
DB00168	Aspartame
DB00169	Cholecalciferol
DB00170	Menadione
DB00171	ATP
DB00172	Proline
DB00173	Adenine
DB00174	Asparagine
DB00175	Pravastatin
DB00176	Fluvoxamine
DB00177	Valsartan
DB00178	Ramipril
DB00179	Masoprocol
DB00180	Flunisolide
DB00181	Baclofen
DB00182	Amphetamine
DB00183	Pentagastrin
DB00184	Nicotine
DB00185	Cevimeline
DB00186	Lorazepam
DB00187	Esmolol
DB00188	Bortezomib
DB00189	Ethchlorvynol
DB00190	Carbidopa
DB00191	Phentermine
DB00192	Indecainide
DB00193	Tramadol
DB00194	Vidarabine
DB00195	Betaxolol
DB00196	Fluconazole
DB00197	Troglitazone
DB00198	Oseltamivir
DB00199	Erythromycin
DB00200	Hydroxocobalamin
DB00201	Caffeine
DB00202	Succinylcholine
DB00203	Sildenafil
DB00204	Dofetilide
DB00205	Pyrimethamine
DB00206	Reserpine
DB00207	Azithromycin
DB00208	Ticlopidine
DB00209	Trospium
DB00210	Adapalene
DB00211	Midodrine
DB00212	Remikiren
DB00213	Pantoprazole
DB00214	Torasemide
DB00215	Citalopram
DB00216	Eletriptan
DB00217	Bethanidine
DB00218	Moxifloxacin
DB00219	Oxyphenonium
DB00220	Nelfinavir
DB00221	Isoetharine
DB00222	Glimepiride
DB00223	Diflorasone
DB00224	Indinavir
DB00225	Gadodiamide
DB00226	Guanadrel
DB00227	Lovastatin
DB00228	Enflurane
DB00229	Cefotiam
DB00230	Pregabalin
DB00231	Temazepam
DB00232	Methyclothiazide
DB00233	Aminosalicylic_acid
DB00234	Reboxetine
DB00235	Milrinone
DB00236	Pipobroman
DB00237	Butabarbital
DB00238	Nevirapine
DB00239	Oxiconazole
DB00240	Alclometasone
DB00241	Butalbital
DB00242	Cladribine
DB00243	Ranolazine
DB00244	Mesalazine
DB00245	Benzatropine
DB00246	Ziprasidone
DB00247	Methysergide
DB00248	Cabergoline
DB00249	Idoxuridine
DB00250	Dapsone
DB00251	Terconazole
DB00252	Phenytoin
DB00253	Medrysone
DB00254	Doxycycline
DB00255	Diethylstilbestrol
DB00256	Lymecycline
DB00257	Clotrimazole
DB00258	Calcium_acetate
DB00259	Sulfanilamide
DB00260	Cycloserine
DB00261	Anagrelide
DB00262	Carmustine
DB00263	Sulfisoxazole
DB00264	Metoprolol
DB00265	Crotamiton
DB00266	Dicoumarol
DB00267	Cefmenoxime
DB00268	Ropinirole
DB00269	Chlorotrianisene
DB00270	Isradipine
DB00271	Diatrizoate
DB00272	Betazole
DB00273	Topiramate
DB00274	Cefmetazole
DB00275	Olmesartan
DB00276	Amsacrine
DB00277	Theophylline
DB00278	Argatroban
DB00279	Liothyronine
DB00280	Disopyramide
DB00281	Lidocaine
DB00282	Pamidronic_acid
DB00283	Clemastine
DB00284	Acarbose
DB00285	Venlafaxine
DB00286	Conjugated_estrogens
DB00287	Travoprost
DB00288	Amcinonide
DB00289	Atomoxetine
DB00290	Bleomycin
DB00291	Chlorambucil
DB00292	Etomidate
DB00293	Raltitrexed
DB00294	Etonogestrel
DB00295	Morphine
DB00296	Ropivacaine
DB00297	Bupivacaine
DB00298	Dapiprazole
DB00299	Penciclovir
DB00300	Tenofovir_disoproxil
DB00301	Flucloxacillin
DB00302	Tranexamic_acid
DB00303	Ertapenem
DB00304	Desogestrel
DB00305	Mitomycin
DB00306	Talbutal
DB00307	Bexarotene
DB00308	Ibutilide
DB00309	Vindesine
DB00310	Chlorthalidone
DB00311	Ethoxzolamide
DB00312	Pentobarbital
DB00313	Valproic_acid
DB00314	Capreomycin
DB00315	Zolmitriptan
DB00316	Acetaminophen
DB00317	Gefitinib
DB00318	Codeine
DB00319	Piperacillin
DB00320	Dihydroergotamine
DB00321	Amitriptyline
DB00322	Floxuridine
DB00323	Tolcapone
DB00324	Fluorometholone
DB00325	Nitroprusside
DB00326	Calcium_glucoheptonate
DB00327	Hydromorphone
DB00328	Indomethacin
DB00330	Ethambutol
DB00331	Metformin
DB00332	Ipratropium
DB00333	Methadone
DB00334	Olanzapine
DB00335	Atenolol
DB00336	Nitrofural
DB00337	Pimecrolimus
DB00338	Omeprazole
DB00339	Pyrazinamide
DB00340	Metixene
DB00341	Cetirizine
DB00342	Terfenadine
DB00343	Diltiazem
DB00344	Protriptyline
DB00345	Aminohippuric_acid
DB00346	Alfuzosin
DB00347	Trimethadione
DB00348	Nitisinone
DB00349	Clobazam
DB00350	Minoxidil
DB00351	Megestrol_acetate
DB00352	Tioguanine
DB00353	Methylergometrine
DB00354	Buclizine
DB00355	Aztreonam
DB00356	Chlorzoxazone
DB00357	Aminoglutethimide
DB00358	Mefloquine
DB00359	Sulfadiazine
DB00360	Sapropterin
DB00361	Vinorelbine
DB00362	Anidulafungin
DB00363	Clozapine
DB00364	Sucralfate
DB00365	Grepafloxacin
DB00366	Doxylamine
DB00367	Levonorgestrel
DB00368	Norepinephrine
DB00369	Cidofovir
DB00370	Mirtazapine
DB00371	Meprobamate
DB00372	Thiethylperazine
DB00373	Timolol
DB00374	Treprostinil
DB00375	Colestipol
DB00376	Trihexyphenidyl
DB00377	Palonosetron
DB00378	Dydrogesterone
DB00379	Mexiletine
DB00380	Dexrazoxane
DB00381	Amlodipine
DB00382	Tacrine
DB00383	Oxyphencyclimine
DB00384	Triamterene
DB00385	Valrubicin
DB00387	Procyclidine
DB00388	Phenylephrine
DB00389	Carbimazole
DB00390	Digoxin
DB00391	Sulpiride
DB00392	Profenamine
DB00393	Nimodipine
DB00394	Beclomethasone_dipropionate
DB00395	Carisoprodol
DB00396	Progesterone
DB00397	Phenylpropanolamine
DB00398	Sorafenib
DB00399	Zoledronic_acid
DB00400	Griseofulvin
DB00401	Nisoldipine
DB00402	Eszopiclone
DB00403	Ceruletide
DB00404	Alprazolam
DB00405	Dexbrompheniramine
DB00406	Gentian_violet_cation
DB00407	Ardeparin
DB00408	Loxapine
DB00409	Remoxipride
DB00410	Mupirocin
DB00411	Carbamoylcholine
DB00412	Rosiglitazone
DB00413	Pramipexole
DB00414	Acetohexamide
DB00415	Ampicillin
DB00416	Metocurine_iodide
DB00417	Phenoxymethylpenicillin
DB00418	Secobarbital
DB00419	Miglustat
DB00420	Promazine
DB00421	Spironolactone
DB00422	Methylphenidate
DB00423	Methocarbamol
DB00424	Hyoscyamine
DB00425	Zolpidem
DB00426	Famciclovir
DB00427	Triprolidine
DB00428	Streptozocin
DB00429	Carboprost_tromethamine
DB00430	Cefpiramide
DB00431	Lindane
DB00432	Trifluridine
DB00433	Prochlorperazine
DB00434	Cyproheptadine
DB00435	Nitric_Oxide
DB00436	Bendroflumethiazide
DB00437	Allopurinol
DB00438	Ceftazidime
DB00439	Cerivastatin
DB00440	Trimethoprim
DB00441	Gemcitabine
DB00442	Entecavir
DB00443	Betamethasone
DB00444	Teniposide
DB00445	Epirubicin
DB00446	Chloramphenicol
DB00447	Loracarbef
DB00448	Lansoprazole
DB00449	Dipivefrin
DB00450	Droperidol
DB00451	Levothyroxine
DB00452	Framycetin
DB00453	Clomocycline
DB00454	Meperidine
DB00455	Loratadine
DB00456	Cefalotin
DB00457	Prazosin
DB00458	Imipramine
DB00459	Acitretin
DB00460	Verteporfin
DB00461	Nabumetone
DB00462	Methscopolamine_bromide
DB00463	Metharbital
DB00464	Sodium_tetradecyl_sulfate
DB00465	Ketorolac
DB00466	Picrotoxin
DB00467	Enoxacin
DB00468	Quinine
DB00469	Tenoxicam
DB00470	Dronabinol
DB00471	Montelukast
DB00472	Fluoxetine
DB00473	Hexylcaine
DB00474	Methohexital
DB00475	Chlordiazepoxide
DB00476	Duloxetine
DB00477	Chlorpromazine
DB00478	Rimantadine
DB00479	Amikacin
DB00480	Lenalidomide
DB00481	Raloxifene
DB00482	Celecoxib
DB00483	Gallamine_triethiodide
DB00484	Brimonidine
DB00485	Dicloxacillin
DB00486	Nabilone
DB00487	Pefloxacin
DB00488	Altretamine
DB00489	Sotalol
DB00490	Buspirone
DB00491	Miglitol
DB00492	Fosinopril
DB00493	Cefotaxime
DB00494	Entacapone
DB00495	Zidovudine
DB00496	Darifenacin
DB00497	Oxycodone
DB00498	Phenindione
DB00499	Flutamide
DB00500	Tolmetin
DB00501	Cimetidine
DB00502	Haloperidol
DB00503	Ritonavir
DB00504	Levallorphan
DB00505	Tridihexethyl
DB00507	Nitazoxanide
DB00508	Triflupromazine
DB00509	Dextrothyroxine
DB00511	Acetyldigitoxin
DB00512	Vancomycin
DB00513	Aminocaproic_acid
DB00514	Dextromethorphan
DB00515	Cisplatin
DB00516	Bentoquatam
DB00517	Anisotropine_methylbromide
DB00518	Albendazole
DB00519	Trandolapril
DB00520	Caspofungin
DB00521	Carteolol
DB00522	Bentiromide
DB00523	Alitretinoin
DB00524	Metolazone
DB00525	Tolnaftate
DB00526	Oxaliplatin
DB00527	Cinchocaine
DB00528	Lercanidipine
DB00529	Foscarnet
DB00530	Erlotinib
DB00531	Cyclophosphamide
DB00532	Mephenytoin
DB00533	Rofecoxib
DB00534	Chlormerodrin
DB00535	Cefdinir
DB00536	Guanidine
DB00537	Ciprofloxacin
DB00538	Gadoversetamide
DB00539	Toremifene
DB00540	Nortriptyline
DB00541	Vincristine
DB00542	Benazepril
DB00543	Amoxapine
DB00544	Fluorouracil
DB00545	Pyridostigmine
DB00546	Adinazolam
DB00547	Desoximetasone
DB00548	Azelaic_acid
DB00549	Zafirlukast
DB00550	Propylthiouracil
DB00551	Acetohydroxamic_acid
DB00552	Pentostatin
DB00553	Methoxsalen
DB00554	Piroxicam
DB00555	Lamotrigine
DB00556	Perflutren
DB00557	Hydroxyzine
DB00558	Zanamivir
DB00559	Bosentan
DB00560	Tigecycline
DB00561	Doxapram
DB00562	Benzthiazide
DB00563	Methotrexate
DB00564	Carbamazepine
DB00565	Cisatracurium
DB00566	Succimer
DB00567	Cephalexin
