DB00001	DAP000541
DB00002	DNC000788
DB00003	DAP000981
DB00004	DAP001098
DB00005	DNC000605
DB00006	DAP000542
DB00007	DAP000020
DB00008	DAP001278
DB00009	DAP000203
DB00010	DAP001055
DB00011	DAP001280
DB00012	DAP000800
DB00013	DAP001194
DB00014	DAP000023
DB00015	DAP001195
DB00016	DAP000202
DB00017	DAP001302
DB00018	DAP001281
DB00019	DAP000395
DB00020	DAP001053
DB00022	DAP001279
DB00023	-
DB00024	DAP001248
DB00025	-
DB00026	DAP000095
DB00027	DAP001327
DB00028	-
DB00029	DAP001197
DB00030	DAP000802
DB00031	DAP000204
DB00032	DAP001027
DB00033	DAP001286
DB00034	DAP000801
DB00035	DNC000526
DB00036	-
DB00038	DAP001287
DB00039	DAP001026
DB00040	DAP001037
DB00041	DAP001099
DB00042	DAP001272
DB00043	DAP000387
DB00044	DAP001103
DB00045	DAP001334
DB00046	DNC000800
DB00047	DAP001088
DB00048	DAP000965
DB00049	-
DB00050	DAP000096
DB00051	DAP000392
DB00052	DAP001054
DB00053	-
DB00054	DAP000473
DB00055	DAP000151
DB00056	DAP000390
DB00057	DAP001299
DB00058	DAP001102
DB00059	-
DB00060	DAP001282
DB00061	-
DB00062	-
DB00063	DAP000285
DB00065	DAP000107
DB00066	DAP001028
DB00067	DAP000018
DB00068	DAP001283
DB00069	DAP001284
DB00070	-
DB00071	DAP001089
DB00072	DAP000391
DB00073	DAP000382
DB00074	DAP000388
DB00075	DAP001301
DB00076	-
DB00078	DAP000383
DB00080	DAP001328
DB00081	DAP000384
DB00082	DAP000286
DB00083	DAP001298
DB00085	-
DB00086	DAP001198
DB00087	DAP000385
DB00088	-
DB00089	DAP001049
DB00090	-
DB00091	DNC001177
DB00092	DAP000540
DB00093	DAP000217
DB00094	DAP001029
DB00095	DAP001095
DB00097	DAP001030
DB00098	DAP001300
DB00099	DAP000113
DB00100	DAP000964
DB00102	DAP000028
DB00103	-
DB00104	DAP000397
DB00105	DAP001285
DB00106	DAP000094
DB00107	DAP001156
DB00108	DAP001094
DB00109	DAP000157
DB00110	DAP000386
DB00111	DAP000389
DB00112	DAP000393
DB00113	DAP001303
DB00114	DNC001499
DB00115	-
DB00116	DAP001308
DB00117	-
DB00118	-
DB00119	DAP000543
DB00120	DAP000807
DB00121	-
DB00122	-
DB00123	-
DB00125	-
DB00126	DNC000259
DB00127	-
DB00128	-
DB00129	-
DB00130	-
DB00131	DAP001319
DB00132	-
DB00133	-
DB00134	-
DB00135	DAP000808
DB00136	DAP000289
DB00137	-
DB00138	-
DB00139	DAP000545
DB00140	-
DB00141	DAP000872
DB00142	DAP000015
DB00143	-
DB00144	-
DB00145	DAP000288
DB00146	DAP000290
DB00147	-
DB00148	-
DB00149	-
DB00150	DAP001316
DB00151	-
DB00152	DAP000870
DB00153	DAP000291
DB00154	DAP000806
DB00155	-
DB00156	-
DB00157	DAP001291
DB00158	DAP001309
DB00159	DAP000969
DB00160	DAP000805
DB00161	-
DB00162	DNC001498
