HMDB31452	C10871
HMDB14453	C07753
HMDB14642	C07653
HMDB00363	C05138
HMDB01398	C01502
HMDB38849	C09228
HMDB00479	C01152
HMDB00001	C01152
HMDB06760	C05489
HMDB60671	C16592
HMDB00645	C00446;C03384
HMDB29378	C06173
HMDB06754	C05473;C05474
HMDB06753	C05474
HMDB36164	C09750
HMDB32948	C17717
HMDB12222	C06018;C20415
HMDB01484	C00332
HMDB00015	C05488
HMDB02217	C06002
HMDB29198	C16364
HMDB14370	C13106
HMDB05060	C16525
HMDB34155	C14415
HMDB01533	C00143
HMDB06794	C05655
HMDB35906	C09289
HMDB29412	C08269
HMDB14912	C07763
HMDB35705	C08609
HMDB01256	C00750
HMDB02100	C16512
HMDB13751	C02502
HMDB07853	C04036
HMDB34706	C08795
HMDB29318	C10483
HMDB30591	C03944
HMDB02181	C05413
HMDB04679	C14776
HMDB15440	C07536
HMDB35837	C16462
HMDB01901	C02378
HMDB12275	C05332
HMDB04688	C14808
HMDB01383	C01120
HMDB38097	C12139
HMDB11187	C13044
HMDB00536	C03794
HMDB59653	C03794
HMDB15464	C09256
HMDB06354	C03319
HMDB33679	C16305
HMDB03099	C16359
HMDB14419	C08103
HMDB02314	C14774
HMDB14646	C07240
HMDB60306	C17346
HMDB60483	C12215
HMDB31796	C11002
HMDB36857	C17659
HMDB14656	C06911
HMDB01903	C01673
HMDB36888	C08777
HMDB00820	C05979
HMDB33963	C07600
HMDB36771	C09492
HMDB33953	C08717
HMDB38009	C08718
HMDB41857	C16765
HMDB00244	C00255
HMDB00765	C00392
HMDB01137	C01024
HMDB15155	C07714
HMDB12225	C02763
HMDB12136	C05771
HMDB01261	C03263
HMDB33244	C14214
HMDB00926	C00747
HMDB59613	C20183
HMDB01848	C07049
HMDB15083	C07221
HMDB03072	C00296
HMDB59593	C19969
HMDB06769	C05294
HMDB06112	C19440
HMDB31404	C00571
HMDB00248	C01829
HMDB00822	C11527
HMDB01117	C04352
HMDB30934	C08342
HMDB00126	C00093;C03189
HMDB60236	C15560
HMDB38202	C17490
HMDB33699	C01594
HMDB30211	C09555;C17592
HMDB00933	C16308
HMDB14703	C01937
HMDB00127	C00191
HMDB01941	C06857
HMDB01078	C00275
HMDB01066	C03451
HMDB01049	C00669
HMDB12452	C16679
HMDB34942	C11673
HMDB02231	C16526
HMDB06456	C04133
HMDB29840	C08568
HMDB05035	C07325
HMDB29379	C00933
HMDB11116	C05427
HMDB29365	C02717
HMDB01485	C01387
HMDB36423	C09547;C09385
HMDB00547	C00305
HMDB04818	C20387
HMDB03572	C01850
HMDB00918	C14641
HMDB29748	C19245
HMDB59734	C19915
HMDB15264	C07675
HMDB29520	C16989
HMDB60682	C16656
HMDB03949	C05276
HMDB00060	C00164
HMDB30835	C02906
HMDB33463	C10497
HMDB34411	C10515
HMDB15332	C08059
HMDB29539	C08731
HMDB14382	C07827
HMDB06525	C06308;C09880;C06306
HMDB06852	C15783
HMDB13682	C00761
HMDB01566	C02230
HMDB03406	C00740
HMDB00343	C05298
HMDB31809	C18492
HMDB36096	C16909
HMDB15179	C06688
HMDB02283	C14771
HMDB04264	C14771
HMDB60342	C14865
HMDB00812	C01042
HMDB29636	C07214
HMDB06853	C06145
HMDB60664	C16624
HMDB01372	C00068
HMDB06707	C01967
HMDB01888	C03134
HMDB36748	C18015
HMDB01240	C20361
HMDB13636	C00113
HMDB14743	C01531
HMDB14722	C06977
HMDB02003	C08320
HMDB31727	C18707
HMDB36616	C10522
HMDB34525	C08931
HMDB59810	C07208
HMDB04983	C11142
HMDB34145	C10464
HMDB00070	C00408
HMDB00716	C00408
HMDB15073	C07241
HMDB29521	C10044
HMDB02331	C05131
HMDB15008	C07320
HMDB06547	C16300
HMDB02022	C03838
HMDB31795	C11208
HMDB02659	C06710
HMDB33325	C08600
HMDB15374	C06847
HMDB14868	C07131
HMDB00073	C03758
HMDB31458	C08620
HMDB32051	C12300
HMDB13897	C16648
HMDB15007	C06969
HMDB01087	C03089
HMDB32386	C07874
HMDB06283	C05500
HMDB34160	C12298
HMDB13780	C08372
HMDB01195	C03684
HMDB37247	C09832
HMDB60679	C16569
HMDB30794	C10085
HMDB00625	C00257
HMDB02367	C17438
HMDB31797	C18418
HMDB00929	C00078
HMDB60424	C18038
HMDB34981	C04273
HMDB59905	C07111
HMDB29422	C05575
HMDB14344	C01912
HMDB00715	C01717
HMDB11731	C01062
HMDB04193	C05842
HMDB36627	C20210
HMDB60442	C05341
HMDB33481	C10755
HMDB13858	C16550
HMDB30272	C10135
HMDB30748	C09806
HMDB02024	C02835
HMDB31808	C18897
HMDB03841	C04454
HMDB05809	C10453
HMDB12245	C08272
HMDB29931	C00464
HMDB38029	C17889
HMDB01330	C04409
HMDB38750	C03004
HMDB14755	C07411
HMDB29841	C08569
HMDB04710	C14835
HMDB41592	C05838
HMDB01489	C00620
HMDB33990	C05376
HMDB02273	C05947;C03079
HMDB29916	C06353
HMDB11631	C03227
HMDB37236	C08830
HMDB15652	C11768
HMDB34731	C10826
HMDB29463	C10065
HMDB12469	C09640
HMDB29374	C10174
HMDB00714	C01586
HMDB36837	C17508
HMDB35608	C09788
HMDB15194	C06839
HMDB15503	C13244
HMDB15428	C06897
HMDB60693	C16558
HMDB14516	C07132
HMDB14477	C07163
HMDB00158	C00082
HMDB03101	C08614
HMDB34158	C10787
HMDB00076	C00429
HMDB14322	C07571
HMDB36751	C06086;C18228
HMDB13233	C02800
HMDB35766	C09836
HMDB36630	C10538
HMDB00609	C00355
HMDB00181	C00355
HMDB60409	C18042
HMDB14399	C06973
HMDB06511	C04575
HMDB05971	C04575
HMDB00292	C00385
HMDB14785	C07406
HMDB59627	C00877
HMDB02009	C00877
HMDB03769	C03772
HMDB30983	C10770
HMDB38196	C16773
HMDB36698	C09110
HMDB32706	C18750
HMDB00239	C00314
HMDB41827	C01342
HMDB06886	C05458
HMDB31469	C17846
HMDB34852	C11125
HMDB15452	C07889
HMDB29597	C11249
HMDB34648	C08980
HMDB36328	C20216
HMDB31036	C08379
HMDB00802	C00715
HMDB01928	C07041
HMDB14915	C07405
HMDB60378	C02232
HMDB11725	C16199
HMDB13593	C00265
HMDB33346	C10735
HMDB38527	C10802
HMDB06821	C05923
HMDB10210	C04577
HMDB15003	C07538
HMDB37516	C18203
HMDB34462	C14718
HMDB06866	C15976
HMDB03598	C02075
HMDB14954	C07144
HMDB15421	C06879
HMDB12247	C03340
HMDB02500	C01324
HMDB00910	C17076
HMDB31265	C14696
HMDB35188	C19958
HMDB00879	C13713
HMDB60198	C16169
HMDB10386	C04100
HMDB12189	C16565
HMDB14761	C07010
HMDB00268	C05476
HMDB15466	C07592
HMDB00132	C00242
HMDB06048	C14475
HMDB34939	C19736
HMDB36089	C18025;C09868
HMDB01296	C02052
HMDB01929	C07660
HMDB36680	C16946
HMDB41527	C15792
HMDB14826	C07908
HMDB11599	C02216
HMDB30554	C14154
HMDB04110	C05682
HMDB38931	C10884
HMDB30354	C09912
HMDB00257	C00320
HMDB06335	C14152
HMDB02710	C05957
HMDB15304	C07935
HMDB01088	C00136
HMDB01039	C01328
HMDB01562	C03479
HMDB05102	C06438
HMDB60406	C12739
HMDB06840	C15915
HMDB00787	C00272
HMDB00027	C00272
HMDB59658	C00272
HMDB13854	C13061
HMDB35807	C00887
HMDB04290	C06051
HMDB01008	C00500
HMDB30096	C16289
HMDB06485	C03204
HMDB01922	C06922
HMDB29437	C01683
HMDB31810	C11285
HMDB12129	C09817
HMDB40940	C17515
HMDB06523	C02249
HMDB35164	C17645
HMDB00037	C01780
HMDB01183	C00756
HMDB31800	C18661
HMDB29751	C00829
HMDB13692	C18167
HMDB04821	C20384
HMDB14891	C07518
HMDB38578	C05306
HMDB11618	C15492
HMDB14794	C07156
HMDB06228	C18231
HMDB31344	C06105
HMDB01338	C00154
HMDB14763	C08088
HMDB33733	C15770
HMDB15270	C06896
HMDB30451	C06896
HMDB14901	C07190
HMDB13645	C13914
HMDB30213	C09558
HMDB05049	C13800
HMDB30111	C10457
HMDB12258	C07294
HMDB01320	C04654
HMDB41965	C14403
HMDB35622	C11408
HMDB11105	C16365
HMDB15527	C07366
HMDB01016	C03492
HMDB01414	C00134
HMDB00400	C01292
HMDB00151	C00951
HMDB00535	C01585
HMDB14909	C07853
HMDB12238	C00708
HMDB38003	C20491
HMDB14716	C07184
HMDB12329	C16683
HMDB34745	C08945
HMDB31783	C18985
HMDB11690	C16675
HMDB40733	C00548
HMDB01419	C13550
HMDB03052	C00424
HMDB01292	C06257
HMDB60661	C16542
HMDB00478	C17687
HMDB11614	C02241
HMDB34695	C08796
HMDB01496	C03594
HMDB59592	C03594
HMDB14929	C11686
HMDB03646	C02565
HMDB00086	C00670
HMDB04327	C06142
HMDB01512	C03028
HMDB32702	C14752
HMDB03288	C05688
HMDB30251	C06175
HMDB06870	C05998
HMDB41922	C08737
HMDB31848	C15469
HMDB01926	C07534
HMDB29915	C06352
HMDB34360	C10108
HMDB13188	C18620
