HMDB14897	D00201
HMDB14844	D08560
HMDB06240	D01552
HMDB14832	D07776
HMDB14798	D00773
HMDB15621	D01142
HMDB14466	D07448
HMDB14892	D00708
HMDB15321	D00277
HMDB15623	D05731
HMDB14588	D07901
HMDB00108	D02798;D04855;D00068;D06542
HMDB15604	D05443
HMDB15008	D00452
HMDB15442	D02618
HMDB06036	D04947
HMDB31630	D05625
HMDB15055	D08526
HMDB14486	D00521
HMDB15016	D07668
HMDB15458	D01167
HMDB14723	D00440
HMDB15140	D00341
HMDB14707	D00263
HMDB14261	D07665
HMDB14340	D06298;D00406
HMDB14692	D00155
HMDB15126	D00463
HMDB15486	D07650
HMDB15221	D08194
HMDB15326	D07962
HMDB14427	D07281
HMDB15360	D00491
HMDB15513	D01354
HMDB15581	D01774
HMDB59846	D08274
HMDB15247	D00437
HMDB14450	D00208
HMDB31762	D03382
HMDB14948	D00779
HMDB00827	D00119
HMDB15444	D01071
HMDB41990	D07288
HMDB00517	D02982
HMDB13675	D00152
HMDB00195	D00054
HMDB14800	D08643
HMDB31812	D05291
HMDB14419	D00910
HMDB15415	D02017
HMDB32538	D00215
HMDB15272	D08218;D02465
HMDB15120	D00520
HMDB15534	D00531
HMDB15459	D00973
HMDB15244	D00262
HMDB14786	D00420
HMDB60691	D09364
HMDB01659	D02311
HMDB00016	D07792
HMDB15166	D00475
HMDB14831	D01261
HMDB12242	D00351
HMDB15163	D00523
HMDB14511	D00950
HMDB05023	D08690
HMDB15113	D02318
HMDB14562	D00430
HMDB15036	D08473
HMDB14490	D07124
HMDB14611	D08460
HMDB01943	D08449
HMDB05018	D07450
HMDB31548	D02330
HMDB14904	D07711
HMDB14784	D00202
HMDB01925	D00126
HMDB15470	D00566
HMDB15689	D07458
HMDB41916	D08113
HMDB15570	D04281
HMDB05041	D07869
HMDB15574	D08109
HMDB00121	D00070
HMDB14639	D03654
HMDB29745	D04140
HMDB15533	D07328
HMDB01218	D07751
HMDB14315	D00188
HMDB00876	D00188
HMDB15614	D01385
HMDB15095	D00513
HMDB05028	D07913
HMDB14420	D05246
HMDB01967	D00004
HMDB00448	D08839
HMDB15064	D00419
HMDB15014	D04040
HMDB03119	D00077
HMDB14781	D00368
HMDB14852	D07460
HMDB15187	D00629
HMDB15182	D07057
HMDB14643	D02355
HMDB15650	D04286
HMDB00043	D07523
HMDB59606	D07523
HMDB15027	D00898
HMDB40392	D02296
HMDB15332	D00879
HMDB15152	D05045
HMDB14785	D07809
HMDB32444	D05963
HMDB15352	D08098
HMDB15175	D00754
HMDB00561	D03101
HMDB15545	D08593
HMDB15178	D08011
HMDB15369	D00790
HMDB14724	D07816
HMDB14972	D00585
HMDB14386	D03182
HMDB15165	D00703
HMDB02306	D02057
HMDB15173	D00565
HMDB15156	D00658
HMDB15314	D08249
HMDB15280	D08257
HMDB15527	D00470
HMDB01932	D02358
HMDB14881	D04283
HMDB14673	D00375
HMDB14938	D07946
HMDB14715	D00870
HMDB14586	D00244
HMDB15374	D07520
HMDB15611	D00404
HMDB15668	D04316
HMDB15425	D00260
HMDB15653	D03821
HMDB14608	D08104
HMDB03125	D00008
HMDB42025	D01873
HMDB15104	D07129
HMDB15324	D02338
HMDB15364	D00292
HMDB14592	D02349
HMDB14531	D08425
HMDB15448	D01322
HMDB14353	D08594
HMDB14672	D07760
HMDB15291	D01352
HMDB01933	D00331
HMDB14796	D01983;D08512
HMDB14789	D00691
HMDB14939	D00338
HMDB15059	D00259
HMDB42005	D03773
HMDB15211	D01240
HMDB05033	D02709
HMDB15345	D02374
HMDB14494	D00418
HMDB14630	D02306
HMDB14559	D00204
HMDB15068	D02671
HMDB15194	D02339
HMDB14732	D07447
HMDB14498	D07547
HMDB15313	D08435
HMDB41883	D03895
HMDB30583	D08515
HMDB15508	D07343
HMDB15693	D07373
HMDB14467	D04197
HMDB15632	D06068
HMDB15405	D04157
HMDB00902	D00002
HMDB14641	D08354
HMDB33533	D01682
HMDB14618	D00267
HMDB15528	D00457
HMDB00123	D00011
HMDB15214	D08531
HMDB14382	D03180
HMDB15661	D04257
HMDB14477	D08195
HMDB01881	D00078
HMDB14697	D08054
HMDB03033	D03363
HMDB15259	D03936
HMDB14929	D06265
HMDB14262	D00442
HMDB15160	D01828
HMDB15223	D07596
HMDB15056	D01332;D08105
HMDB14716	D00398;D08664
HMDB14344	D00140
HMDB15465	D01366
HMDB00237	D02310
HMDB01890	D00221
HMDB14334	D03150
HMDB15544	D00660
HMDB14401	D06884
HMDB15264	D08378
HMDB41989	D08379
HMDB14583	D00145
HMDB14906	D08293
HMDB15695	D08495
HMDB41834	D01056
HMDB15305	D00506
HMDB00564	D03585
HMDB14406	D07455
HMDB05031	D08491
HMDB32337	D07271
HMDB14410	D01381
HMDB14399	D07876
HMDB34250	D01331
HMDB35659	D05839;D06521;D06522
HMDB29570	D03789
HMDB14394	D00342
HMDB15704	D06274
HMDB15540	D07487
HMDB42029	D07277
HMDB15180	D04790
HMDB15670	D06552
HMDB15646	D07793
HMDB35807	D00102
HMDB14753	D00424
HMDB05008	D00355
HMDB15025	D07671
HMDB15373	D03472
HMDB15539	D01425
HMDB15388	D08108
HMDB31822	D05175
HMDB31608	D03467
HMDB14446	D04196
HMDB41920	D08149
HMDB14728	D07874
HMDB15496	D00231;D02084
HMDB00177	D00032
HMDB15407	D08387
HMDB14570	D00317
