C01839	B00357
C14194	-
C12137	B04431
C07448	-
C17702	-
C02336	B01561
C12185	-
C07270	-
C14579	-
C20971	-
C09100	B02683
C18608	-
C18673	-
C16862	-
C22166	-
C06140	-
C18981	-
C10819	B04153
C21237	-
C09337	B02874
C21178	-
C00099	B00025
C00708	-
C01142	B01391
C01302	B04792
C14888	-
C07715	B01091
C16119	-
C17102	-
C07363	-
C12753	B04555
C12717	-
C12988	B04563
C15567	-
C05544	-
C01265	B00268
C09573	B03092
C10114	B03552
C16209	-
C17775	-
C09788	B03285
C04171	-
C07171	-
C21830	-
C20153	-
C21022	-
C01608	-
C06778	-
C22110	-
C01759	-
C03648	B01679
C08666	B02314
C02480	B00448
C00146	B00040
C18929	-
C19526	-
C19903	-
C11477	-
C21209	-
C07182	-
C00240	-
C21529	-
C15885	-
C10902	-
C13713	-
C01408	B00286
C06326	-
C21845	-
C04827	-
C22092	-
C01897	B01513
C13949	-
C05613	B00808
C15979	-
C16367	-
C07373	-
C17494	-
C19458	-
C19748	-
C09935	B03393
C20062	-
C07541	-
C20506	-
C21268	-
C11333	-
C06269	-
C18059	-
C14895	-
C01089	B00239
C17596	-
C16360	-
C01794	B04814
C20847	-
C07007	-
C13809	B04585
C16736	-
C06928	-
C07464	-
C07770	-
C14223	-
C08821	B02437
C20217	-
C11431	-
C11845	B05552
C12814	-
C09234	B05339
C14759	-
C20168	-
C12400	B04483
C21061	-
C05131	B01811
C07336	-
C02755	-
C12317	-
C02167	B00394
C19351	-
C05010	-
C21703	-
C04763	-
C06489	-
C20228	-
C11243	-
C11440	-
C13926	-
C06563	B00974
C00593	B00143
C18908	-
C18369	-
C18763	-
C10848	B05494
C14341	-
C00637	B00152
C03686	B00623
C09436	B02966
C16054	-
C20560	-
C20490	-
C10500	B03903
C10325	B03742
C11943	B04382
C15410	-
C21495	-
C18999	-
C15825	-
C02453	-
C06552	-
C14097	-
C13697	-
C02335	B04849
C16369	-
C18748	-
C11996	B04402
C15219	-
C15853	-
C19955	-
C02591	B01590
C05455	B05034
C08772	B05290
C15250	-
C05451	B05031
C05648	B05086
C21015	-
C14704	-
C18927	-
C10565	-
C10890	B04194
C03577	B01671
C11732	-
C14548	-
C05619	B00811
C08379	-
C06677	B01025
C15813	-
C03659	B01682
C09544	B03066
C10099	B03538
C05473	B05048
C22024	-
C01817	B01502
C02075	-
C00906	B04750
C06207	B00922
C18387	-
C16581	-
C03547	-
C18342	-
C15578	-
C11935	B05578
C12411	B04494
C15749	-
C00481	-
C16051	-
C02824	-
C18507	-
C08980	B02582
C19678	-
C18781	-
C16429	-
C14476	-
C15462	-
C17068	-
C13681	-
C20475	-
