C01839	CHEMBL457583
C14194	CHEMBL83116
C12137	-
C07448	CHEMBL12160
C17702	-
C02336	CHEMBL604608
C12185	-
C07270	-
C14579	-
C20971	-
C09100	CHEMBL312920;CHEMBL380352
C18608	CHEMBL2145254
C18673	CHEMBL1644697
C16862	CHEMBL451930
C22166	-
C06140	-
C18981	CHEMBL226967
C10819	CHEMBL443114
C21237	-
C09337	-
C21178	-
C00099	CHEMBL297569
C00708	-
C01142	-
C01302	-
C14888	-
C07715	CHEMBL16236
C16119	-
C17102	-
C07363	CHEMBL762
C12753	CHEMBL564085
C12717	CHEMBL1203969
C12988	-
C15567	-
C05544	-
C01265	CHEMBL164861
C09573	-
C10114	CHEMBL1468796;CHEMBL520866
C16209	-
C17775	-
C09788	-
C04171	-
C07171	CHEMBL1490
C21830	-
C20153	-
C21022	-
C01608	CHEMBL527
C06778	-
C22110	-
C01759	CHEMBL3303294;CHEMBL221572
C03648	-
C08666	-
C02480	-
C00146	CHEMBL14060
C18929	-
C19526	CHEMBL1552233
C19903	-
C11477	-
C21209	-
C07182	CHEMBL1200391
C00240	-
C21529	-
C15885	-
C10902	-
C13713	CHEMBL1256760
C01408	CHEMBL190677
C06326	-
C21845	-
C04827	-
C22092	-
C01897	CHEMBL65
C13949	-
C05613	-
C15979	-
C16367	-
C07373	CHEMBL608
C17494	CHEMBL2272665
C19458	-
C19748	-
C09935	-
C20062	-
C07541	-
C20506	-
C21268	-
C11333	-
C06269	CHEMBL1231052
C18059	-
C14895	-
C01089	CHEMBL1162484
C17596	-
C16360	CHEMBL430928
C01794	-
C20847	-
C07007	CHEMBL1708010;CHEMBL1501
C13809	CHEMBL1592632
C16736	-
C06928	CHEMBL428880
C07464	CHEMBL51
C07770	CHEMBL403
C14223	CHEMBL1528560
C08821	CHEMBL1836654
C20217	CHEMBL2387742
C11431	-
C11845	-
C12814	CHEMBL1213353
C09234	-
C14759	CHEMBL354663
C20168	CHEMBL327745
C12400	CHEMBL1965087
C21061	CHEMBL1210905
C05131	-
C07336	CHEMBL1200472
C02755	-
C12317	CHEMBL319354;CHEMBL555743
C02167	-
C19351	-
C05010	CHEMBL90260
C21703	-
C04763	-
C06489	CHEMBL6444
C20228	-
C11243	-
C11440	-
C13926	-
C06563	CHEMBL44
C00593	-
C18908	-
C18369	CHEMBL15768
C18763	CHEMBL51789
C10848	CHEMBL1947051;CHEMBL1947052
C14341	CHEMBL577241
C00637	-
C03686	-
C09436	-
C16054	-
C20560	-
C20490	-
C10500	-
C10325	CHEMBL32570
C11943	-
C15410	-
C21495	-
C18999	-
C15825	-
C02453	-
C06552	-
C14097	CHEMBL4171541
C13697	CHEMBL23832
C02335	-
C16369	-
C18748	CHEMBL1318057
C11996	CHEMBL489347
C15219	-
C15853	-
C19955	CHEMBL446991
C02591	-
C05455	CHEMBL4285345
C08772	-
C15250	-
C05451	-
C05648	-
C21015	-
C14704	CHEMBL117311
C18927	-
C10565	CHEMBL237548
C10890	CHEMBL1077080
C03577	-
C11732	CHEMBL296745
C14548	CHEMBL73754
C05619	CHEMBL4205174
C08379	-
C06677	CHEMBL541253
C15813	-
C03659	-
C09544	CHEMBL89311
C10099	CHEMBL444942
C05473	-
C22024	-
C01817	-
C02075	-
C00906	-
C06207	-
C18387	-
