C00001	H2O;Water
C00002	ATP;Adenosine 5'-triphosphate
C00003	Diphosphopyridine nucleotide;Nadide;NAD;NAD+;Nicotinamide adenine dinucleotide;DPN;beta-NAD+
C00004	DPNH;Reduced nicotinamide adenine dinucleotide;NADH
C00005	NADPH;Reduced nicotinamide adenine dinucleotide phosphate;TPNH
C00006	Nicotinamide adenine dinucleotide phosphate;beta-Nicotinamide adenine dinucleotide phosphate;Triphosphopyridine nucleotide;NADP;TPN;beta-NADP+;NADP+
C00007	Oxygen;O2
C00008	Adenosine 5'-diphosphate;ADP
C00009	Orthophosphate;Phosphate;Phosphoric acid;Orthophosphoric acid
C00010	Coenzyme A;CoA-SH;CoA
C00011	CO2;Carbon dioxide
C00012	Peptide
C00013	Pyrophosphate;Diphosphoric acid;Pyrophosphoric acid;Diphosphate;PPi
C00014	Ammonia;NH3
C00015	UDP;Uridine 5'-diphosphate
C00016	Flavin adenine dinucleotide;FAD
C00017	Protein
C00018	Pyridoxal 5'-phosphate;Pyridoxal phosphate;Pyridoxal 5-phosphate;PLP
C00019	S-Adenosyl-L-methionine;S-Adenosylmethionine;SAM;AdoMet
C00020	Adenylate;Adenylic acid;Adenosine 5'-monophosphate;5'-Adenosine monophosphate;AMP;5'-Adenylic acid;Adenosine 5'-phosphate;5'-AMP
C00021	S-Adenosylhomocysteine;S-Adenosyl-L-homocysteine
C00022	Pyruvic acid;Pyroracemic acid;2-Oxopropanoic acid;Pyruvate;2-Oxopropanoate
C00023	Iron
C00024	Acetyl coenzyme A;Acetyl-CoA
C00025	L-Glutaminic acid;L-Glutamic acid;Glutamate;L-Glutamate
C00026	Oxoglutaric acid;alpha-Ketoglutaric acid;2-Ketoglutaric acid;2-Oxoglutarate
C00027	Hydrogen peroxide;H2O2;Oxydol
C00028	Oxidized donor;Hydrogen-acceptor;Acceptor;A
C00029	UDP-D-glucose;UDPglucose;UDP-glucose;Uridine diphosphate glucose;UDP-alpha-D-glucose
C00030	Donor;Reduced acceptor;AH2;Hydrogen-donor
C00031	D-Glucose;Grape sugar;D-Glucopyranose;Dextrose;Glucose
C00032	Protoheme;Heme;Protoheme IX;Haem;Heme B
C00033	Ethanoic acid;Acetate;Acetic acid
C00034	Manganese
C00035	Guanosine 5'-diphosphate;Guanosine diphosphate;GDP
C00036	keto-Oxaloacetate;Oxalacetic acid;2-Oxosuccinic acid;Oxaloacetic acid;2-Oxobutanedioic acid;Oxaloacetate
C00037	Gly;Aminoacetic acid;Glycine
C00038	Zinc cation;Zn(II);Zn2+;Zinc ion
C00039	DNAn+1;(Deoxyribonucleotide)n;DNA;(Deoxyribonucleotide)m;Deoxyribonucleic acid;(Deoxyribonucleotide)n+m;DNAn
C00040	Acyl-CoA;Acyl coenzyme A
C00041	L-alpha-Alanine;L-2-Aminopropionic acid;L-Alanine
C00042	Succinic acid;Butanedionic acid;Succinate;Ethylenesuccinic acid
C00043	UDP-N-acetyl-alpha-D-glucosamine;UDP-N-acetyl-D-glucosamine;UDP-N-acetylglucosamine
C00044	GTP;Guanosine 5'-triphosphate
C00045	Amino acid;Amino acids
C00046	RNAn+1;Ribonucleic acid;(Ribonucleotide)n+m;(Ribonucleotide)m;RNA(linear);(Ribonucleotide)n;RNA;RNAn
C00047	Lysine acid;L-Lysine;2,6-Diaminohexanoic acid
C00048	Glyoxylate;Glyoxalate;Glyoxylic acid
C00049	L-Asp;2-Aminosuccinic acid;L-Aspartic acid;L-Aspartate
C00050	Metal
C00051	N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine;gamma-L-Glutamyl-L-cysteinyl-glycine;5-L-Glutamyl-L-cysteinylglycine;GSH;Glutathione;Reduced glutathione
C00052	UDP-D-galactose;UDP-alpha-D-galactose;UDP-alpha-D-galactopyranose;UDP-galactose;UDP-D-galactopyranose
C00053	3'-Phospho-5'-adenylyl sulfate;3'-Phosphoadenosine 5'-phosphosulfate;PAPS;3'-Phosphoadenylyl sulfate
C00054	Phosphoadenosine phosphate;PAP;Adenosine 3',5'-bisphosphate;3'-Phosphoadenylate
C00055	CMP;Cytidylic acid;Cytidine-5'-monophosphate
C00058	Formic acid;Methanoic acid;Formate
C00059	Sulfate;Sulfuric acid
C00060	Carboxylic acid;Carboxylate;R-COOH;Monocarboxylate
C00061	Flavin mononucleotide;Riboflavin-5-phosphate;FMN
C00062	(S)-2-Amino-5-guanidinovaleric acid;L-Arginine;L-Arg
C00063	Cytidine 5'-triphosphate;CTP;Cytidine triphosphate
C00064	L-2-Aminoglutaramic acid;L-Glutamine
C00065	L-3-Hydroxy-alanine;L-2-Amino-3-hydroxypropionic acid;L-Serine;Serine
C00066	tRNA(n+1);transfer RNA;tRNA;tRNA(n)
C00067	Formalin;Methanal;Oxomethane;Methylene oxide;Formaldehyde;Oxomethylene
C00068	Thiamin diphosphate;Thiamin pyrophosphate;Thiamine diphosphate;TPP;ThPP
C00069	Alcohol
C00070	Cu(II);Copper;Cu+;Cu2+
C00071	RCHO;Aldehyde
C00072	Vitamin C;L-Ascorbate;L-Ascorbic acid;Ascorbic acid;Ascorbate
C00073	Methionine;L-2-Amino-4methylthiobutyric acid;L-Methionine
C00074	Phosphoenolpyruvic acid;PEP;Phosphoenolpyruvate
C00075	Uridine triphosphate;UTP;Uridine 5'-triphosphate
C00076	Ca2+;Calcium ion;Calcium(2+);Calcium cation
C00077	(S)-2,5-Diaminovaleric acid;(S)-2,5-Diaminopentanoic acid;(S)-2,5-Diaminopentanoate;L-Ornithine
C00078	Tryptophan;(S)-alpha-Amino-beta-(3-indolyl)-propionic acid;L-Tryptophan
C00079	L-Phenylalanine;(S)-alpha-Amino-beta-phenylpropionic acid
C00080	Hydron;H+
C00081	Inosine 5'-triphosphate;Inosine triphosphate;Inosine tripolyphosphate;ITP
C00082	(S)-3-(p-Hydroxyphenyl)alanine;(S)-2-Amino-3-(p-hydroxyphenyl)propionic acid;Tyrosine;L-Tyrosine
C00083	Malonyl coenzyme A;Malonyl-CoA
C00084	Ethanal;Acetaldehyde
C00085	Neuberg ester;D-Fructose 6-phosphate;D-Fructose 6-phosphoric acid
C00086	Urea;Carbamide
