C09486	J17.634F
C10871	J112.698I
C16435	J262.841D
C19041	-
C02882	-
C16551	J562.727C
C11340	J365.136C
C19642	-
C07753	J362.100F
C19307	-
C00185	J6.676A
C08426	J493.608F
C01756	J2.298E
C18499	-
C17667	J1.772.832F
C18502	-
C02474	-
C21710	-
C07653	J8.099C
C09583	J17.348G
C20043	-
C05138	J22.718H
C21192	-
C11762	J1.589.713I
C09187	J9.430G
C22087	-
C01502	J3.217D
C09228	J14.178J
C19810	-
C01152	J111.364J
C05489	J2.756.014H
C17572	-
C16592	J337.792J
C17351	J12.900C
C01444	J5.942K
C11568	J1.679.149K
C07448	J161.437A
C19103	-
C03384	J92.787B
C06173	J5.266C
C11717	J2.775.801K
C09237	J2.769.100E
C05474	J2.755.993J
C09750	J17.884E
C16729	-
C01432	J1.358G
C17717	J1.520.610A
C14723	J56.289K
C16480	J2.802.686B
C20415	-
C04615	-
C04847	J782.450E
C00332	J298.605A
C05488	J5.867J
C11552	-
C10088	J16.785A
C21354	-
C15948	J366.796K
C14181	J105.296I
C10937	J195.901H
C02802	J1.798.410A
C11638	J1.328.431H
C06002	J2.359.609A
C15092	J2.792.562F
C16364	J4.720A
C13106	-
C05031	J366.857F
C03600	J248.091C
C17514	-
C20229	-
C20343	-
C02741	-
C09911	J16.951J
C21655	-
C10396	J15.026F
C21305	-
C02419	J2.736.644I
C03682	J2.743.890C
C19870	-
C05924	J1.100.870D
C18301	-
C16525	J394.182E
C13482	J8.863C
C14415	J2.351E
C15961	J2.799.777E
C19228	-
C19175	-
C12836	J2.783.870G
C14629	J217.687D
C04105	J1.552.257G
C16408	J1.863.019B
C00524	J209.145C
C11737	J22.095G
C21721	-
C12038	J678.306F
C00143	J356.347B
C05721	-
C01742	J16.052K
C05655	J2.756.686C
C08106	J17.424F
C03012	J135.090K
C21481	-
C09289	J13.573I
C10353	J53.044A
C17790	J19.822F
C19788	-
C12183	J1.833.101B
C00034	J89.952F
C15085	J1.175.735I
C15290	J2.793.695D
C14722	J92.558F
C18608	-
C16445	J510.865I
C05208	-
C08269	J6.292H
C07763	J2.529A
C18366	-
C02321	-
C07677	J365.005G
C20642	-
C09748	J20.201K
C05848	-
C08609	J11.410C
C05986	J13B
C15388	J111.455G
C00750	J5.246I
C16512	J6.414I
C17093	J2.805.645A
C02991	J1.153.839H
C02502	J13.556I
C15382	J130.682K
C04336	J2.750.024B
C04036	J225.505G
C08795	J8.327E
C09581	J9.488I
C00605	-
C00596	J2.142.292D
C10458	J412.502I
C10483	J10.874J
C20453	-
C19624	-
C21595	-
C08541	J624.060G
C11860	J2.777.645K
C03944	J2.744.788K
C12405	J533.514K
C05413	J14.118F
C03589	J609.509G
C18452	-
C14776	J855.517F
C07536	J1.381A
C20690	-
C16462	J11.776E
C16260	J8.438G
C09537	J20.422F
C15542	J2.794.879K
C02378	J1.398F
C09663	J12.132K
C10374	J175.452A
C21736	-
C15602	-
C21032	-
C05332	J4.833J
C06446	J2.767.406B
C14808	J640.451K
C01120	J773.227I
C11765	J2.777.038J
C20803	-
C12139	J292.686E
C13044	J54.226A
C03794	J37.503I
C09256	J9.366A
C15884	J1.083.650F
C17605	J1.075.877G
C08893	J2.767.290F
