C01839	6X7
C14194	PCQ
C12137	-
C07448	-
C17702	827
C02336	FRU
C12185	-
C07270	-
C14579	-
C20971	-
C09100	-
C18608	-
C18673	-
C16862	-
C22166	-
C06140	-
C18981	-
C10819	-
C21237	-
C09337	-
C21178	-
C00099	BAL
C00708	IOD
C01142	KBE
C01302	-
C14888	-
C07715	9FL
C16119	-
C17102	-
C07363	-
C12753	-
C12717	-
C12988	-
C15567	-
C05544	-
C01265	-
C09573	-
C10114	-
C16209	-
C17775	-
C09788	-
C04171	-
C07171	-
C21830	-
C20153	-
C21022	-
C01608	-
C06778	-
C22110	-
C01759	RIO
C03648	-
C08666	-
C02480	CCU
C00146	IPH
C18929	-
C19526	-
C19903	-
C11477	-
C21209	-
C07182	TRS
C00240	-
C21529	-
C15885	-
C10902	-
C13713	A8Z
C01408	-
C06326	-
C21845	-
C04827	-
C22092	-
C01897	EHD
C13949	-
C05613	-
C15979	-
C16367	-
C07373	-
C17494	-
C19458	-
C19748	-
C09935	-
C20062	-
C07541	-
C20506	-
C21268	-
C11333	-
C06269	ARS
C18059	-
C14895	-
C01089	3HR
C17596	-
C16360	-
C01794	-
C20847	3S4
C07007	-
C13809	-
C16736	-
C06928	-
C07464	-
C07770	0RN
C14223	-
C08821	-
C20217	-
C11431	-
C11845	-
C12814	-
C09234	-
C14759	-
C20168	-
C12400	-
C21061	-
C05131	-
C07336	-
C02755	-
C12317	2TL
C02167	-
C19351	-
C05010	-
C21703	-
C04763	-
C06489	W33
C20228	-
C11243	-
C11440	-
C13926	-
C06563	GEN
C00593	-
C18908	-
C18369	-
C18763	-
C10848	-
C14341	-
C00637	-
C03686	-
C09436	-
C16054	-
C20560	AG3
C20490	-
C10500	-
C10325	-
C11943	-
C15410	-
C21495	-
C18999	-
C15825	-
C02453	-
C06552	OKM
C14097	-
C13697	-
C02335	-
C16369	-
C18748	-
C11996	MT9
C15219	-
C15853	-
C19955	HOS
C02591	SUP
C05455	-
C08772	-
C15250	-
C05451	-
C05648	-
C21015	-
C14704	-
C18927	-
C10565	-
C10890	-
C03577	-
C11732	-
C14548	-
C05619	-
C08379	-
C06677	TSU
C15813	-
C03659	-
C09544	-
C10099	-
C05473	-
C22024	8UX
C01817	-
C02075	-
C00906	-
C06207	-
C18387	-
C16581	-
C03547	-
C18342	-
C15578	-
C11935	-
C12411	-
C15749	-
C00481	PZO
C16051	-
C02824	-
C18507	-
C08980	-
C19678	-
C18781	-
C16429	-
C14476	-
C15462	-
C17068	-
C13681	-
C20475	-
C21129	-
C17632	-
C05770	-
C08656	-
C06732	TRY
C19667	-
C10519	-
C20422	-
C11806	-
C09260	-
C21793	CLT
C01690	DIF
C09176	-
C02803	-
C06364	-
C18346	-
C18755	-
C18306	-
C07660	LFX
C10567	-
C04806	-
C19001	-
C21871	-
C15126	-
C06718	-
C08787	-
C05698	-
C14532	-
C15226	-
C14862	-
C17873	-
C18377	-
C19066	-
C07699	-
C04446	-
C16877	-
C01249	-
C15848	-
C21665	-
C03082	PHD
C01022	-
C04679	-
C00977	LTN
C18895	-
C20879	-
C21191	-
C15004	-
C14764	EVJ
C02186	-
C12639	-
C13622	-
C14671	-
C16482	-
C17215	-
C11637	-
C18089	-
C18477	-
C05314	-
C10877	-
C13743	AT4
C12173	-
C10256	-
C14397	-
C17834	-
C09795	-
C10306	-
C02899	-
C17441	-
C20330	-
C00982	-
C20472	-
C17824	-
C19204	-
C00800	2UF
C19271	-
C10353	-
C18903	-
C02894	-
C09086	-
C03475	-
C14183	-
C04403	-
C00327	CIR
C16847	7C4
C21346	-
C14774	-
C06496	W71
C12328	-
C01905	DSG
C00458	DCP
C10401	RHN
C14995	-
C01117	-
C04525	-
C00340	-
C11335	-
C15318	-
C16517	-
C03515	-
C10223	-
C16755	-
C16142	-
C09308	LX8
C21041	-
C06399	-
C10435	-
C04424	-
C06028	-
C16689	-
C02488	-
C06890	-
C14416	-
C00505	-
C08456	-
C09792	-
C14652	-
C12129	-
C20822	-
C05785	-
C10296	-
C22068	-
C14336	-
C16184	-
C17446	-
C20316	-
C00315	SR0;SPD
C11356	-
C21604	-
C11752	-
C15794	-
C18557	-
C00381	-
C04711	-
C16644	-
C07588	-
C09549	-
C02467	-
C00496	-
C02160	-
C15160	-
C16987	-
C17536	-
C06883	-
C06048	-
C15740	-
C16956	-
C04092	-
C18428	W9M
C07397	-
C21385	-
C07556	-
C14161	-
C21319	-
C07849	-
C02351	-
C09395	-
C21842	-
C14221	-
C07555	-
C19607	-
C04313	-
C15984	-
C05576	-
C08588	-
C07070	-
C08956	-
C12570	-
C19935	AZI
C20325	-
C20591	-
C03958	-
C09517	-
C03462	-
C10732	-
C03767	-
C14986	-
C18750	-
C19666	-
C11068	-
C11951	-
C09765	-
C16485	FPN
C09774	-
C05446	-
C06454	FCN
C14803	-
C01567	-
C14406	-
C02306	-
C15793	-
C11084	-
C17335	-
C00290	-
C03240	DEB
C16787	-
C06369	D6G;0NZ
C18259	-
C03523	-
C20481	-
C10132	-
C11227	ESC
C17382	-
C00478	-
C09162	-
C18672	MMC
C10762	-
C10314	-
C16254	-
C04938	-
C11761	-
C12075	-
C01907	DM1
C14246	-
C14251	-
C00415	DHF
C15705	-
C21455	-
C14611	-
C15478	-
C06513	-
C18339	-
C08113	-
C11313	-
C15878	-
C20315	-
C18949	-
C17938	-
C04906	-
C22158	-
C21489	-
C01177	IPD
C11735	2JC
C18725	-
C07673	8CV
C15828	-
C14313	47X
C09877	-
C18565	-
C07478	-
C18602	-
C10226	-
C14994	-
C02377	-
C18478	-
C20412	-
C07283	-
C18305	-
C09241	-
C19611	MN3
C03684	-
C08037	-
C16434	-
C04580	DAN
C10612	-
