DG00001	Chlorhexidine
DG00002	Oxyquinoline
DG00003	Neomycin
DG00004	Miconazole
DG00005	Tetracycline
DG00006	Metronidazole
DG00007	Chlortetracycline
DG00008	Doxycycline
DG00009	Minocycline
DG00010	Triamcinolone
DG00011	Dexamethasone
DG00012	Hydrocortisone
DG00013	Epinephrine
DG00014	Benzydamine
DG00015	Acetylsalicylic acid
DG00016	Adrenalone
DG00017	Cimetidine
DG00018	Ranitidine
DG00019	Roxatidine
DG00020	Omeprazole
DG00021	Pantoprazole
DG00022	Rabeprazole
DG00023	Esomeprazole
DG00024	Carbenoxolone
DG00025	Sucralfate
DG00026	Pirenzepine
DG00027	Bismuth subcitrate
DG00028	Alginic acid
DG00029	Oxyphencyclimine
DG00030	Mebeverine
DG00031	Trimebutine
DG00032	Dicycloverine
DG00033	Dihexyverine
DG00034	Piperidolate
DG00035	Propantheline
DG00036	Methantheline
DG00037	Tridihexethyl
DG00038	Isopropamide
DG00039	Hexocyclium
DG00040	Mepenzolate
DG00041	Timepidium bromide
DG00042	Tiropramide
DG00043	Papaverine
DG00044	Drotaverine
DG00045	Moxaverine
DG00046	Alosetron
DG00047	Cilansetron
DG00048	Proxazole
DG00049	Alverine
DG00050	Phloroglucinol
DG00051	Silicone
DG00052	Atropine
DG00053	Hyoscyamine
DG00054	Belladonna total alkaloid
DG00055	Metoclopramide
DG00056	Cisapride
DG00057	Domperidone
DG00058	Alizapride
DG00059	Clebopride
DG00060	Ondansetron
DG00061	Granisetron
DG00062	Tropisetron
DG00063	Dolasetron
DG00064	Palonosetron
DG00065	Scopolamine
DG00066	Aprepitant
DG00067	Liquid paraffin
DG00068	Oxyphenisatine
DG00069	Bisacodyl
DG00070	Phenolphthalein
DG00071	Castor oil
DG00072	Sodium picosulfate
DG00073	Bisoxatin
DG00074	Lactitol
DG00075	Sodium sulfate
DG00076	Macrogol
DG00077	Sodium phosphate
DG00078	Naloxegol
DG00079	Linaclotide
DG00080	Prucalopride
DG00081	Tegaserod
DG00082	Streptomycin
DG00083	Polymyxin B
DG00084	Paromomycin
DG00085	Kanamycin
DG00086	Vancomycin
DG00087	Colistin
DG00088	Succinylsulfathiazole
DG00089	Attapulgite
DG00090	Diphenoxylate
DG00091	Opium
DG00092	Loperamide
DG00093	Prednisolone
DG00094	Prednisone
DG00095	Betamethasone
DG00096	Tixocortol
DG00097	Beclometasone
DG00098	Cromoglicic acid
DG00099	Olsalazine
DG00100	Balsalazide
DG00101	Lactic acid producing organism
DG00102	Phentermine
DG00103	Fenfluramine
DG00104	Amfepramone
DG00105	Dexfenfluramine
DG00106	Cathine
DG00107	Mefenorex
DG00108	Sibutramine
DG00109	Diastase
DG00110	Hydrochloric acid
DG00111	Citric acid
DG00112	Phenformin
DG00113	Metformin
DG00114	Buformin
DG00115	Tolbutamide
DG00116	Rosiglitazone
DG00117	Pioglitazone
DG00118	Sitagliptin
DG00119	Saxagliptin
DG00120	Pramlintide
DG00121	Benfluorex
DG00122	Dapagliflozin
DG00123	Retinol (vit A)
DG00124	Calcifediol
DG00125	Thiamine (vit B1)
DG00126	Ascorbic acid (vitamin C)
DG00127	Nicotinamide
DG00128	Pyridoxine (vit B6)
DG00129	Tocopherol (vit E)
DG00130	Riboflavin (vit B2)
DG00131	Biotin
DG00132	Pyridoxal phosphate
DG00133	Calcium pantothenate
DG00134	Calcium phosphate
DG00135	Calcium gluconate
DG00136	Calcium lactate
DG00137	Calcium chloride
DG00138	Zinc sulfate
DG00139	Magnesium chloride
DG00140	Metenolone
DG00141	Prasterone
DG00142	Nandrolone
DG00143	Levocarnitine
DG00144	Ademetionine
DG00145	Betaine
DG00146	Thioctic acid
DG00147	Sapropterin
DG00148	Eliglustat
DG00149	Warfarin
DG00150	Heparin
DG00154	Cloricromen
DG00155	Clopidogrel
DG00156	Ticlopidine
DG00157	Epoprostenol
DG00158	Iloprost
DG00159	Tirofiban
DG00160	Beraprost
DG00161	Treprostinil
DG00162	Urokinase
DG00163	Argatroban
DG00164	Dabigatran
DG00165	Camostat
DG00166	Menadione
DG00167	Human fibrinogen
DG00168	Oxidized cellulose
DG00169	Thrombin
DG00170	Blood coagulation factor VIII
DG00171	Blood coagulation factor IX
DG00172	Blood coagulation factor VII
DG00173	Carbazochrome
DG00174	Ferrous sulfate
DG00175	Hydroxocobalamin
DG00176	Folic acid
DG00177	Erythropoietin
DG00178	Peginesatide
DG00179	Albumin
DG00180	Dextran
DG00181	Gelatin agent
DG00182	Hemoglobin glutamer (bovine)
DG00183	Carbamide
DG00184	Cetylpyridinium
DG00185	Mandelic acid
DG00186	Ethacridine
DG00187	Sodium citrate
DG00188	Glucose
DG00189	Arginine hydrochloride
DG00190	Hyaluronidase
DG00191	Metildigoxin
DG00192	Quinidine
DG00193	Procainamide
DG00194	Disopyramide
DG00195	Sparteine
DG00196	Lidocaine
DG00197	Mexiletine
DG00198	Tocainide
DG00199	Aprindine
DG00200	Propafenone
DG00201	Flecainide
DG00202	Lorcainide
DG00203	Encainide
DG00204	Amiodarone
DG00205	Ibutilide
DG00206	Tedisamil
DG00207	Dronedarone
DG00208	Moricizine;Moracizine
DG00209	Cibenzoline
DG00210	Etilefrine
DG00211	Isoprenaline
DG00212	Norepinephrine
DG00213	Dopamine
DG00214	Norfenefrine
DG00215	Phenylephrine
DG00216	Dobutamine
DG00217	Oxedrine
DG00218	Metaraminol
DG00219	Methoxamine
DG00220	Mephentermine
DG00221	Prenalterol
DG00222	Dopexamine
DG00223	Ibopamine
DG00224	Midodrine
DG00225	Octopamine
DG00226	Fenoldopam
DG00227	Ephedrine
DG00228	Amrinone
DG00229	Milrinone
DG00230	Bucladesine
DG00231	Xamoterol
DG00232	Prenylamine
DG00233	Oxyfedrine
DG00234	Carbocromen
DG00235	Etafenone
DG00236	Heptaminol
DG00237	Dilazep
DG00238	Nesiritide
DG00239	Alprostadil
DG00240	Camphora
DG00241	Indometacin
DG00242	Fructose
DG00243	Adenosine
DG00244	Trimetazidine
DG00245	Ibuprofen
DG00246	Ivabradine
DG00247	Ranolazine
DG00248	Methyldopa (levorotatory)
DG00249	Clonidine
DG00250	Guanfacine
DG00251	Trimetaphan
DG00252	Mecamylamine
DG00253	Prazosin
DG00254	Indoramin
DG00255	Trimazosin
DG00256	Doxazosin
DG00257	Urapidil
DG00258	Guanethidine
DG00259	Debrisoquine
DG00260	Dihydralazine
DG00261	Hydralazine
DG00262	Endralazine
DG00263	Nitroprusside
DG00264	Pargyline
DG00265	Ketanserin
DG00266	Bosentan
DG00267	Sitaxentan
DG00268	Chlorothiazide
DG00269	Indapamide
DG00270	Fenquizone
DG00271	Cicletanine
DG00272	Furosemide
DG00273	Torasemide
DG00274	Etacrynic acid
DG00275	Amiloride
DG00276	Conivaptan
DG00277	Isoxsuprine
DG00278	Buphenine
DG00279	Bamethan
DG00280	Phentolamine
DG00281	Tolazoline
DG00282	Nicotinic acid
DG00283	Nicergoline
DG00284	Dihydroergocristine
DG00285	Phenoxybenzamine
DG00286	Vincamine
DG00287	Moxisylyte
DG00288	Bencyclane
DG00289	Buflomedil
DG00290	Naftidrofuryl
DG00291	Cetiedil
DG00292	Ifenprodil
DG00293	Fasudil
DG00294	Fluorometholone
DG00295	Fluocortolone
DG00296	Tetracaine
DG00297	Dibucaine;Cinchocaine
DG00298	Procaine
DG00299	Oxetacaine
DG00300	Pramocaine
DG00301	Phenol
DG00302	Rutoside
DG00303	Alprenolol
DG00304	Oxprenolol
DG00305	Propranolol
DG00306	Timolol
DG00307	Sotalol
DG00308	Carteolol
DG00309	Tertatolol
DG00310	Bopindolol
DG00311	Bupranolol
DG00312	Penbutolol
DG00313	Metoprolol
DG00314	Acebutolol
DG00315	Betaxolol
DG00316	Bisoprolol
DG00317	Celiprolol
DG00318	Esmolol
DG00319	Nebivolol
DG00320	Labetalol
DG00321	Carvedilol
DG00322	Amlodipine
DG00323	Nicardipine
DG00324	Manidipine
DG00325	Barnidipine
DG00326	Lercanidipine
DG00327	Benidipine
DG00328	Mibefradil
DG00329	Verapamil
DG00330	Gallopamil
DG00331	Diltiazem
DG00332	Fendiline
DG00333	Bepridil
DG00334	Perhexiline
DG00335	Enalapril
DG00336	Lisinopril
DG00337	Perindopril
DG00338	Quinapril
DG00339	Benazepril
DG00340	Cilazapril
DG00341	Fosinopril
DG00342	Spirapril
DG00343	Delapril
DG00344	Moexipril
DG00345	Temocapril
DG00346	Zofenopril
DG00347	Imidapril
DG00348	Losartan
DG00349	Eprosartan
DG00350	Candesartan
DG00351	Azilsartan
DG00352	Aliskiren
DG00353	Pravastatin
DG00354	Fluvastatin
DG00355	Atorvastatin
DG00356	Cerivastatin
DG00357	Rosuvastatin
DG00358	Clofibrate
DG00359	Colestipol
DG00360	Colextran
DG00361	Colesevelam
DG00362	Lomitapide
DG00363	Econazole
DG00364	Chlormidazole
DG00365	Isoconazole
DG00366	Sulconazole
DG00367	Oxiconazole
DG00368	Fenticonazole
DG00369	Omoconazole
DG00370	Sertaconazole
DG00371	Fluconazole
DG00372	Eberconazole
DG00373	Undecylenic acid
DG00374	Ciclopirox
DG00375	Terbinafine
DG00376	Amorolfine
DG00377	Naftifine
DG00378	Butenafine
DG00379	Aminobenzoic acid
DG00380	Hyaluronic acid
DG00381	Thonzylamine
DG00382	Mepyramine
DG00383	Tripelennamine
DG00384	Chloropyramine
DG00385	Promethazine
DG00386	Dimetindene
DG00387	Clemastine
DG00388	Bamipine
DG00389	Isothipendyl
DG00390	Diphenhydramine
DG00391	Chlorphenoxamine
DG00392	Oxybuprocaine
DG00393	Quinisocaine
DG00394	Calcipotriol
DG00395	Tacalcitol
DG00396	Demeclocycline
DG00397	Oxytetracycline
DG00398	Fusidic acid
DG00399	Chloramphenicol
DG00400	Bacitracin
DG00401	Gentamicin
DG00402	Mupirocin
DG00403	Amikacin
DG00404	Mafenide
DG00405	Tromantadine
DG00406	Aciclovir
DG00407	Inosine
DG00408	Penciclovir
DG00409	Lysozyme
DG00410	Methylprednisolone
DG00411	Clobetasone
DG00412	Flumetasone
DG00413	Fluocortin
DG00414	Fluprednidene
DG00415	Alclometasone
DG00416	Clocortolone
DG00417	Diflucortolone
DG00418	Diflorasone
DG00419	Mometasone
DG00420	Fluticasone
DG00421	Ulobetasol
DG00422	Clobetasol
DG00423	Dibrompropamidine
DG00424	Propamidine
DG00425	Iodine
DG00426	Dequalinium
DG00427	Cetrimonium
DG00428	Cetrimide
DG00429	Silver nitrate
DG00430	Ethanol
DG00431	Aluminium chlorohydrate
DG00432	Bithionol
DG00433	Tretinoin
DG00434	Isotretinoin
DG00435	Clindamycin
DG00436	Erythromycin
DG00437	Meclocycline
DG00438	Resorcinol
DG00439	Tacrolimus
DG00440	Eflornithine
DG00441	Diclofenac
DG00442	Brimonidine
DG00443	Carfecillin
DG00444	Butoconazole
DG00445	Methylergometrine
DG00446	Ergometrine
DG00447	Dinoprost
DG00448	Dinoprostone
DG00449	Carboprost
DG00450	Ritodrine
DG00451	Fenoterol
DG00452	Bromocriptine
DG00453	Lisuride
DG00454	Quinagolide
DG00455	Naproxen
DG00456	Norethisterone
DG00457	Megestrol
DG00458	Medroxyprogesterone
DG00459	Ulipristal
DG00460	Testosterone
DG00461	Ethinylestradiol
DG00462	Estradiol
DG00463	Estriol
DG00464	Estrone
DG00465	Conjugated estrogen
DG00466	Diethylstilbestrol
DG00467	Hydroxyprogesterone
DG00468	Nomegestrol
DG00469	Chlormadinone
DG00470	Etynodiol
DG00472	Human menopausal gonadotrophin
DG00474	Clomifene
DG00475	Cyproterone
DG00476	Raloxifene
DG00477	Flavoxate
DG00478	Oxybutynin
DG00479	Propiverine
DG00480	Tolterodine
DG00481	Solifenacin
DG00482	Darifenacin
DG00483	Fesoterodine
DG00484	Sildenafil
DG00485	Yohimbin
DG00486	Apomorphine
DG00487	Vardenafil
DG00488	Phenazopyridine
DG00489	Alfuzosin
DG00490	Tamsulosin
DG00491	Terazosin
DG00492	Corticotropin
DG00493	Tetracosactide
DG00494	Sermorelin
DG00495	Tesamorelin
DG00496	Vasopressin
DG00497	Desmopressin
DG00498	Terlipressin
DG00499	Gonadorelin
DG00500	Nafarelin
DG00501	Octreotide
DG00502	Vapreotide
DG00503	Pasireotide
DG00504	Ganirelix
DG00505	Cetrorelix
DG00506	Fludrocortisone
DG00507	Desoxycortone
DG00508	Paramethasone
DG00509	Cortisone
DG00510	Levothyroxine
DG00511	Glucagon
DG00512	Teriparatide
DG00513	Cinacalcet
DG00514	Metacycline
DG00515	Rolitetracycline
DG00516	Thiamphenicol
DG00517	Ampicillin
DG00518	Pivampicillin
DG00519	Carbenicillin
DG00520	Amoxicillin
DG00521	Carindacillin
DG00522	Bacampicillin
DG00523	Pivmecillinam
DG00524	Azlocillin
DG00525	Mezlocillin
DG00526	Piperacillin
DG00527	Ticarcillin
DG00528	Metampicillin
DG00529	Talampicillin
DG00530	Sulbenicillin
DG00531	Temocillin
DG00532	Hetacillin
DG00533	Aspoxicillin
DG00534	Benzylpenicillin;Penicillin G
DG00535	Phenoxymethylpenicillin;Penicillin V
DG00536	Propicillin
DG00537	Azidocillin
DG00538	Pheneticillin
DG00539	Clometocillin
DG00540	Dicloxacillin
DG00541	Cloxacillin
DG00542	Oxacillin
DG00543	Flucloxacillin
DG00544	Nafcillin
DG00545	Sulbactam
DG00546	Tazobactam
DG00547	Sultamicillin
DG00548	Cefalexin
DG00549	Cephalothin;Cefalotin
DG00550	Cefazolin
DG00551	Cefadroxil
DG00552	Cefatrizine
DG00553	Cefapirin
DG00554	Cefacetrile
DG00555	Cefroxadine
DG00556	Ceftezole
DG00557	Cefoxitin
DG00558	Cefuroxime
DG00559	Cefamandole
DG00560	Cefaclor
DG00561	Cefotetan
DG00562	Cefonicid
DG00563	Cefotiam
DG00564	Loracarbef
DG00565	Cefmetazole
DG00566	Cefprozil
DG00567	Cefminox
DG00568	Cefbuperazone
DG00569	Flomoxef
DG00570	Cefotaxime
DG00571	Ceftazidime
DG00572	Cefsulodin
DG00573	Ceftriaxone
DG00574	Cefmenoxime
DG00575	Moxalactam;Latamoxef
DG00576	Ceftizoxime
