H01225	613657;600721
H01740	187900;300049;616176;613554;600208;153670;231200;615193;210250;153640;139090;605249;300367;187800;155100;613112
H00262	601634;182940
H01598	300200;240200
H01492	181750
H02275	204200
H01140	-
H00974	303700
H00113	-
H01504	-
H01610	-
H01821	608940
H02090	612119
H00983	262850
H02181	123320
H01986	611431
H00871	611105
H00136	607625;257220
H00344	607572;610988;246300;613223
H00470	602875
H01954	614921
H01883	614008
H01499	-
H00391	-
H00458	218600;609942;602849;123150;612247;123790;101600;201000;201750;207410;101400;101200;123500;304110
H00848	208920;616267;606002;615217
H00045	-
H01384	607459
H02255	601552
H00767	608728
H01622	-
H00394	-
H02169	616006;235510
H01276	300048
H02257	227600
H02382	615485
H02115	607842
H02166	-
H01351	613672;270550;611390;108600;614487;611302
H01089	-
H01695	-
H01952	611881
H01617	-
H02027	307200;611553;615271;193520;101000;218040;611431;221750;146110;612370;612781;201750;608747;613224;613706;613707;147950;262500;613743;614838;615269;201810;614841;264600;202110;614839;160900;614858;300068;201710;610733;312300;607721;614840;616030;615267;262600;308700;615270;115150;614880;244200;238320;151100;163950;173100;162200;264300;275100;312000;162210;610628;614842;614837;262700;611554;270400;262650;602668;609942;613038;601321;176270;262400;228300;615266;612702;615355;613563;614897
H01184	117300;176500
H01959	616094;613158;607155;611588;609308;613157;613818;616052;615352
H01612	-
H00203	614097
H01371	143880
H00109	603553;603552;608898
H02096	264470
H00281	230650;230600;230500
H02412	-
H01616	-
H00212	201100
H00569	305400
H02299	208100
H02016	272800
H01289	253250
H00335	-
H01759	-
H00552	300679
H00878	612951
H01416	-
H01113	200950
H00251	274500;274900;274600;188450;274800;607200;274400
H01819	609304;616341
H01635	238600;144650;207750;143890;144250
H00387	-
H01349	250620
H01093	-
H01508	-
H00361	-
H01607	-
H01877	612001
H00741	608649
H01235	615888;609821;617443;616913;614009;614201;614200
H01154	194200
H01485	615802
H02217	254770;613060;607682;607628;617924;611136
H02261	617193
H00784	604379;607903;611452
H01523	301000;614493
H01290	268200
H01652	-
H01602	-
H00519	616583;183900
H00198	258900
H00794	139300
H01814	243605
H00989	304700
H01022	203740;606812;252011
H01155	180800
H00402	-
H01755	101200
H00099	608203;266265;116920;612840
H01721	-
H00233	600208;155100;153640;605249
H02133	242840
H01001	216360
H01966	250460;250250
H00950	208085;613404
H02293	616756
H01940	232300
H00120	253280;253800;614830;613150;615350;613154;615181;606612;614643;615287;616538;615041;615249;236670
H00904	613177
H02264	615598
H01329	-
H00068	535000
H01800	615583
H02366	614575
H00412	-
H00024	-
H00190	239500;239510
H01580	-
H00968	259775
H02087	617661;617660
H00184	606664;250850;614300;180960
H01427	-
H01069	-
H00643	189500
H00443	166250
H01163	611489
H01368	220111;604377;220110;615119
H01211	300673
H01597	102300
H00410	613370;616329;125850;138079;137920;609812;606392;600496;610508;616511;606391;612225;606394;613375
H01726	609814;614809;615008
H01347	540000
H00699	117000
H01968	611521;147060;615816;243700
H00320	-
H00351	-
H00641	103285
H00188	238700
H01993	218600
H00010	-
H00067	229300
H02380	220120
H01568	220210;300963
H01831	-
H00042	-
H02211	101800;614613
H01457	612633;612624;603933;612623
H01976	600334
H01434	235400;612925;612923;612924;612926;612922
H00612	609887;137760;603383;613100;137750
H01249	602473
H01531	-
H00397	-
H01739	-
H01152	-
H01250	617626;135300
H01406	-
H01646	608516
H00746	170400;613345
H02226	157800
H00925	300438
H01266	115300
H02294	615879
H01570	616922;609161
H01214	268150
H00046	-
H00400	-
H02056	237500
H02367	616939
H00639	225280
H01215	312870;300209
H01693	226350
H00814	616152;611809;153840;616151;153700;608161
H01687	-
H02077	193230
H01124	610090
H02105	600955
H01479	148000
H00003	-
H00615	617217;616221;614832;616270;612529;104530;615887;130900;301200;617297;104500;204700;204650;204690;613211
H00967	612556
H00827	605041
H01109	614162;613956;613108;212050;613953
H00487	190320
H00992	616777;615807;613823;613676;614728;606744;614851;617253;210600
H00553	185500
H01015	217080
H01650	-
H02126	616367
H00276	256540
H01198	615605;613388
H00832	200150;300842;607236;606438
H02242	130050
H00311	-
H00209	309400
H00870	610713
H01204	610185;615268;224050;613227
H00063	615945;608768;117210;603516;607454;615957;607136;616053;613908;109150;614153;616795;610245;600224;617769;617691;616410;605361;183086;610246;617018;607346;604432;609307;164500;164400;609306;183090;617931;605259;617770;606658;604326
H01277	261000;261100
H01712	-
H02349	184260
H02203	165550
H01704	-
H01789	616954
H01896	107600
H00090	-
H00514	609220
H02162	-
H01882	608638;300494;300497
H02004	606812
H00166	614171;614074;614073;614072;617050;614077;614075;203300;614076;608233
H00692	309000
H01442	-
H00853	212780
H02305	616975
H01638	-
H00675	607778
H02360	615369
H00352	-
H01127	610293
H02064	108721;108720
H02235	615703
H01396	607151;614042;615750;252350
H00852	616549;613702;118100;214300
H01710	-
H00374	-
H02136	614923
H00367	-
H00016	-
H00445	604864
H00034	-
H00726	122100
H00224	153670;231200
H01144	-
H00205	614873;214110;214100;614859;614863;601539;614886;614871;266510;614866;614872;614862;202370;614879;614877;614876;614887;614867;614885;614882;614870;614883
H00532	608355
H00196	300661
H00816	218000
H01571	616298;182250
H01188	300622
H00782	613102
H00056	104300;607822;606889;104310
H01448	-
H00962	611943
H02291	615147
H01241	610187
H00637	181450
H02233	615071
H02280	616897
H01501	-
H01657	617609;600995;616730;616892;615008;610725;614196;615861;615573;616893;256370;614199;615244;256300;617783;617575
H00510	164280;614326
H01862	146200
H00855	174500
H01621	-
H00758	208230
H01008	211750
H00057	168600;606324;607688;610297;614251;615528;607060;605543;605909;600116;168601;614203;612953;616710;606693;260300
H02059	614962
H01982	600649;608836;255110
H00247	131100;162300;610755;171400
H00810	614018;254800;616540;616640;616230;254780;616187;254900;611726;612437
H02082	136140
H02220	609313
H00124	272750;268800;272800
H00713	130650
H01585	-
H01766	312700
H00244	603233;612462;612463;103580
H00961	609141;618031;122000;609140
H01196	206100
H02036	613038;613986;221750;182230;262600;262700
H00915	191100
H00624	211600;617049;602347;601847;615878
H01283	248360
H00819	248200;603786;600110
H00923	610015
H00734	604777;242300;612281;242100;613943;606545;615023;617574;601277;617320;617571;615024;602400
H00975	-
H01176	-
H01044	-
H01641	-
H02308	242860;616910;614069;616911
H02180	236700
H00801	617168;610168;617349;611788;613780;607086;132900;615436;616166;607087;608967
H01984	613707;611554;151100
H00261	267010;615397;603194;611134;613885;614209;616258;249000;614175;617562;611561;607361;612284
H01253	229070
H00809	600512;616461;616436;614417
H00554	614823;109730
H01994	254780
H02061	615363
H01489	614749;300868;615716;615398;610293;239300;615802;614080;616809;616025;280000;614207
H00278	-
H01844	608022
H00346	-
H01493	-
H01426	-
H02348	125400;125420
H02002	185020
H00457	259100;614441
H02324	615709
H01466	612261;612241;612381
H00036	-
H02155	224410
H02051	155100
H01281	607330
H00440	613454;312750
H00452	166700
H00597	309583
H01536	-
H01888	614976;201000
H02122	616201
H02042	174810
H00347	-
H02089	277950
H01213	600803;611465
H01677	236600;307000;615219
H00229	603903
H00505	187600;616482;187601;100800;146000
H00792	614225;614222;615663;600118
H01690	151590
H01671	-
H02307	609308;613155;236670
H00345	-
H01949	611556
H00864	613229
H01227	612261;611081;612244;612567;612278;266600;612241;613148;612245
H02159	120100;611762;614468;616115
H00296	218600;268400;210900;266280;277700
H01268	238970
H00789	148300
H01306	136630
H02178	303350
H02145	167030
H00731	614022;612240;611819;612201;608583;607554;615377;615378;613980;611493;613120;614049;615770;614050;617280
H00401	-
H00598	300833;400045;617480
H01747	218040
H02362	605751;601764;617080;607745
H00948	612076;220150
H01919	300004
H01314	-
H00291	610448
H00504	180849;613684
H00211	604250;613313;615517;235200;606069;602390
H00660	121050
H00101	214500;214450;607624;260400;245480;254600
H01548	-
H01660	-
H01664	167870
H00015	-
H00041	-
H00207	616154;616716;215100;222765;600121
H01545	-
H02271	616202
H01424	-
H00169	300500;103470
H01087	-
H00116	223100;223000
H00840	251290
H02361	616421
H01907	615961
H01432	200150
H01543	-
H01614	146500
H02041	614167;615946;615431;617238;614292;160700;301010;608908;615420
H00994	300087
H00530	612285;617121;615636;609583;614465;300804;610188;613820;614615;617622;213300;614464;617562;614844;200990;615665;617761;614424;614970;614815;616784;616781;612291;617757;614173;611560;616654;610688;608091;608629;616490;617120;617767
H02188	193520
H01405	-
H01780	608390;255700;168300;160800
H00472	259600
H01119	170100
H01137	-
H00144	252650
H00620	180500;602482
H02334	602342
H01203	231300;613086
H00064	208900
H00971	262300;613856;216900;610024;616517;613093
H01402	601358
H01802	265150
H01480	-
H01057	-
H01552	190685
H00710	617524;133200;618531;617526;617525;617756
H01891	616127;616354;617584;614831;607250;615705;615386;213200;609270;616291;614229;615768;606002;616948;616719;618387;612016;616949;613728;614322;617133;616204;607317;610743
H01985	-
H00498	166260
H01682	300539
H00540	300301
H00889	309520
H00146	609241;609242
H01482	602089
H00512	609069;606176;610199
H00581	104200;203780;301050
H00669	601214
H00002	-
H01210	154020;248190;602014;248250;613882;611718
H00987	208150
H02057	237450
H00586	226730;226700;226650
H00105	613791;614372
H01683	125700;300539
H01291	182920
H00141	230000
H01401	-
H01066	-
H00405	-
H00157	144650
H02236	614098
H01337	-
H01145	209300
H00265	256800;616488;613640;223900;614116;243000;613115;201300;608654;614653;613708;614213;615632;256840;162400;615548;600882
H01097	617008;603513;612900
H02156	616803
H02039	262650
H01319	-
H00422	230000;248500;208400;248510;609241;256550;256540;609242
H00705	255700;160800
H01832	151050
H00561	600430
H00406	-
H00844	169600
H01586	-
H02020	613546
H01258	609446
H01774	607636;239100
H00650	300523
H02225	215600
H00907	610253;617768
H00737	616265;609796;617115;270300;607936
H01486	615398;300868;614080
H01375	300908
H00684	167210;615726;615728;167200
H00544	182230
H00965	266280
H00826	110100
H01327	-
H00877	607595
H01239	611721
H02328	617159
H00574	303600
H01121	245050
H00589	133780;613310;305390;601813
H00700	614807;614408;615959;255200;160150;310400
H01825	250220
H01707	-
H00303	-
H01782	613412;610247
H00823	600501
H00025	-
H02384	605552;615812;618620
H02091	220400;612347
H01099	-
H01809	185300
H00388	-
H01778	254090;616470
H00829	601606
H00039	-
H02110	126600
H00357	-
H00489	609016
H01370	269880
H00492	300582;127300;249700
H00424	228000;257200;607616
H01921	300749
H01600	-
H00862	137580
H02301	-
H02407	-
H02228	102370
H01863	-
H00582	141200
H00626	603965;612551;614131;603278;613237;616220;607832;616002;616032
H01795	300895;613792;603736
H01972	240300
H02118	202650
H00841	211500;211530
H00259	218030
H01217	613955;105250
H00956	122200;608471
H02030	239200
H01760	306000;232700;232400;232200;240600;261750;613027;232240;232500;232220
H01582	-
H00720	220400;600919;611819;611818;612955;616247;613485;611820;613688;192500;603830;170390;612347;601005;613693;616249;613695
H02296	129200
H01324	-
H01630	611788;617039;132900;607411;617035
H01775	300088
H00942	262190
H01468	-
H01842	-
H01584	-
H01544	-
H01691	-
H00339	-
H00071	229600
H02121	610443
H01071	610251
H00038	-
H00312	-
H00092	601457;615966;602450;102700;267500
H00927	246700
H01725	-
H01738	611553;616564;163950;610733;613706;615355;613224;609942;616559
H00005	-
H01791	182290
H01343	-
H02174	608800
H00096	607676
H01498	245600
H01301	613730
H00693	146800
H01386	615574
H00315	-
H01273	148190
H01084	-
H00901	220100
H01086	-
H00076	133540;216400
H02345	618124
H02100	616154
