H01740	25944497;23434115;26912466
H02036	17327381;15928241;26147833;11549703
H01761	27153787;20457280;18701557
H01238	11431708
H02113	25351951;22405087
H00987	19261599;18179903;18252226
H01420	11280197;24678403
H00152	15599566;11264985
H01535	25070997;26740855;19889755
H00313	20107499;20715920;23908295;16641429;22123763;24409175;25070493;17266725
H00990	12185364;14598172
H01291	16380616
H00296	12200042;19661064;18430459;17571213
H01710	25558707;22424193;27421219;27238624
H01841	27288783;23772250
H01494	22152677;23664117;12567412
H00066	18195271;16131416;18332251;18413475;15655259;11890854;16437559;11470957;12898286;18541113;15312277
H00578	18094725;18503011;21210153;21071975
H01633	27028574;23303660;25832858
H01913	15024694;15782410;28073926
H02190	23312968;20694012
H00983	19141165
H00010	12965277;16155016;12358886;15031034;12370633;11607813;9414264
H01622	27345156;26739298;26585271;26099554
H02102	22158539;22243968
H01029	9228241;8929947;9591953;10802664
H01832	26117586;27044099;5249155;24241535
H01021	20417417;1810733;20954468
H00478	15757975;18627066;11180221
H00068	1634041;8240102;16829155;15513454;8755941;16942541;19001017;12464728;7760326;3201231
H01734	24960165;12200042;23683351
H01164	20854281;15243119;19889897;19556157
H02401	30720249;12692099;31647916
H01775	22267240;22949144
H00456	10706363;21031081
H01899	26283516;20862559;25594880;17111266;15717286
H01561	25653995;20228456;22576785;23468202
H01224	16652336;15509590;14602731
H01675	19119392;25236931
H02225	17969036;15495250;12724528
H00486	26751728;20473488;20948575;21339215
H01279	16857760;12359132
H01522	19351273;23363383;14747767;24319020;16433582
H00170	15485525
H01362	24068131;22137227;21571168;22811741;23674144;19470076
H01006	21279474;15596403;17186468;19160940;14572810
H00269	20950787;27008544;27737959;16829198;15806441;22521416;17980308;25259927;30715179;24748105;24656866;29036432;24951542;22983954;30179222;23418308;27519304;23918663;26005865;23178126;21496009
H01197	22108709;21388369;21310276
H01644	25284773;26058027
H02112	20092598;22068589;23929081
H02319	22634751
H02252	12949965;28335020
H01589	9634512;23379544;16865412
H01166	21960744;21524965;20434794;21719938
H01854	24878828;23709756;24706454;4538283
H00039	16307669;17244035;16541145;15268709;9498901;15978322;15701081;17530489;15660110;9498904;15468170;14643412
H00923	16763901;16528811
H00981	16491382
H01520	26465369
H00809	19469848;19191227;21444903;26046367;25691535;21922598
H00378	22440925;21601050;14959767
H02229	20598277;17152064
H01864	16728643;25470569;22584702
H00443	20236123;20339250;15625620
H00338	15997485;17640189;21609252
H01564	25598039;23088440;26820816
H00431	12958705;10453738;9585596;16609882
H01432	17998451;22258171;15824261
H01265	21552264;15843405
H01728	24584572;24027716;27259053;18947299;22698282;14120686;25673607;24439109
H02256	11091194;11139238;17849063;11129332
H00812	18192787;21440359
H02295	21820097;24909267
H02374	25165551
H02159	11590390;25385754;12522564;21360512;19910034
H00573	11102974;10051003;11478532
H01949	19699667;17928598
H00029	1311142;11156383;10955808;15203746;19286150;16062089;12605088;11281434;12605639
H00523	23875798;21396583;23791108;8317503;23312968
H01003	11231903
H01125	17279012;18815189
H01413	21820096;25132448;23522784;22883147;22307742;26299364;21565291
H01648	27329525;25405675;25078507;24909210
H02032	25377138;14748801
H02181	10746614;16770780;16502425;5422556
H02353	17893116;21633362
H00424	18567738;17064658;11241842;17632693;10760463;18708002;19944693
H02057	22232210;20955959
H00109	16304363;18424339;17162365;15096561;20798128;17952897
H00420	16826530;24848981;19162222;21345103;20049731;19494770;12074822
H00477	15094116;11891674
H02017	22789865;8357844;18758829
H02098	16385454;16278854
H00021	19233641;10564925;19406209;15380513;15821467;16102569;16339096;15122209;9498904;15552776;15660110;12681265;16194700
H00280	16020685;16958845
H00616	19463982;20174677
H01601	25869285;25461779;24766435;26769771;23065407
H01090	20934531;8863040;6377443
H00668	10515893;21852236;5766310;21651516;8634459
H00419	19162222;19726876;19167372;19494770
H00512	21054355;17349054
H02033	25377138;14748801
H02302	22807084;24322718;29251405;22648938;27938502
H01748	25217960;25217959
H01689	21104459;27239355
H02048	10735637;16801345
H01884	18680186;22560091;24268655
H02261	27666370;27666374
H01163	20610591
H01042	21095521;22004037;21179505
H02136	24449431;22956686
H00632	19876930;11471159;27616478;9735377;26429889;22577226;20413652;9572118
H00878	19525954
H00580	20301550;20013129
H00167	23430527
H00639	11424132;19504607;15805154
H00720	17498019;16409532;21286418;19026859;10593671;23388215
H00460	21782042;10839976
H00947	15606674;11708952;10192393
H00902	19304338;17196932
H00593	11822024;21109228;21825984
H00845	8464497;22693999;16105087;16009758;9931341;8097946
H02020	23748068;8265607;9177373
H02060	17229951;9537324
H02211	22464250;21651393
H01938	27231142;22341972;28789954
H00795	16751772
H01117	17330256;15994876
H01683	1576035;14687585
H01295	19732866;20018644
H02233	26374271;22865833
H02367	27123486;23064379
H01765	27053925;25516863
H01132	20953611;20008219
H00849	20301745;19879361
H01857	25439729;4073130;18553552;26813917
H00177	15679822;12740827
H01221	16652336
H01230	16951681
H02170	22005280;24431331;18039390;21825993;25719200;22095910;24075189;24993872
H00404	16961667;21351281;16502203
H01816	22037860;20137777;15523657;23140272
H00625	17552940;27321946;19344874;26416033;26387593;21911943;24449199
H01206	19141167;17900274
H02140	24355708;25033069;5806782;1149314;25359264;25267340
H00733	18341575;16481150;16935789
H01937	28295209;28264986
H01733	12200042;17314245
H01666	15817349;25352641;25634014;11251578;20537949;26031299;24384851;24685486
H02029	26967761;28827842
H02390	31088288;13636890;22961002
H01324	23202498
H00770	28253535;21310273;27259756;19593127;17102983;24610330;26870663;20547629
H02213	21850007;23518707;29507423;11914412
H01309	19116920;19467619
H00454	27158779;23523602;19876934;26595381;26643951;22883145;24997988;23972372;20920500;27060890
H01975	9608564;23401021
H00520	21332586;8791509;15643621;12453309
H00316	20528691;22398248;19585782;18221181;20192686
H01482	19367160;20826985;17478771;24906291;23668474;23266916;19190505;18931684;21039783
H02117	14994231;24836451;25152457;5547878
H00937	20374734;21664234;18478155
H01429	17471037;15684450
H00959	19236704;18214787
H01772	12034880;20301604;26303087
H00355	19208981;21874744;21788890
H00262	17470131;19120526;28286691;17963270
H02348	12354781;23814198;23317772
H00762	9678701;18698629;15602087
H00463	6789651;8740138;10749657;18449898
H01155	12428130;18592125;10553995
H02146	19576302;17377962;2918541;27774744;24363063
H02077	18179896;15557460
H00967	22198319;12032136;12431986;12802337
H00685	11822703;19732862
H01439	21655442;11978965;11124535;20089974;22608712;12073013;18398435;23018576;23401415
H02303	17451405;28054173
H02278	23266810;8213822
H00978	25516138;26936507;21680804;25807284;21606161
H01875	27610342;17208542;28056491;22907522;14975986;25241093
H00065	16774812;17498694;12175861;11138011;16826512
H00217	17575475;16798578;21075760;15218289;21496372
H02130	19370764;19124046;15633164;16630736;16465621
H02008	21960482;11152465;8943248
H01504	27008848
H00032	10564925;15521953;11165748;16189702;11340615;16557281;16831036;16807500;9743453
H00281	19472408;18202827;18708002
H01351	22022284;16672289;22448145;22958904;20970105;11774073;24319291
H00905	18195088;18200002;20377526
H00196	8702702;16176880;10066814
H00699	18367042;18313359;17504518
H00697	21310615;20874719
H01368	24462369;25175347;11579424;21412973
H00712	9122065;17381453;2191710;16679758
H01861	22180641;22216833;17360722;20678247;27399968
H01781	25644398;16640643;25817839
H02054	1634606;11013440;16386929
H00753	20560210;20560209;21332471;23313374
H01799	26841242;5050327
H00157	16306435;16531747
H00476	9800905;11891674;18328978;11565064;12687890
H02267	25644381;1746601
H01330	3262623;21413340;9727086
H01489	24784135;24727937;26879448
H00359	28649370
H01332	15982214;22653899
H02103	26264232;22258158
H00067	18852343;15896810;16942541;17596984;16805775
H00201	11117426;15574461;18537592;21653323;8829650;16385445
H00182	12574942;16702350
H00517	25343988;20087400;19995916;17600784;23335591
H01135	20499043;14988808
H00886	18553518;20301732;19089858
H02186	20503319
H02110	10369267;17666404;15512998
H01823	17651420;20722665
H01688	21946538;26023554;17096692;26798468
H02056	26350512;9878557
H02099	20821052;10655068
H01565	24701066;26004883;16015585;19151162
H01594	27103470;21180568;26600875;11231638;24530233;23252892;26376969;21387385
H00563	17761684;11879882;20108321;20301609;21496632
H02217	29539279;11992121;26088880;15258581
H00666	20051941;15121768;20581245
H01680	25228979;17625312;20567557;17625311;18442214
H01579	21381593;26637975
H00164	9711878;17310273
H00537	20652329;21898032;23559409;23793029;11261687;27336129;23396133;22863007
H00347	8993862;19220334;20358033
H00254	12201208;15928241;17336732;17965963;9799079;21292919;7868072
H00496	16088165;10710235
H02019	7892197;10580072
H00492	16807223;16650979;11408757
H00929	20645034;15146389;16450407;15368082
H00743	19571750;20634695;17395134
H01060	18755385;17691604;18440005
H00023	10749107;17414640;16095047;18042148;9791864;17683189;9820318
H00194	15711436;18067674;15571219
H01388	24195502
H02128	11487012;11757585;19124046
H00556	17299439;20363513;15235037
H01469	22224470;24486858;22244264;23830324
H02026	23802516;23222959;7673400
H01693	24424187;27407276
H00946	20380929;20301738;17701896
H01691	21949787;26612197;24170533;26873836;23194120
H01981	12189492;16602102
H00656	21310615;17336526;17439987
H00375	16317551;11013134
H00647	20691405;21346770
H00229	15020275;10068648;16530854;9287233
H01366	22348418;22377449
H00022	10564925;14672753;15760280;14648102;15552776;15660110;16110317;15489140;14643412;17195421;12505369;10723042;11473382;17530489;15070562;11886955;9498898;17149381;17158541;9498904;16474624
H00385	16815457;18036672;15955687
H00402	14733734;20674795;22094080;20801001
H00622	12389028;16470743;15852474
H01645	12927435;27038492
H00231	15071791;18341630;16730867
H02204	23300176;11703332
H01101	17994020;22063272
H01585	26696796;25271314
H01304	19033659
H00026	17198307;12583434;15188130;15203746;17464097;15947972;17028294;16508724;14739059;10383884
H02220	23423674;19057675
H00035	17250957;12633526;11607824;16096383;12560386
H00717	11982762;18627762;19558595;17194569;20883380
H01219	18646564;20617149;15201162
H00386	17378212;16802617;15487592;18241935
H02087	28792876
H01176	16135568
H00810	21710140;21276947;25954030;19469843;19243074;21549339;18976727;20301774;20739785;25401298;22961547
H00568	21496635;16876389
H02296	24664640;26932190
H01486	24259184;26879448;23636107
H02275	22545070;24014508;9004140
H01630	27181681;24507797;22368623;21532789;23316351
H00208	10091414;11013440;16386929;22232210;12480568;12388192
H01057	19597010;15825144;8448317
H01162	21107324;21642943;18180086
H01776	25443581;22815034
H00836	18708003;21382692;21962875
H00861	8988180;12970316
H01468	25709744;17989571;25404930;25500434;25467294;24072416;18512809
H00742	21865982;22030598;15768832
H01602	27041798;25133039;21649454
H01856	19854104;25878926
H02404	30710532;18187778;1576584;18203280
H00942	18717867;15232309;21869538
H00542	29706351;21079243;21898032;27259053;28530676;21515270
H00166	16420244;15941404;22461475;12243726;26744459
H01548	21994755
H00872	15888111;17041932
H02363	30281152;28692176
H00088	18424339;17162365;26279205;22035880;9737224;24746753;22236429;24140114;21548011;17952897;25468195;27016798
H00648	8741874;11546825;19504607;20301379
H01189	17613166;21119539;19401148
H01054	19104739;14699358;1693887;15776778
H01246	18805827
H02322	1322359;2176164
H01738	21396583;25795793
H01133	20800400;20522425
H00754	20350831;27208207;23918762;27573165;25597510;16055927;12434311;15719488
