E00001	Coptis rhizome (JP17)
E00002	Evodia fruit (JP17)
E00003	Saffron (JP17)
E00004	Agar (JP17/NF)
E00005	Tragacanth (JP17/NF)
E00006	Gypsum (JP17)
E00007	Acacia (JP17/NF)
E00008	Belladonna (USP);Belladonna extract (JP17)
E00009	Benzoin (JP17/USP);Benzoin tincture
E00010	Belladonna root (JP17)
E00011	Cherry bark extract
E00012	Senna (USP);Senna extract (JAN)
E00013	Cascara sagrada (USP);Cascara sagrada fluidextract
E00014	Capsicum (JP17/USP);Cayenne papper
E00015	Cardamon (JP17);Cardamom seed (NF)
E00016	Melilot extract (JAN)
E00017	Opium (USP)
E00018	Clove (JP17)
E00020	Quercus salicina extract (JAN)
E00021	Ipecac (JP17/USP)
E00022	Scopolia extract (JP17)
E00023	Fennel oil, bitter;Fennel oil (JP17/NF)
E00024	Senega (JP17)
E00025	Apricot kernel water (JP17)
E00026	Geranium herb (JP17)
E00027	Licorice (NF);Glycyrrhizae radix;Glycyrrhiza (JP17);Liquorice
E00028	Nux vomica (JP17)
E00029	Condurango fluidextract (JP17);Condurango extract
E00030	Swertia herb (JP17)
E00031	Orange peel, bitter;Bitter orange peel (JP17)
E00032	Cinnamon fruit
E00033	Mallotus bark (JP17)
E00034	Forsythia fruit (JP17)
E00035	Macrotomiae radix;Lithospermum root (JP17)
E00036	Cantharides tincture (JAN)
E00037	Wax, Yellow (NF);Yellow beewax (JP17)
E00038	White beeswax (JP17);Wax, white (NF)
E00039	Orange oil (JP17/NF)
E00040	Rice starch (JP17);Starch, rice (NF)
E00041	Malt extract (JAN)
E00042	Lard (JP17)
E00043	Poison oak extract (USAN)
E00044	Eucalyptus oil (JP17)
E00045	Mentha herb (JP17);Peppermint (NF)
E00046	Plantago seed (JP17/USP);Ispaghula
E00047	Capsicum tincture (JP17);Capsicum extract
E00048	Mentha oil (JP17)
E00049	Castor oil (JP17/USP)
E00050	Nux vomica tincture (JP17)
E00051	Orange peel tincture (JP17);Orange peel tincture, sweet (NF)
E00052	Cinnamomum obtusifolium bark
E00053	Gambir (JP17)
E00054	Sweet hydrangea leaf (JP17)
E00055	Aloe (JP17)
E00056	Artemisiae capillaris flos;Artemisia capillaris flower (JP17)
E00057	Fennel (JP17)
E00058	Bearberry leaf (JP17)
E00059	Rose fruit (JP17)
E00060	Corydalis tuber (JP17)
E00061	Astragalus root (JP17)
E00062	Scutellaria root (JP17)
E00063	Phellodendron bark (JP17)
E00064	Polygala root (JP17)
E00065	Prunella spike (JP17)
E00066	Zedoary (JP17)
E00067	Pueraria root (JP17)
E00068	Clematis root (JP17)
E00069	Turmeric rhizome;Termeric (JP17)
E00070	Lindera root (JP17)
E00071	Polygonum root (JP17)
E00072	Japanese valerian (JP17)
E00073	Trichosanthes root (JP17);Trichosanthes root (China, South Korea)
E00074	Processed ginger (JP17)
E00075	Platycodon root (JP17)
E00076	Chrysanthemum flower (JP17)
E00077	Catalpa fruit (JP17)
E00078	Immature orange (JP17)
E00079	Notopterygium rhizome (JP17)
E00080	Apricot kernel (JP17)
E00081	Lycium fruit (JP17)
E00082	Sophora root (JP17)
E00083	Schizonepeta spike (JP17)
E00084	Cinnamon bark (JP17)
E00085	Cinnamon bark oil;Cinnamon oil (JP17)
E00086	Cassia seed (JP17)
E00087	Pharbitis seed (JP17)
E00088	Gentian (JP17)
E00089	Safflower (JP17)
E00090	Red ginseng (Japan);Red ginseng (JP17)
E00091	Cyperus rhizome (JP17)
E00092	Magnolia bark (JP17)
E00093	Oriental bezoar (JP17)
E00094	Achyranthes bidentata root
E00095	Burdock fruit (JP17)
E00096	Schisandra fruit (JP17)
E00097	Calumba (JP17)
E00098	Condurango (JP17)
E00099	Bupleurum root
E00100	Asiasarum root (JP17)
E00101	Smilax rhizome (JP17)
E00102	Gardenia fruit (JP17)
E00103	Cornus fruit (JP17);Corni fructus pulveratus
E00104	Zanthoxylum fruit (JP17)
E00105	Jujube seed (JP17)
E00106	Dioscorea rhizome (JP17)
E00107	Rehmannia root (JP17);Rehmanniae radix pulverata;Rehmanniae radix
E00108	Lycium bark (JP17)
E00109	Tribulus fruit (JP17)
E00110	Peony root (JP17)
E00111	Cnidium monnieri fruit (JP17)
E00112	Plantago herb (JP17)
E00113	Houttuynia herb (JP17)
E00114	Amomum seed (JP17)
E00115	Ginger (JP17)
E00116	Cimicifuga rhizome (JP17)
E00117	Magnolia flower bud (China);Magnolia flower (JP17)
E00118	Cinnamomum burmannii bark
E00119	Cnidium officinale rhizome;Cnidium rhizome (JP17)
E00120	Nuphar rhizome (JP17)
E00121	Toad venom (JP17)
E00122	Senna leaf (JP17)
E00123	Atractylodes lancea rhizome (JP17)
E00124	Mulberry bark (JP17)
E00125	Sappan wood (JP17)
E00126	Perilla herb (JP17)
E00127	Rheum palmatum, Rheum tanguticum rhizome
E00128	Jujube (JP17)
E00129	Alisma rhizome (JP17)
E00130	Panax rhizome (JP17)
E00131	Anemarrhena rhizome (JP17)
E00132	Uncaria hook (JP17)
E00133	Polyporus sclerotium
E00134	Citrus unshiu peel (JP17)
E00135	Gastrodia tuber (JP17)
E00136	Asparagus tuber (JP17)
E00137	Benincasa seed (JP17)
E00138	Japanese angelica root (JP17)
E00139	Peach kernel (JP17)
E00140	Eucommia bark (JP17)
E00141	Picrasma wood (JP17)
E00142	Panax ginseng root
E00143	Lonicera leaf and stem (JP17)
E00144	Fritillaria bulb (JP17)
E00145	Ophiopogon tuber (JP17)
E00146	Honey (JP17);Honey, purified (NF)
E00147	Glehnia root (JP17)
E00148	Pinellia tuber (JP17)
E00149	Angelica dahurica root (JP17)
E00150	Atractylodes rhizome (JP17)
E00151	Loquat leaf (JP17)
E00152	Areca (JP17)
E00153	Poria sclerotium (JP17)
E00154	Processed aconitum carmicha daughter root
E00155	Sinomenium stem (JP17)
E00156	Imperata rhizome (JP17)
E00157	Saposhnikovia root (JP17)
E00158	Moutan bark (JP17)
E00159	Oyster shell (JP17)
E00160	Ephedra herb (JP17)
E00161	Digenea (JP17)
E00162	Hemp fruit (JP17)
E00163	Akebia stem (JP17)
E00164	Saussurea root (JP17)
E00165	Bitter cardamon (JP17)
E00166	Bear bile (JP17)
E00167	Coix seed (JP17);Coix extract
E00168	Longgu (JP17)
E00169	Japanese gentian (JP17)
E00170	Alpinia offcinarum rhizome (JP17)
E00171	Nelumbo seed (JP17)
E00172	Rosin (JP17);Colofonium
E00173	Scopolia rhizome (JP17)
E00174	Epimedium herb (JP17)
E00175	Uva ursi fluidextract (JP17)
E00176	Polygonatum rhizome (JP17)
E00177	Crude glycyrrhiza extract (JP17);Glycyrrhiza extract (JP17)
E00178	Platycodon fluidextract (JP17)
E00179	Dolichos seed (JP17)
E00180	Eleutherococcus senticosus rhizome (JP17);Siberian ginseng;Eleuthero
E00181	Exsiccated gypsum (JP17)
E00182	Clove oil (JP17/NF)
E00183	Cinnamomum sieboldii bark
E00184	Nux vomica extract (JP17)
E00185	Pyrethrum extract (USP);Chrysanthemum cinerariaefolium extract
E00186	Dokkatsu;Aralia rhizome (JP17)
E00187	Lilium bulb (JP17);Lily bulb;Byakugo
E00188	Pogostemon herb (JP17)
E00189	Ass hide glue;Asini corii collas;Akyo;Donkey glue (non-JP)
E00190	Ohi;Pruni jamasakura cortex;Cherry bark (JP17)
E00191	Artemisia leaf (JP17);Artemisiae folium;Gaiyo
E00192	Hydrated halloysite;Talcum crystallinum;Aluminum silicate hydrate with silicon dioxide (JP17);Kasseki
E00193	Karonin;Trichosanthis semen;Trichosanthes seed (non-JP)
E00194	Kippi;Citrus peel (non-JP)
E00195	Sanzashi;Crataegi fructus;Crataegus fruit (JP17)
E00196	Zenko;Peucedani radix;Peucedanum root (JP17)
E00197	Cicada slough (non-JP);Zentai;Cicadae periostracum;Cicada larva exuvia
E00198	Bambusae caulis;Tikujyo;Bamboo culm (non-JP)
E00199	Arisaematis tuber;Arisaema tuber (non-JP);Tennansho
E00200	Quercus bark (JP17);Oak bark;Bokusoku;Quercus acutissima bark;Quercus cortex
E00201	Leonurus herb (JP17);Leonuri herba;Yakumoso
E00202	Ryuganniku;Longan aril (JP17);Longan arillus
E00203	Persimmon calyx;Persimmon calyx (non-JP);Kaki calyx
E00204	Ningpo figwort root;Scroplulariae radix;Scrophularia root (non-JP)
E00205	Aster root (non-JP);Asteris radix;Aster root and rhizome
E00206	Myrobalan fruit (non-JP);Chebulae fructus;Myrobalan
E00207	Lonicera flower (non-JP);Lonicerae flos;Lonicera flower bud
E00208	Adenophora root (non-JP);Adenophrae radix
