hsa:8312	ENSG00000103126
hsa:56904	ENSG00000148341
hsa:140883	ENSG00000275004
hsa:85013	ENSG00000132406
hsa:7251	ENSG00000074319
hsa:594857	ENSG00000214285
hsa:4646	ENSG00000196586
hsa:8089	ENSG00000127337
hsa:116337	ENSG00000154143
hsa:1069	ENSG00000147400
hsa:6548	ENSG00000090020
hsa:574505	ENSG00000207755
hsa:1620	ENSG00000078725
hsa:100847021	ENSG00000266383
hsa:9362	ENSG00000100884
hsa:25806	ENSG00000116035
hsa:91653	ENSG00000144857
hsa:140597	ENSG00000184905
hsa:100847028	ENSG00000266124
hsa:54575	ENSG00000242515
hsa:150	ENSG00000150594
hsa:4576	-
hsa:30812	ENSG00000005513
hsa:106635615	-
hsa:80851	ENSG00000175137
hsa:284366	ENSG00000213022
hsa:1608	ENSG00000058866
hsa:81931	ENSG00000184635
hsa:109617012	ENSG00000265706
hsa:5995	ENSG00000148604
hsa:9255	ENSG00000164022
hsa:124220	ENSG00000162078
hsa:653247	ENSG00000121335
hsa:348180	ENSG00000174177
hsa:482	ENSG00000129244
hsa:100507003	ENSG00000261949
hsa:2395	ENSG00000165060
hsa:100507050	ENSG00000261594
hsa:3007	ENSG00000124575
hsa:2074	ENSG00000225830
hsa:84901	ENSG00000176953
hsa:64429	ENSG00000023041
hsa:4558	-
hsa:353137	ENSG00000240386
hsa:100422921	ENSG00000266712
hsa:50488	ENSG00000141503
hsa:9777	ENSG00000101337
hsa:2739	ENSG00000124767
hsa:101060588	-
hsa:248	ENSG00000163295
hsa:283985	ENSG00000172782
hsa:6011	ENSG00000185974
hsa:4016	ENSG00000129038
hsa:751071	ENSG00000214756
hsa:826	ENSG00000126247
hsa:221424	ENSG00000204052
hsa:85445	ENSG00000152910
hsa:661	ENSG00000168495
hsa:93273	ENSG00000186007
hsa:2222	ENSG00000079459
hsa:59342	ENSG00000121064
hsa:83989	ENSG00000113391
hsa:2673	ENSG00000198380
hsa:116729	ENSG00000182676
hsa:100847007	ENSG00000264857
hsa:10536	ENSG00000110811
hsa:10849	ENSG00000117877
hsa:440107	ENSG00000187510
hsa:107987386	-
hsa:8439	ENSG00000035681
hsa:4352	ENSG00000117400
hsa:255488	ENSG00000137393
hsa:83988	ENSG00000104490
hsa:100846996	ENSG00000264387
hsa:8411	ENSG00000102189
hsa:3817	ENSG00000167751
hsa:51290	ENSG00000087502
hsa:100130733	ENSG00000186105
hsa:55888	ENSG00000196345
hsa:11035	ENSG00000129465
hsa:80000	ENSG00000141449
hsa:114132	ENSG00000161640
hsa:79956	ENSG00000099219
hsa:7515	ENSG00000073050
hsa:1018	ENSG00000250506
hsa:7064	ENSG00000172009
hsa:7003	ENSG00000187079
hsa:63916	ENSG00000062598
hsa:406999	ENSG00000207548
hsa:100302285	ENSG00000284378
hsa:4921	ENSG00000162733
hsa:84937	ENSG00000186187
hsa:100653515	ENSG00000178404
hsa:406929	ENSG00000207954
hsa:84839	ENSG00000173976
hsa:109623475	-
hsa:4539	-
hsa:344561	ENSG00000173302
hsa:142	ENSG00000143799
hsa:5613	ENSG00000183943
hsa:103504739	ENSG00000277379
hsa:102465523	ENSG00000274621
hsa:2585	ENSG00000156958
hsa:57704	ENSG00000070610
hsa:50626	ENSG00000187954
hsa:80760	ENSG00000123243
hsa:85440	ENSG00000116641
hsa:25793	ENSG00000100225
hsa:151871	ENSG00000163530
hsa:767604	ENSG00000201899
hsa:23326	ENSG00000124422
hsa:9833	ENSG00000165304
hsa:3688	ENSG00000150093
hsa:349633	ENSG00000188771
hsa:51659	ENSG00000131153
hsa:440353	-
hsa:135152	ENSG00000112309
hsa:4991	ENSG00000184166
hsa:1160	ENSG00000131730
hsa:100033437	ENSG00000199712
hsa:9744	ENSG00000072818
hsa:10215	ENSG00000205927
hsa:2628	ENSG00000171766
hsa:53344	ENSG00000204116
hsa:54926	ENSG00000107341
hsa:130074	ENSG00000152102
hsa:3429	ENSG00000165949
hsa:2906	ENSG00000105464
hsa:5608	ENSG00000108984
hsa:150383	ENSG00000205643
hsa:51246	ENSG00000164054
hsa:5625	ENSG00000100033
hsa:100170222	-
hsa:91807	ENSG00000140795
hsa:643812	ENSG00000206107
hsa:134121	ENSG00000215217
hsa:653240	ENSG00000212721
hsa:112267876	-
hsa:442186	ENSG00000204701
hsa:7512	ENSG00000122121
hsa:25830	ENSG00000130540
hsa:55698	ENSG00000157927
hsa:6640	ENSG00000101400
hsa:9542	ENSG00000158458
hsa:10087	ENSG00000113163
hsa:100033416	ENSG00000275529
hsa:55272	ENSG00000177971
hsa:64577	ENSG00000118514
hsa:344807	ENSG00000206531
hsa:24149	ENSG00000171467
hsa:9124	ENSG00000107438
hsa:1175	ENSG00000042753
hsa:100169756	ENSG00000199396
hsa:26118	ENSG00000109046
hsa:5657	ENSG00000196415
hsa:729355	ENSG00000261509
hsa:100422857	ENSG00000266530
hsa:93210	ENSG00000161395
hsa:11024	ENSG00000104974
hsa:3376	ENSG00000196305
hsa:51171	ENSG00000087076
hsa:29800	ENSG00000159714
hsa:9812	ENSG00000081791
hsa:6208	ENSG00000164587
hsa:5479	ENSG00000166794
hsa:105372412	ENSG00000283525
hsa:81621	ENSG00000107821
hsa:8027	ENSG00000136738
hsa:100137047	ENSG00000243789
hsa:325	ENSG00000132703
hsa:9884	ENSG00000176681
hsa:100528062	ENSG00000286237
hsa:171024	ENSG00000172403
hsa:127002	ENSG00000162650
hsa:84690	ENSG00000141255
hsa:389075	ENSG00000182698
hsa:1459	ENSG00000070770
hsa:4237	ENSG00000117122
hsa:353189	ENSG00000173930
hsa:102466192	ENSG00000274986
hsa:3713	ENSG00000163207
hsa:102465134	ENSG00000273776
hsa:57613	ENSG00000084444
hsa:100422884	ENSG00000212017
hsa:112268334	-
hsa:51264	ENSG00000108826
hsa:10409	ENSG00000176788
hsa:112268119	-
