dr:D00001	Water (JP17/USP)
dr:D00002	Nadide (JAN/USAN/INN)
dr:D00003	Oxygen (JP17/USP)
dr:D00004	Carbon dioxide (JP17/USP)
dr:D00005	Flavin adenine dinucleotide (JAN)
dr:D00006	Pyridoxal phosphate hydrate (JP17)
dr:D00007	Glutamic acid (USP)
dr:D00008	Hydrogen peroxide (USP)
dr:D00009	Glucose (JP17)
dr:D00010	Acetic acid, glacial (USP)
dr:D00011	Glycine (JP17/USP)
dr:D00012	Alanine (USP)
dr:D00013	Aspartic acid (USP/INN)
dr:D00014	Glutathione (JP17)
dr:D00015	Glutamine (USP)
dr:D00016	Serine (USP)
dr:D00017	Formaldehyde (USP)
dr:D00018	Ascorbic acid (JP17/USP/INN)
dr:D00019	Methionine (USP)
dr:D00020	Tryptophan (USP/INN)
dr:D00021	Phenylalanine (USP/INN)
dr:D00022	Tyrosine (USP/INN)
dr:D00023	Urea (JP17/USP)
dr:D00024	Sulfur, precipitated (USP)
dr:D00025	Sucrose (JP17/NF)
dr:D00026	L-Cysteine (JP17)
dr:D00027	Uracil (JAN/USAN)
dr:D00028	Glycerin (JP17/USP)
dr:D00029	Biotin (JP17/USP/INN)
dr:D00030	Leucine (USP)
dr:D00031	Oxiglutatione (JAN/INN)
dr:D00032	Histidine (USP/INN)
dr:D00033	Phenol (JP17/USP)
dr:D00034	Adenine (JAN/USP)
dr:D00035	Proline (USP)
dr:D00036	Niacinamide (USP)
dr:D00037	Citric acid, anhydrous (USP)
dr:D00038	Benzoic acid (JP17/USP)
dr:D00039	Valine (USP)
dr:D00040	Cholesterol (JP17/NF)
dr:D00041	Threonine (USP)
dr:D00042	Cobamamide (JAN/INN)
dr:D00043	Isoflurophate
dr:D00044	Maltose (NF)
dr:D00045	Adenosine (JAN/USP)
dr:D00046	Anhydrous lactose (JP17)
dr:D00047	Taurine (JP17/USP/INN)
dr:D00048	Thioctic acid amide (JAN)
dr:D00049	Niacin (USP)
dr:D00050	Riboflavin (JP17/USP/INN)
dr:D00051	Androstenedione (JAN)
dr:D00052	Edetic acid (NF/INN)
dr:D00054	Inosine (JAN/INN)
dr:D00055	Orotic acid (JAN)
dr:D00056	Trypsin, crystallized (USP)
dr:D00057	Citicoline (JP17/INN)
dr:D00058	gamma-Aminobutyric acid (JAN)
dr:D00059	Levodopa (JP17/USP/INN)
dr:D00060	Dextran 1 (USP)
dr:D00061	Xylitol (JP17/NF)
dr:D00062	Mannitol (USP)
dr:D00063	Tobramycin (JP17/USP)
dr:D00064	l-Menthol (JP17)
dr:D00065	Isoleucine (USP)
dr:D00066	Progesterone (JP17/USP/INN)
dr:D00067	Estrone (JAN/USP/INN)
dr:D00068	Alcohol (USP)
dr:D00069	Vitamin A oil (JP17)
dr:D00070	Folic acid (JP17/USP/INN)
dr:D00071	Fibronectin (human plasma) (JAN)
dr:D00072	Cytochrome c (JAN)
dr:D00073	Hydroquinone (USP)
dr:D00074	Nitric oxide (JAN/USAN)
dr:D00075	Testosterone (JAN/USP)
dr:D00076	Noradrenaline (JP17)
dr:D00077	Benzyl alcohol (JP17/NF/INN)
dr:D00078	Propylene glycol (JP17/USP)
dr:D00079	Dinoprostone (JAN/USP/INN)
dr:D00080	Chondroitin sulfate A (JAN)
dr:D00081	Dinoprost (JP17/USAN/INN)
dr:D00082	Pyridoxamine phosphate (JAN)
dr:D00083	Nitrogen (JP17/NF)
dr:D00084	Dextrin (JP17/NF)
dr:D00085	Insulin (JAN/USP)
dr:D00086	Thioctic acid (JAN)
dr:D00087	Ubenimex (JP17/INN)
dr:D00088	Hydrocortisone (JP17/USP/INN)
dr:D00089	Oxytocin (JP17/USP/INN)
dr:D00090	Thrombin (JP17/USP/INN)
dr:D00091	Vanillin (NF)
dr:D00092	Coptis rhizome (JP17)
dr:D00093	Microcrystalline cellulose (JP17)
dr:D00094	Tretinoin (JAN/USP/INN)
dr:D00095	Epinephrine (USP/INN)
dr:D00096	Sorbitol solution (USP)
dr:D00097	Salicylic acid (JP17/USP)
dr:D00098	Camphor (USP)
dr:D00099	Cetanol (JP17)
dr:D00100	Menatetrenone (JP17/INN)
dr:D00101	Vasopressin (JP17/USP)
dr:D00102	Nitrous oxide (JP17/USP)
dr:D00103	Tartaric acid (JP17/NF)
dr:D00104	Chloramphenicol (JP17/USP/INN)
dr:D00105	Estradiol (JAN/USP/INN)
dr:D00106	Epoprostenol (USAN/INN)
dr:D00107	Tacrolimus (USP/INN)
dr:D00108	Iodine (JP17/USP)
dr:D00109	Aspirin (JP17/USP)
dr:D00110	Cocaine (USP)
dr:D00111	Lactic acid (JP17/USP)
dr:D00112	G-Strophanthin (JAN)
dr:D00113	Atropine (USP)
dr:D00114	Fructose (JP17/USP)
dr:D00115	Gelatin (JP17/NF)
dr:D00116	Glucagon (JAN/USP/INN)
dr:D00117	Guaiacol (JAN)
dr:D00118	Naproxen (JP17/USP/INN)
dr:D00119	Stearic acid (JP17/NF)
dr:D00120	Sulindac (JP17/USP/INN)
dr:D00121	Allantoin (JAN/USP)
dr:D00122	Calcifediol (USP/INN)
dr:D00123	Cyanamide (JP17)
dr:D00124	Ephedrine (USP)
dr:D00125	Etoposide (JP17/USP/INN)
dr:D00126	Ibuprofen (JP17/USP/INN)
dr:D00127	Piroxicam (JP17/USP/INN)
dr:D00128	Bacitracin (JP17/USP/INN)
dr:D00129	Calcitriol (JAN/USP/INN)
dr:D00130	Diflunisal (JAN/USP/INN)
dr:D00131	Disulfiram (JP17/USP/INN)
dr:D00132	Ketoprofen (JP17/USP/INN)
dr:D00133	Resorcinol (USP)
dr:D00134	Albendazole (JAN/USP/INN)
dr:D00135	Capreomycin sulfate (JAN/USP)
dr:D00136	Haloperidol (JP17/USP/INN)
dr:D00137	Isopropyl alcohol (USP)
dr:D00138	Scopolamine (INN)
dr:D00139	Methoxsalen (JP17/USP)
dr:D00140	Erythromycin (JP17/USP/INN)
dr:D00141	Indomethacin (USP)
dr:D00142	Methotrexate (JP17/USP/INN)
dr:D00143	Pregnenolone (JAN/INN)
dr:D00144	Pyrazinamide (JP17/USP/INN)
dr:D00145	Trimethoprim (JAN/USP/INN)
dr:D00146	Corticotropin (USP/INN)
dr:D00147	Hyoscyamine (USP)
dr:D00148	Phytonadione (JP17/USP)
dr:D00149	Parachlorophenol (JAN/USP)
dr:D00150	Angiotensin II (INN)
dr:D00151	Mefenamic acid (JP17/USP/INN)
dr:D00152	Phloroglucinol (JAN)
dr:D00153	Testolactone (USP/INN)
dr:D00154	Santonin (JP17)
dr:D00155	Pentostatin (JAN/USAN/INN)
dr:D00156	Glycyrrhetinic acid (JAN)
dr:D00157	Glycyrrhizin (JAN)
dr:D00158	Tolmetin sodium (JAN/USP)
dr:D00159	Frentizole (USAN/INN)
dr:D00160	Aminocaproic acid (USP/INN)
dr:D00161	Mercaptopurine (USP)
dr:D00162	Aminosalicylic acid (USP)
dr:D00163	Chenodiol (USAN)
dr:D00164	Retinol palmitate (JP17)
dr:D00165	Hydrocortisone acetate (JP17/USP)
dr:D00166	Cyanocobalamin (JP17/USP/INN)
dr:D00167	Dimercaprol (JP17/USP/INN)
dr:D00168	Cytarabine (JP17/USP/INN)
dr:D00169	Meclofenamate sodium (USP)
dr:D00170	Hymecromone (JP17/USAN/INN)
dr:D00171	Inulin (JAN/USP)
dr:D00172	Eptacog alfa (INN)
dr:D00173	Evodia fruit (JP17)
dr:D00174	gamma-Amino-beta-hydroxybutyric acid (JAN)
dr:D00175	L-Carbocisteine (JP17)
dr:D00176	Protirelin (JP17/USAN/INN)
dr:D00177	Methylmethionine sulfonium chloride (JAN)
dr:D00178	Octopamine hydrochloride (JAN)
dr:D00179	Androstenediol (JAN)
dr:D00180	Alprostadil (JP17/USP/INN)
dr:D00181	Argatroban (USP)
dr:D00182	Norethindrone (USP)
dr:D00183	Nalidixic acid (JP17/USP/INN)
dr:D00184	Cyclosporine (USP)
dr:D00185	Estriol (JP17/USP)
dr:D00186	Ciprofloxacin (JP17/USP/INN)
dr:D00187	Ergocalciferol (JP17/USP)
dr:D00188	Cholecalciferol (JP17/USP)
dr:D00189	Pregnanediol (JAN)
dr:D00190	Rutin hydrate (JAN)
dr:D00191	Vitamin B12
dr:D00192	Phenylethyl alcohol (USP)
dr:D00193	Dexpanthenol (USP/INN)
dr:D00194	d-Limonene (JAN)
dr:D00195	Codeine (USP)
dr:D00196	Physostigmine (USP)
dr:D00197	Reserpine (JP17/USP/INN)
dr:D00198	Rescinnamine (JAN/INN)
dr:D00199	Ajmaline (JP17)
dr:D00200	Cianidanol (JAN/INN)
dr:D00201	Tetracycline (JAN/USP/INN)
dr:D00202	Nystatin (JP17/USP/INN)
dr:D00203	Amphotericin B (JP17/USP/INN)
dr:D00204	Ampicillin (USP/INN)
dr:D00205	Oxytetracycline (JAN/USP/INN)
dr:D00206	Imipenem (USP)
dr:D00208	Mitomycin (USP/INN)
dr:D00209	Griseofulvin (JAN/USP/INN)
dr:D00210	Norfloxacin (JP17/USP/INN)
dr:D00211	Rifampin (USP)
dr:D00212	Vancomycin (USP)
dr:D00213	Fusidate sodium (USAN)
dr:D00214	Dactinomycin (USP)
dr:D00215	Trolamine (NF)
dr:D00216	Acarbose (JAN/USAN/INN)
dr:D00217	Acetaminophen (JP17/USP)
dr:D00218	Acetazolamide (JP17/USP/INN)
dr:D00219	Acetohexamide (JP17/USP/INN)
dr:D00220	Acetohydroxamic acid (USP/INN)
dr:D00221	Acetylcysteine (JP17/USP/INN)
dr:D00222	Acyclovir (USP)
dr:D00223	Lincomycin (USAN/INN)
dr:D00224	Allopurinol (JP17/USP/INN)
dr:D00225	Alprazolam (JP17/USP/INN)
dr:D00226	Amifostine (USP)
dr:D00227	Aminophylline (USP/INN)
dr:D00228	Amoxapine (JP17/USP/INN)
dr:D00229	Amoxicillin (USP)
dr:D00230	Amoxicillin and potassium clavulanate combination
dr:D00231	Inamrinone (USP)
