N00001	EGF-EGFR-RAS-ERK signaling pathway
N00002	BCR-ABL fusion kinase to RAS-ERK signaling pathway
N00003	Mutation-activated KIT to RAS-ERK signaling pathway
N00004	Duplication or mutation-activated FLT3 to RAS-ERK signaling pathway
N00005	Mutation-activated MET to RAS-ERK signaling pathway
N00006	Amplified EGFR to RAS-ERK signaling pathway
N00007	EML4-ALK fusion kinase to RAS-ERK signaling pathway
N00008	RET-PTC fusion kinase to RAS-ERK signaling pathway
N00009	TRK fusion kinase to RAS-ERK signaling pathway
N00010	Mutation-inactivated PTCH1 to Hedgehog signaling pathway
N00011	Mutation-activated FGFR3 to RAS-ERK signaling pathway
N00012	Mutation-activated KRAS/NRAS to ERK signaling pathway
N00013	Mutation-activated BRAF to ERK signaling pathway
N00014	Mutation-activated EGFR to RAS-ERK signaling pathway
N00015	PDGF-PDGFR-RAS-ERK signaling pathway
N00016	PDGF-overexpression to RAS-ERK signaling pathway
N00017	Mutation-activated SMO to Hedgehog signaling pathway
N00018	Amplified PDGFR to RAS-ERK signaling pathway
N00019	FGF-FGFR-RAS-ERK signaling pathway
N00020	Amplified FGFR to RAS-ERK signaling pathway
N00021	EGF-ERBB2-RAS-ERK signaling pathway
N00022	ERBB2-overexpression to RAS-ERK signaling pathway
N00023	EGF-EGFR-PLCG-ERK signaling pathway
N00024	Mutation-activated EGFR to PLCG-ERK signaling pathway
N00025	EML4-ALK fusion kinase to PLCG-ERK signaling pathway
N00026	EGF-EGFR-PLCG-CAMK signaling pathway
N00027	Amplified EGFR to PLCG-CAMK signaling pathway
N00028	PDGF-PDGFR-PLCG-CAMK signaling pathway
N00029	Amplified PDGFR to PLCG-CAMK signaling pathway
N00030	EGF-EGFR-RAS-PI3K signaling pathway
N00031	Duplication or mutation-activated FLT3 to RAS-PI3K signaling pathway
N00032	Mutation-activated KRAS/NRAS to PI3K signaling pathway
N00033	EGF-EGFR-PI3K signaling pathway
N00034	ERBB2-overexpression to PI3K signaling pathway
N00035	Amplified EGFR to PI3K signaling pathway
N00036	Mutation-activated EGFR to PI3K signaling pathway
N00037	FGF-FGFR-PI3K signaling pathway
N00038	Amplified FGFR to PI3K signaling pathway
N00039	PDGF-PDGFR-PI3K signaling pathway
N00040	Amplified PDGFR to PI3K signaling pathway
N00041	EGFR-overexpression to RAS-ERK signaling pathway
N00042	EGFR-overexpression to PI3K signaling pathway
N00043	HGF-MET-PI3K signaling pathway
N00044	Mutation-activated MET to PI3K signaling pathway
N00045	KITLG-KIT-PI3K signaling pathway
N00046	Mutation-activated KIT to PI3K signaling pathway
N00047	EML4-ALK fusion kinase to PI3K signaling pathway
N00048	BCR-ABL fusion kinase to PI3K signaling pathway
N00049	Mutation-activated PI3K to PI3K signaling pathway
N00050	Amplified PI3K to PI3K signaling pathway
N00051	Deleted PTEN to PI3K signaling pathway
N00052	Mutation-inactivated PTEN to PI3K signaling pathway
N00053	Cytokine-Jak-STAT signaling pathway
N00054	Duplication or mutation-activated FLT3 to Jak-STAT signaling pathway
N00055	BCR-ABL fusion kinase to Jak-STAT signaling pathway
N00056	Wnt signaling pathway
N00057	Mutation-inactivated APC to Wnt signaling pathway
N00058	Mutation-activated CTNNB1 to Wnt signaling pathway
N00059	FZD7-overexpression to Wnt signaling pathway
N00060	LRP6-overexpression to Wnt signaling pathway
N00061	CDH1-reduced expression to beta-catenin signaling pathway
N00062	Hedgehog signaling pathway
N00063	TGF-beta signaling pathway
N00064	Mutation-inactivated TGFBR2 to TGF-beta signaling pathway
N00065	Mutation-inactivated SMAD2 to TGF-beta signaling pathway
N00066	MDM2-p21-Cell cycle G1/S
N00067	Deleted p14(ARF) to p21-cell cycle G1/S
N00068	Amplified MDM2 to p21-cell cycle G1/S
