hsa_var:100v1	ADA deficiency
hsa_var:10195v1	ALG3 deficiency
hsa_var:1019v1	CDK4 amplification
hsa_var:1019v2	CDK4 mutation
hsa_var:10243v1	GPHN deficiency
hsa_var:1027v1	CDKN1B loss
hsa_var:1027v2	CDKN1B reduced expression
hsa_var:1027v3	CDKN1B mutation
hsa_var:1029v1	CDKN2A deletion
hsa_var:1029v2	CDKN2A mutation
hsa_var:10329v1	TMEM5 deficiency
hsa_var:1045v1	CDX2 overexpression
hsa_var:10559v1	SLC35A1 mutation
hsa_var:10585v1	POMT1 deficiency
hsa_var:10599v1	SLCO1B1 polymorphism for decreased transporter activity
hsa_var:1080v1	CFTR mutation
hsa_var:10v1	NAT2 polymorphism for poor drug metabolism
hsa_var:11041v1	B4GAT1 deficiency
hsa_var:11186v1	RASSF1 loss
hsa_var:116150v1	NUS1 deficiency
hsa_var:1200v1	TPP1 deficiency
hsa_var:128674v1	PROKR2 mutations
hsa_var:1371v1	CPOX deficiency
hsa_var:1373v1	CPS1 deficiency
hsa_var:1374v1	CPT1A deficiency
hsa_var:1376v1	CPT2 deficiency
hsa_var:138050v1	HGSNAT deficiency
hsa_var:148789v1	B3GALNT2 deficiency
hsa_var:1499v1	CTNNB1 mutation
hsa_var:1548v1	CYP2A6 polymorphism for poor drug metabolism
hsa_var:1555v1	CYP2B6 polymorphism for poor drug metabolism
hsa_var:1557v1	CYP2C19 polymorphism for poor drug metabolism
hsa_var:1559v1	CYP2C9 polymorphism for poor drug metabolism
hsa_var:1565v1	CYP2D6 polymorphism for poor drug metabolism
hsa_var:1577v1	CYP3A5 polymorphism for poor drug metabolism
hsa_var:1583v1	CYP11A1 deficiency
hsa_var:1584v1	CYP11B1 deficiency
hsa_var:1585v1	CYP11B1-CYP11B2 fusion
hsa_var:1585v2	CYP11B2 deficiency
hsa_var:1586v1	CYP17A1 deficiency
hsa_var:1589v1	CYP21A2 deficiency
hsa_var:1593v1	CYP27A1 deficiency
hsa_var:1600v1	DAB1 overexpression
hsa_var:162417v1	NAGS deficiency
hsa_var:1629v1	DBT deficiency
hsa_var:1630v1	DCC loss
hsa_var:1649v1	FUS-DDIT3 fusion
hsa_var:1650v1	DDOST deficiency
hsa_var:1738v1	DLD deficiency
hsa_var:1756v1	DMD mutation
hsa_var:178v1	AGL deficiency
hsa_var:1798v1	ALG7 deficiency
hsa_var:1806v1	DPYD deficiency
hsa_var:1807v1	DPYS deficiency
hsa_var:190v1	NROB1 mutation
hsa_var:1950v1	EGF overexpression
hsa_var:1956v1	EGFR amplification
hsa_var:1956v2	EGFR mutation in non-small cell lung cancer
hsa_var:1956v3	First generation TKI-resistant EGFR mutation
hsa_var:1956v4	EGFR overexpression
hsa_var:1956v5	EGFR mutation in glioblastoma
hsa_var:201595v1	STT3B deficiency
hsa_var:2027v1	ENO3 deficiency
hsa_var:2064v1	ERBB2 overexpression
hsa_var:2064v2	ERBB2 mutation
hsa_var:2064v3	ERBB2 amplification
hsa_var:2069v1	EREG overexpression
hsa_var:2078v1	TMPRSS2-ERG fusion
hsa_var:2078v2	EWSR1-ERG fusion
hsa_var:2099v1	ESR1 positive
hsa_var:2099v2	ESR1 mutations
hsa_var:210v1	ALAD deficiency
hsa_var:2115v1	TMPRSS2-ETV1 fusion
hsa_var:2119v1	TMPRSS2-ETV5 fusion
