C07897	DB00005
C07612	DB00007
C08192	DB00010
C06865	DB00017
C00723	DB00030
C06944	DB00035
C03378	DB00036
C01501	DB00040
C00816	DB00048
C00840	DB00067
C07901	DB00068
C12013	DB00080
C07946	DB00083
C05086	DB00091
C03101	DB00100
C07306	DB00104
C00746	DB00107
C00018	DB00114
C02823	DB00115
C00101	DB00116
C00135	DB00117
C00019	DB00118
C00022	DB00119
C00079	DB00120
C00120	DB00121
C00114	DB00122
C00047	DB00123
C00062	DB00125
C00072	DB00126
C00750	DB00127
C00049	DB00128
C00077	DB00129
C00064	DB00130
C00020	DB00131
C06427	DB00132
C00065	DB00133
C00073	DB00134
C00082	DB00135
C01673	DB00136
C08601	DB00137
C00491	DB00138
C00042	DB00139
C00255	DB00140
C00140	DB00141
C00025	DB00142
C02471	DB00143
C00037	DB00145
C01561	DB00146
C00250	DB00147
C00300	DB00148
C00123	DB00149
C00078	DB00150
C00097	DB00151
C00378	DB00152
C05441	DB00153
C03242	DB00154
C00327	DB00155
C00188	DB00156
C00004	DB00157
C00504	DB00158
C06428	DB00159
C00041	DB00160
C00183	DB00161
C17276	DB00162
C02477	DB00163
C00314	DB00165
C16241	DB00166
C00407	DB00167
C11045	DB00168
C05443	DB00169
C05377	DB00170
C00002	DB00171
C00148	DB00172
C00147	DB00173
C00152	DB00174
C01844	DB00175
C07571	DB00176
C10719	DB00179
C07005	DB00180
C07514	DB00182
C00745	DB00184
C06980	DB00187
C07833	DB00189
C07438	DB00191
C07153	DB00193
C07195	DB00194
C06849	DB00195
C08092	DB00198
C01912	DB00199
C08230	DB00200
C07481	DB00201
C07546	DB00202
C07259	DB00203
C07751	DB00204
C07391	DB00205
C06539	DB00206
C06838	DB00207
C07140	DB00208
C07890	DB00211
C07465	DB00212
C11806	DB00213
C07572	DB00215
C07663	DB00218
C07257	DB00220
C07053	DB00221
C07669	DB00222
C07051	DB00224
C07035	DB00226
C07074	DB00227
C07516	DB00228
C07125	DB00231
C07765	DB00232
C02518	DB00233
C07224	DB00235
C07362	DB00236
C07827	DB00237
C07263	DB00238
C08074	DB00239
C06846	DB00245
C07568	DB00246
C07199	DB00247
C08187	DB00248
C07666	DB00250
C08080	DB00251
C07443	DB00252
C14643	DB00253
C06973	DB00254
C07620	DB00255
C06922	DB00257
C07458	DB00259
C08057	DB00260
C06873	DB00262
