C00003308	C09486
C00002619	C10871
C00033300	C10871
C00001487	C08426
C00003388	C09583
C00001727	C09187
C00002654	C01502
C00029459	C01502
C00001753	C09228
C00007391	C00446;C03384
C00001924	C06173
C00001765	C09237
C00003204	C09750
C00018369	C14723
C00007269	C00332
C00002970	C10088
C00029277	C17514
C00011054	C09911
C00003066	C09911
C00002119	C10396
C00000774	C05924
C00007915	C16408
C00029246	C12038
C00007250	C00143
C00012893	C09289
C00002102	C10353
C00026123	C17790
C00042156	C19788
C00037569	C12183
C00001345	C08269
C00003202	C09748
C00003783	C08609
C00001432	C00750
C00007405	C02502
C00003684	C08795
C00001885	C09581
C00002745	C10458
C00002765	C10483
C00001585	C08541
C00000905	C05413;C05421
C00003358	C09537
C00000163	C09663
C00002843	C10374
C00001426	C05332
C00027914	C06446
C00006722	C12139
C00007229	C03794
C00001789	C09256
C00023013	C15884
C00030611	C17605
C00003570	C08893
C00026848	C11817
C00006636	C16305
C00003688	C08799
C00001896	C09597
C00002767	C10485
C00002151	C10660
C00001764	C09236
C00003088	C01433
C00002634	C10893
C00003725	C08777
C00001242	C07600
C00003314	C09492
C00007321	C11523
C00001004	C08717
C00002047	C10152
C00002384	C08718
C00025193	C11635
C00003700	C08750
C00029979	C16765
C00010463	C17109
C00001565	C08521
C00045299	C12154
C00044747	C12154
C00001552	C00255
C00017972	C00563
C00001165	C00392
C00008031	C08577
C00007374	C01024
C00026095	C05175
C00016803	C06777
C00007284	C03263
C00007650	C17230
C00001540	C05663;C08480
C00001647	C08691
C00001201	C00296
C00001787	C09254
C00001517	C05086
C00007609	C04752
C00021448	C19515
C00003680	C08791
C00001940	C09867
C00042300	C16839
C00044142	C00571
C00002023	C10132
C00019633	C04352
C00002270	C10829
C00001457	C08342
C00044274	C12225
C00020430	C17490
C00001446	C01594
C00001875	C09555
C00004634	C10176
C00025175	C16972
C00001123	C16245;C00191
C00003577	C08899
C00002058	C10161
C00004688	C17788
C00003587	C08909
C00018398	C17703
C00007453	C17094
C00007507	C00669
C00010564	C11673
C00003397	C09606
C00035628	C16526
C00003196	C09742
C00003707	C08757
C00002084	C10286
C00001607	C08568
C00002777	C00933
C00000726	C17847
C00003681	C08792
C00018744	C14059
C00007255	C05427
C00000737	C04171
C00025334	C02717
C00000660	C02717
C00035142	C02717
C00003465	C09155
C00002785	C01474
C00035857	C01387
C00002368	C10624
C00003366	C09547
C00003070	C09767
C00003580	C08902
C00000567	C16785
C00006820	C16350
C00006180	C10416
C00018630	C15536
C00002759	C10477
C00002770	C01850
C00031071	C17441
C00047850	C06348
C00002736	C10448
C00008706	C09803
C00001742	C09215
C00008193	C16989
C00018282	C15680
C00007458	C00164
C00000938	C02906
C00002780	C10497
C00002867	C10407
C00002122	C10408
C00002173	C10696
C00002560	C10515
C00002116	C06176
C00002939	C10242
C00002390	C08731
C00002623	C10879
C00000805	C09880
C00001902	C09608
C00007465	C02766
C00002316	C10571
C00007527	C15783
C00003611	C08857
C00002727	C00761
C00001410	C08303
C00018209	C12246
C00007882	C16407
C00003238	C09379
C00003100	C09800
C00002870	C10245
C00002578	C10535
C00003346	C09525
C00010825	C16909
C00007243	C19740
C00003560	C08990
C00002611	C10650
C00000881	C11874
C00002288	C10855
C00001827	C03329
C00028005	C03329
C00022819	C15908
C00003637	C08880
C00019627	C00068
C00007442	C01967
C00000259	C18015
C00003583	C08905
C00003315	C09493
C00001720	C09164
C00029663	C17460
C00001223	C08320
C00001286	C13687;C08452
C00003608	C08854
C00002565	C10522
C00003505	C08931
C00002837	C10368
C00035778	C07208
C00002537	C10464
C00000210	C00408
C00001387	C00408
C00004533	C10044
C00000405	C16300
C00007395	C03838
C00003348	C09527
C00003461	C09148
C00030810	C11397
C00001002	C08600
C00001894	C09595
C00003676	C08841
C00026087	C05174
C00001408	C03758
C00035043	C12300
C00042033	C15538
C00017923	C06788
C00001873	C09550
C00001625	C08669
C00002166	C10686
C00002215	C10758
C00035564	C12298
C00008106	C17871
C00001246	C08372
C00007592	C19759
C00002061	C11360
C00000997	C09832
C00001975	C09960
C00002967	C10085
C00034850	C00257
C00007303	C00257
C00004956	C00616
C00001396	C00078
C00003748	C08627
C00003406	C09065
C00003579	C08901
C00034206	C00844;C04273
C00049955	C04606
C00007634	C19742
C00011641	C17494
C00003445	C09119
C00001749	C09224
C00000238	C09354
C00026494	C01717
C00026453	C01717
C00002222	C10768
C00009677	C16230
C00030226	C20210
C00002212	C10755
C00007722	C10755
C00001937	C09864
C00003711	C08763
C00002026	C10135
C00012551	C17132
C00000987	C09806
C00000619	C10453
C00001504	C08272
C00036010	C14233
C00045921	C17889
C00003319	C09497
C00001039	C10042
C00010926	C03039
C00001608	C08569
C00003489	C09196
C00010112	C05376
C00003293	C09467
C00007443	C03227
C00003661	C08830
C00001796	C09328
C00003425	C09091
C00001251	C08377
C00001952	C09890
C00027934	C09890
C00002267	C10826
C00018710	C14056
C00018285	C18847
C00002953	C10065
C00003449	C09124
C00003176	C06079
C00001914	C09640
C00027481	C09640
C00002732	C10444
C00002076	C10174
C00030483	C01586
C00002593	C10551
C00003089	C09788
C00002533	C10424
C00001110	C01460
C00003404	C09063
C00009610	C04271
C00000365	C01226
C00001397	C00082
C00001460	C08345
C00003787	C08614
C00032269	C10787
C00002646	C10787
C00017940	C12402
C00001734	C09207
C00002797	C10305
C00048512	C06086
C00001900	C09599
C00003442	C09115
C00002032	C10139
