C00043440	D07776
C00001712	D08194
C00002365	D00491
C00044164	D08274
C00018668	D00208
C00001238	D00119
C00032087	D00119
C00001340	D02982
C00002665	D00152
C00019692	D00054
C00033848	D00114
C00048954	D02311
C00048304	D02311
C00002193	D08460
C00031097	D08449
C00018091	D07711
C00023903	D04281
C00001539	D00070
C00002460	D07751
C00001405	D07627
C00007365	D02332
C00041217	D00188
C00001178	D08839
C00029811	D00077
C00007291	D07523
C00018686	D05045;D00850
C00007530	D05963
C00000919	D03101
C00002504	D08735
C00044810	D06001
C00030143	D00691
C00040190	D09640
C00018820	D07897
C00001003	D08515
C00007256	D00002
C00001361	D00011
C00007410	D00078
C00044287	D02310
C00018093	D03964
C00017127	D07876
C00027872	D00424
C00001363	D00032
C00028791	D07240
C00000408	D08061
C00001215	D08061
C00045634	D03034
C00030479	D05341
C00001233	D05341
C00018015	D01392
C00001232	D02315
C00042732	D08187
C00000576	D00139
C00001424	D00076
C00025534	D02974
C00002656	D00073
C00018545	D07242
C00007378	D07567
C00001408	D07870
C00002218	D07770
C00002675	D00306
C00001179	D00018
C00002173	D08048
C00019221	D01138
C00000693	D04862
C00007300	D00055
C00019689	D00055
C00018807	D08603
C00029420	D09605
C00001183	D02308
C00033849	D02308
C00042069	D02413
C00016052	D00212
C00031079	D00302
C00002236	D01041
C00002502	D01034
C00001552	D00050
C00001679	D00199
C00024294	D00199
C00018065	D02756
C00000575	D07521
C00000842	D09740
C00002671	D00133
C00001789	D08685
C00004362	D07858
C00000670	D01752
C00041561	D01752
C00000748	D05905
C00018055	D00753
C00002376	D08097
C00001332	D00012
C00001357	D00059
C00001510	D00371
C00001206	D00103
C00001226	D07213
C00000208	D00049
C00049230	D00468
C00002654	D00117
C00029459	D00117
C00002327	D00570
C00022009	D08520
C00042269	D09768
C00001722	D07905
C00018752	D04648
C00018851	D05757
C00007468	D00121
C00001163	D00028
C00032742	D07576
C00007298	D07690
C00007231	D00057
C00018137	D07470
C00029422	D01924
C00018692	D07497
C00044235	D04991
C00000209	D00036
C00007267	D02916
C00048188	D00047
C00001348	D07706
C00007619	D00037
C00018736	D01235
C00018782	D08478
C00018726	D01094
C00001377	D00030
C00002355	D00525
C00001409	D00124
C00003521	D00156
C00019347	D02769
C00003617	D00297
C00001119	D04291
C00049664	D00143
C00047082	D00143
C00002467	D03798
C00018152	D05993
C00001136	D00046
C00001492	D00528
C00001176	D00010
C00003774	D01031
C00002351	D04864
C00035128	D04951
C00003675	D00075
C00001518	D00014
C00042226	D07445
C00030805	D03884
C00005413	D08499
C00001490	D00034
C00033837	D01647
C00002713	D02377
C00029334	D02377
C00001161	D08915
C00018233	D01339
C00042470	D00009
C00001398	D00039
C00018131	D02883
C00001386	D00021
C00028008	D06608
C00019560	D02798;D00068
C00018673	D02062
C00003364	D00154
C00018706	D01257
C00003062	D04876
C00000135	D00098
C00000819	D00098
C00001308	D02319
C00044733	D06199
C00007324	D05726
C00002868	D00148
C00035022	D04926
C00000565	D08410
C00000136	D04115
C00001678	D08470
C00001757	D00196
C00001342	D00013
C00001570	D04292
C00003587	D08498
C00018753	D05096
C00001394	D00041
C00001151	D00025
C00001550	D07413
C00031437	D06543
C00000207	D00038
C00007444	D00045
C00001187	D04897
C00000610	D05529
C00001371	D07339
C00001507	D05653
C00002130	D02378
C00018829	D05809
C00002398	D00209
C00000810	D00064
C00001165	D00062
C00002057	D03365
C00001889	D08233
C00001388	D00035
C00035814	D03200
C00019627	D01225
C00002866	D01065
C00007408	D05467
C00001513	D00027
C00031117	D08458
C00042472	D03804
C00018019	D08502
C00003056	D08452
C00000297	D08450
C00001861	D08014
C00002053	D02364
C00032016	D08206
C00018937	D04498
C00002292	D00138
C00040733	D06385
C00023770	D08518
C00003672	D08518
C00018078	D00087
C00002277	D00113
C00001714	D08676
C00027467	D02218;D07425
C00002664	D00033
C00029643	D00095
C00001517	D00184
C00000756	D00029
C00001534	D00166
C00001763	D00197
C00017134	D03057
C00032464	D00734
C00002981	D01040
C00001414	D08040
C00000619	D04117
C00030223	D01590
C00032009	D00575
C00002293	D00147
C00018016	D08219
C00003663	D00067
C00002804	D07107
C00019628	D08581
C00001551	D08454
C00000206	D00097
C00001393	D00016
C00030751	D01400
C00030771	D01400
C00000547	D00359
C00001401	D02456
C00001333	D07561
C00001491	D08646
C00000155	D01039
C00001836	D01035
C00048438	D00137
C00002285	D00110
C00000752	D02392
C00010868	D00194
C00000823	D00194
C00003043	D00194
C00001397	D00022
C00003138	D01037
C00001378	D02304
C00036556	D04637
C00000789	D04253
C00008991	D08112
C00007235	D08112
C00035454	D01792
C00003497	D07912
C00030214	D07912
C00030512	D00141
C00001782	D08677
C00001173	D00096
C00001781	D08675
C00002461	D02333
C00001762	D00198
C00007279	D05074
C00030409	D01947
C00025572	D08956
C00003416	D03584
C00045533	D03862
C00001337	D00058
C00001231	D05220
C00003522	D00157
C00034344	D06346
C00007290	D06346
C00001352	D03636
C00018679	D01458
C00001783	D08679
C00018715	D02951
