JP011653	C05138
JP003526	C01502
JP008433	C01502
KOX00792	C01152
KO003468	C01152
KO003470	C01152
KO003474	C01152
MT000090	C01152
KO003476	C01152
KOX00793	C01152
KOX00791	C01152
KO003472	C01152
KO003469	C01152
KO003473	C01152
PR100835	C01152
KO003467	C01152
PR100385	C01152
KO003475	C01152
KO003471	C01152
KO001546	C01444
KO001547	C01444
KO001545	C01444
KOX00479	C01444
PB003643	C06173
PB003641	C06173
PB003621	C06173
JP002812	C06173
PB003642	C06173
JP011926	C00256;C00186;C01432
PR100471	C01742
PR100934	C01742
TY000046	C17790
KO002511	C08269
KOX00682	C08269
KO002509	C08269
KO002510	C08269
KO002507	C08269
KO002508	C08269
JP005857	C05986
KNA00104	C00750
PR010235	C00750
KNA00464	C00750
KO003981	C00750
KO009231	C00750
KNA00466	C00750
KNA00103	C00750
KNA00465	C00750
KNA00101	C00750
KNA00102	C00750
PB000487	C00750
PB000489	C00750
KO003979	C00750
KO003978	C00750
KO009230	C00750
KO009232	C00750
PR010236	C00750
KNA00463	C00750
KZ000268	C00750
PB000490	C00750
PB000488	C00750
KO003977	C00750
KOX00862	C00750
KZ000269	C00750
KO003980	C00750
KO003091	C02502
JP000479	C02502
KO003092	C02502
PR100048	C02502
KO003090	C02502
JP009477	C02502
KO003089	C02502
KO003088	C02502
KOX00745	C02502
CA000094	C05413
WA001990	C07536
WA001989	C07536
WA001987	C07536
WA001988	C07536
JP003151	C07536
WA001991	C07536
KO002158	C02378
PR100222	C02378
KO000105	C02378
PR010218	C02378
KO002162	C02378
KOX00042	C02378
PB000471	C02378
KO000106	C02378
KZ000085	C02378
PB000469	C02378
PB000472	C02378
KO002159	C02378
KO000103	C02378
KOX00043	C02378
KO000104	C02378
KO002160	C02378
KO000107	C02378
PB000470	C02378
KO002161	C02378
KO003794	C05332
KO003742	C05332
KO003740	C05332
KO003738	C05332
JP005943	C05332
JP008252	C05332
KOX00835	C05332
JP005862	C05332
KO003793	C05332
KO003796	C05332
KO003797	C05332
KOX00828	C05332
JP009400	C05332
KO003795	C05332
KO003739	C05332
KO003741	C05332
PR100913	C12139
PR100455	C12139
KO008839	C03794
KO000067	C03794
KO002103	C03794
KO002105	C03794
KOX00025	C03794
KO002106	C03794
KO000065	C03794
KO008841	C03794
KO008842	C03794
KO000071	C03794
KO000063	C03794
KO000070	C03794
KOX00027	C03794
KO000066	C03794
KOX00026	C03794
KO008843	C03794
KO000068	C03794
KO000069	C03794
KO002104	C03794
KO000062	C03794
KO000064	C03794
KO002107	C03794
KO008840	C03794
WA002417	C09256
WA002421	C09256
WA002419	C09256
WA002420	C09256
WA002418	C09256
JP002803	C07576
KO003261	C08046
KO003264	C08046
KO003263	C08046
KO003266	C08046
KO003258	C08046
KO003262	C08046
KOX00764	C08046
KO003260	C08046
KO009015	C08046
KO003265	C08046
KO003257	C08046
KOX00765	C08046
KO009014	C08046
KO003259	C08046
PR100770	C02612
TY000057	C09236
TY000052	C09236
WA001500	C07240
WA001503	C07240
WA001502	C07240
WA001501	C07240
WA001499	C07240
WA001498	C07240
TY000062	C01433
TY000063	C01433
JP000270	C05979
JP007679	C05979
JP007107	C05979
PR100790	C08718
PR020064	C08718
PR100346	C08718
PR100399	C00255
PR100856	C00255
KO003889	C00563
KO003888	C00563
KO003891	C00563
KO001734	C00563
KOX00539	C00563
KO001731	C00563
KOX00538	C00563
KO001732	C00563
KO003890	C00563
KO001730	C00563
KO001733	C00563
KO009148	C00563
JP010512	C00392
KZ000187	C00392
PR100904	C00392
JP010511	C00392
JP005814	C14214
JP003306	C14214
JP006128	C14214
JP008514	C14214
KO003727	C00747
JP009032	C00747
JP003926	C00747
KO003726	C00747
KO003723	C00747
KOX00825	C00747
KO003725	C00747
JP000477	C00747
KO003724	C00747
JP007681	C00747
WA000794	C07049
WA000797	C07049
WA000796	C07049
WA000798	C07049
WA000795	C07049
JP003874	C07049
JP006191	C14530
JP006192	C14530
KO001745	C00296
KO001749	C00296
PR100727	C00296
KO001748	C00296
KO001746	C00296
KOX00543	C00296
KO001747	C00296
JP004267	C10921
JP005171	C10921
JP005187	C10921
KOX00691	C00571
KO002597	C00571
KO002598	C00571
KO002601	C00571
KO002600	C00571
KO002599	C00571
JP002567	C00571
KOX00729	C11227
KO002875	C11227
KO002877	C11227
KO002878	C11227
PR100469	C11227
KO002876	C11227
PR100931	C11227
KO002874	C11227
KO001835	C00494
KO001836	C00494
KO004032	C00494
KO009247	C00494
KO009245	C00494
KO001833	C00494
KO004035	C00494
KO009246	C00494
KO004034	C00494
KOX00569	C00494
KO004041	C00494
KO004039	C00494
KO004033	C00494
KO001834	C00494
KO001832	C00494
KO004038	C00494
KO004040	C00494
KO004036	C00494
KOX00571	C00494
KOX00570	C00494
KO004037	C00494
PR040059	C10176
PR040056	C10176
PR100647	C10176
PR040055	C10176
PR020009	C10176
PR040057	C10176
PR040060	C10176
PR100234	C10176
PR040058	C10176
KOX00786	C01937
KO003422	C01937
KO003424	C01937
KO009064	C01937
KO003423	C01937
KO003426	C01937
KO003425	C01937
JP010855	C01066
TY000047	C16972
TY000056	C16972
KO000814	C00191
KZ000204	C00191
PR100896	C00191
KO000816	C00191
KO000818	C00191
KO000815	C00191
KOX00257	C00191
KO000817	C00191
WA000523	C06857
WA000524	C06857
WA000525	C06857
WA000526	C06857
WA000521	C06857
WA000522	C06857
KO001326	C00275
KOX00409	C00275
KO001325	C00275
PR100335	C00275
PR100551	C00275
KO001324	C00275
KO001327	C00275
PR100776	C00275
KO003300	C03451
KO003301	C03451
PR100746	C03451
KO001292	C03451
KOX00400	C03451
PR100314	C03451
KOX00401	C03451
KO001294	C03451
KO009030	C03451
KO003297	C03451
KO009026	C03451
KO009024	C03451
KO003298	C03451
KO001291	C03451
KO009029	C03451
KO009027	C03451
KO009025	C03451
KO009028	C03451
KO003299	C03451
KO001290	C03451
KO001293	C03451
JP002857	C17094
JP010686	C17094
PR100326	C00669
TY000076	C11673
PB000385	C00933
PB000384	C00933
PB000386	C00933
JP011295	C16281
JP005323	C01387
JP006873	C01387
JP012139	C01387
JP004695	C01387
KO002405	C11033
KO000307	C11033
KO000306	C11033
KO002407	C11033
KO000309	C11033
KOX00109	C11033
KO000305	C11033
KO000308	C11033
KO002406	C11033
KO002403	C11033
KOX00108	C11033
KO002404	C11033
PR100686	C01850
PR040219	C01850
PR040221	C01850
PR040220	C01850
PR040216	C01850
PR040217	C01850
PR040218	C01850
PR040215	C01850
JP011077	C06601
KO001620	C07361
KO001622	C07361
KO001621	C07361
KOX00503	C07361
KO001624	C07361
KOX00504	C07361
KO003721	C07361
KO001623	C07361
KO003722	C07361
KO003720	C07361
WA002967	C10696
WA002972	C10696
WA002968	C10696
WA002970	C10696
WA002971	C10696
WA002969	C10696
JP007117	C06308;C09880;C06306
JP000245	C06308;C09880;C06306
KO001392	C02230
