carnitine	CID100000085
gamma-aminobutyric	CID100000119
5-aminolevulinic	CID100000137
leucovorin	CID100000143
5-methyltetrahydrofolate	CID100000146
PGE2	CID100000158
prostacyclin	CID100000159
prostaglandin	CID100000160
acetate	CID100000175
acetylcholine	CID100000187
adenosine	CID100000191
glucose	CID100024748;CID100000206
PGE1	CID100000214
ammonia	CID100000222
arginine	CID100000232
benzyl	CID100000244;CID100002345
betaine	CID100000247
calcium	CID100006116;CID100000271
graphene	CID100000297
chloramphenicol	CID100000298
bile	CID100000303
choline	CID100000305;CID100020585
citric	CID100000311
chloride	CID100000312
salicylate	CID100000338
D-cycloserine	CID100000401
bupropion	CID100000444
estradiol	CID100003263;CID100000450;CID100003267
mannitol	CID100000453
EACA	CID100000564
N-acetylcysteine	CID100000581
cytarabine	CID100000596
mesna	CID100000598
lactate	CID100000612
DMSO	CID100000679
dopamine	CID100000681
estrone	CID100000698
Oestrogen	CID100000699
monoethanolamine	CID100000700
lindane	CID100000727
glutamine	CID100000738
glycine	CID100000750
glycerol	CID110482134;CID100000753
bicarbonate	CID100000767
LMWH	CID100000772
histamine	CID100000774
quinol	CID100000785
potassium	CID100000813;CID100024450
kanamycin	CID100000815
epinephrine	CID100000838
thyroxine	CID100000853
triiodothyronine	CID100000861
magnesium	CID100000888
melatonin	CID100000896
sodium	CID100061475;CID100005238;CID100010340;CID100000923;CID104517618;CID100517045;CID100003737;CID100045469;CID100005248;CID100002881;CID111254352
niacin	CID100000937
nicotine	CID100000942
nitrite	CID100000946
nitrous	CID100000948
norepinephrine	CID100000951
hydroxyl	CID100000961
phosphate	CID100001003
pyrazinamide	CID100001046
pyridoxine	CID100001054
quinidine	CID100001065
retinol	CID100001071
thiosulfate	CID100001084
tetrahydrobiopterin	CID100001125
thiamine	CID100001130
thymidine	CID100001134
methamphetamine	CID100001206
naproxen	CID100001301
cladribine	CID100001546
doxorubicin	CID100001690
4-AP	CID100001727
phenytoin	CID100001775
methazolamide	CID100001798
5-azacytidine	CID100001805
methylprednisolone	CID100004159;CID100001875
abacavir	CID100001971
amphotericin	CID100001972
acebutolol	CID100001978
acetaminophen	CID100001983
acetazolamide	CID100001986
acetohydroxamic	CID100001990
methacholine	CID100001993
actinomycin	CID100002019
spectinomycin	CID100002021
acyclovir	CID100002022
albendazole	CID100002082
salbutamol	CID100002083
Almeta	CID100002085
alendronate	CID100002088
alfuzosin	CID100002092
allopurinol	CID100002094
alosetron	CID100002099
alprazolam	CID100002118
hexamethylmelamine	CID100002123
amantadine	CID100002130
amcinonide	CID100002133
diatrizoate	CID100002140
amifostine	CID100002141
amikacin	CID100002142
aminoglutethimide	CID100002145
p-aminohippurate	CID100002148
theophylline	CID100002153
amiodarone	CID100002156
amisulpride	CID100002159
amitriptyline	CID100002160
amlexanox	CID100002161
amlodipine	CID100002162;CID100060496
amobarbital	CID100002163
amorolfine	CID100002168
amoxapine	CID100002170
amoxicillin	CID100002171
ampicillin	CID100002173
amprenavir	CID100002177
amsacrine	CID100002179
anagrelide	CID100002182
anastrozole	CID100002187
apomorphine	CID100002215
apraclonidine	CID100002216
argatroban	CID100002232
aspirin	CID100002244
atenolol	CID100002249
atorvastatin	CID100002250
azathioprine	CID100002265
azelaic	CID100002266
azelastine	CID100002267
azithromycin	CID100002269
aztreonam	CID100002274
baclofen	CID100002284
beclomethasone	CID100002307;CID100062965;CID100002308
benazepril	CID100002311
bendrofluazide	CID100002315
benzocaine	CID100002337
benzphetamine	CID100002341
benztropine	CID100002344
penicillin	CID100004730;CID100002349
bepotastine	CID100002350
bepridil	CID100002351
betahistine	CID100002366
dexamethasone	CID100002367;CID100003003
betaxolol	CID100002369
bethanechol	CID100002370
bicalutamide	CID100002375
bisacodyl	CID100002391
bisoprolol	CID100002405
bretylium	CID100002431
brimonidine	CID100002435
bromazepam	CID100002441
bromhexine	CID100002442
bromocriptine	CID100002443
budesonide	CID100002462
bumetanide	CID100002471
bupivacaine	CID100002474
buprenorphine	CID100002476
buspirone	CID100002477
busulfan	CID100002478
butabarbital	CID100002479
butenafine	CID100002484
butorphanol	CID100002487
cabergoline	CID100002512
caffeine	CID100002519
verapamil	CID100002520
calcipotriol	CID100002522
1,25(OH)2D3	CID100002524
candesartan	CID100002540;CID100002541
capreomycin	CID100002547
capsaicin	CID100002548
captopril	CID100002550
carbachol	CID100002551
carbamazepine	CID100002554
carbenicillin	CID100002559
carbidopa	CID100002563
carbinoxamine	CID100002564
carisoprodol	CID100002576
BCNU	CID100002578
carteolol	CID100002583
carvedilol	CID100002585
cefaclor	CID100002609
cefadroxil	CID100002610
cefazolin	CID100002617
cefepime	CID100002622
cefotaxime	CID100002631
cefoxitin	CID100002637
cefprozil	CID100002646
ceftazidime	CID100002650
cephem	CID100002654
ceftizoxime	CID100002655
ceftriaxone	CID100002656
cefuroxime	CID100002658;CID100047419
celecoxib	CID100002662
celiprolol	CID100002663
cephalexin	CID100002666
cefixime	CID100002675
