J17.634F	C09486
J112.698I	C10871
J262.841D	C16435
J562.727C	C16551
J365.136C	C11340
J362.100F	C07753
J6.676A	C06422;C00185
J493.608F	C08426
J2.298E	C01756;C02380
J1.772.832F	C17667
J8.099C	C07653
J17.348G	C09583
J22.718H	C05138
J1.589.713I	C11762
J9.430G	C09187
J3.217D	C15572;C01502
J14.178J	C09228
J111.364J	C01152
J2.756.014H	C05489
J337.792J	C16592
J12.900C	C17351
J5.942K	C01444
J1.679.149K	C11568
J161.437A	C07448
J92.787B	C00446;C03384
J5.266C	C06173
J2.775.801K	C11717
J2.769.100E	C09237
J2.755.993J	C05474
J17.884E	C09750
J1.358G	C01432
J1.520.610A	C17717
J56.289K	C14723
J2.802.686B	C16480
J782.450E	C04847
J298.605A	C00332
J5.867J	C05488
J16.785A	C10088
J366.796K	C15948
J105.296I	C14181
J195.901H	C10937
J1.798.410A	C02802
J1.328.431H	C11638
J2.359.609A	C06002
J2.792.562F	C15092
J4.720A	C16364
J366.857F	C05031
J248.091C	C03600
J16.951J	C09911
J15.026F	C10396
J2.736.644I	C02419
J2.743.890C	C03682
J1.100.870D	C05924
J394.182E	C16525
J8.863C	C13482
J2.351E	C14415
J2.799.777E	C15961
J2.783.870G	C12836
J217.687D	C14629
J1.552.257G	C04105
J1.863.019B	C16408
J209.145C	C00125;C00126;C00524
J22.095G	C11737
J678.306F	C12038
J356.347B	C00143
J16.052K	C01742
J2.756.686C	C05655
J17.424F	C08106
J135.090K	C03012
J13.573I	C09289
J53.044A	C10353
J19.822F	C17790
J1.833.101B	C12183
J89.952F	C00034
J1.175.735I	C15085
J2.793.695D	C15290
J92.558F	C14722
J510.865I	C16445
J6.292H	C08269
J2.529A	C07763
J365.005G	C07677
J20.201K	C09748
J11.410C	C08609
J13B	C05986
J111.455G	C15388
J5.246I	C00750
J6.414I	C16512
J2.805.645A	C17093
J1.153.839H	C02991
J13.556I	C02502
J130.682K	C15382
J2.750.024B	C04336
J225.505G	C04036
J8.327E	C08795
J9.488I	C09581
J2.142.292D	C00596
J412.502I	C10458
J10.874J	C10483
J624.060G	C08541
J2.777.645K	C11860
J2.744.788K	C03944
J533.514K	C12405
J14.118F	C05413
J609.509G	C03589
J855.517F	C14776
J1.381A	C07536
J11.776E	C16462
J8.438G	C16260
J20.422F	C09537
J2.794.879K	C15542
J1.398F	C02378
J12.132K	C09663
J175.452A	C10374
J4.833J	C05332
J2.767.406B	C06446
J640.451K	C14808
J773.227I	C01120
J2.777.038J	C11765
J292.686E	C12139
J54.226A	C13044
J37.503I	C03794
J9.366A	C09256
J1.083.650F	C15884
J1.075.877G	C17605
J2.767.290F	C08893
J818.234E	C03319
J419.042D	C11817;C11813
J6.604D	C07576
J400.942H	C16305
J203.663K	C08046
J94.928K	C16359
J14.033C	C08799
J14.542D	C08103
J73.970G	C02612
J13.681F	C09597
J410.470F	C10485
