J16.850E	D01270
J1.925I	D01772
J8.426C	D07893
J209.316B	D00201
J231.256E	D02204
J203.713K	D03411
J281.186C	D05453
J575.851C	D06637
J215.268A	D04679
J220.084H	D01463
J5.280I	D07060
J7.360A	D02909
J649.174J	D04663
J340.699G	D08560
J320.019A	D01936
J350.074H	D02278
J244.766E	D04125
J37.341I	D01552
J9.453F	D00595
J21.377B	D01489
J354.310B	D06517
J7.835B	D03090
J237.741A	D00287
J3.149F	D07776
J2.178.389G	D06499;D03444
J549.418D	D04735
J33.169D	D07375
J231.155K	D01979
J422.613E	D07673
J676.924A	D07673
J11.163E	D01761
J237.634B	D00789
J7.549C	D00773
J3.257C	D01142
J4.103C	D07448
J24.636K	D01196
J327.542F	D01008
J252.797I	D00122
J369.073C	D07877
J308.372A	D07995
J2.064H	D01581
J3.894F	D00708
J334.312J	D01315
J9.300I	D00277
J243.968I	D02091
J352.898G	D01243
J649.754C	D05731
J81.933F	D07901
J8.776I	D01649
J2.620.043A	D08855
J7.669D	D03549
J10.127C	D05443
J2.071K	D01751
J18.309A	D04826
J16.410K	D00452
J4.556J	D02618
J7.487J	D04947
J4.857G	D05207
J244.665K	D01345
J2.327B	D05630
J9.565F	D01409
J243.868B	D03986
J2.385J	D05625
J7.562K	D08526
J9.749G	D00521
J7.476D	D01149
J311.442B	D05657
J4.561F	D07668
J1.874.077J	D01847
J43.884G	D01167
J33.144I	D04247
J244.808D	D02524
J1.410I	D00439
J8.470K	D07597
J402.710H	D02777
J33.374C	D02777
J8.783A	D07374
J32.887A	D00440
J2.937H	D00341
J868K	D01158
J3.133J	D00263
J21.180J	D03367
J389.231J	D07665
J3.415K	D06298
J3.197F	D01638
J10.843J	D00155
J10.781F	D00463
J37.279J	D03945
J23.702G	D05609
J252.853C	D02677
J364.923G	D05367
J126.228I	D07650
J22.266F	D07309
J335.604C	D06421;D06419;D06422;D06418;D03370;D06420;D06423
J9.990B	D04440
J268.819K	D01651
J5.752E	D04354
J10.010B	D08194
J243.999I	D00540
J34.701I	D04405
J12.413C	D07962
J383.183C	D01105
J7.606F	D07324
J221.669H	D07281
J209.266B	D01012;D06482
J43.680A	D03055
J17.834I	D00491
J4.426A	D01384
J3.410J	D01354
J4.861E	D01833
J7.001G	D01774
J244.911K	D04920
J209.167D	D02047
J8.022E	D01637
J14.544K	D02467
J11.489H	D03178
J9.701B	D08557
J27.971D	D08274
J3.467C	D00437
J4.129G	D00980
J64.512E	D00208
J268.733J	D02564
J8.838B	D03382
J5.667G	D06096
J321.113D	D03726
J2.059A	D00779
J1.379J	D00119
J239.643B	D07781
J23.572E	D04075
J1.915A	D01071
J5.481J	D07288
J349.646E	D00679
J252.946G	D01609
J4.113K	D07214
J311.408B	D07083
J268.742I	D02064
J7.564G	D05639
J209.145C	D00072
J9.182K	D02982
J8.020I	D04588
J20.068I	D08486
J153.943D	D03642
J2.866E	D00152
J689.130F	D01204
J2.115.705H	D04489
J546.910D	D01117
J1.388I	D00054
J470.227A	D01551
J227.827H	D01551
J22.044B	D03074
J17.424F	D00913
J5.636G	D08643
J3.708G	D01265
J243.965D	D01876
J9.606G	D08613
J10.835I	D05291
J383.163I	D00489
J14.542D	D00910
J244.645F	D04997
J9.652K	D07071
J211.549B	D08087
J220.275A	D02017
J5.579D	D01178
J33.126K	D07657
J19.582K	D07346
J34.703E	D07151
J9.598B	D07234
J16.443G	D08276
J422.658E	D08967
J20.370J	D05197
J805B	D00215
J7.601E	D04235
J588.201J	D06650
J18.185D	D04212
J231.078C	D07103
J245.543I	D01826
J19.106J	D03706
J349.743G	D04893
J1.625.653F	D05480
J252.867C	D00520
J17.983C	D03190
J237.124C	D01433
J2.956D	D00531
J2.792H	D00973
J4.580B	D00114
J4.923I	D02440
J16.866A	D06170
J2.207.189K	D02000
J11.412J	D02881
J369.048B	D05916
J327.980D	D00608
J535.137E	D00825
J1.591.904C	D02231
J209.195J	D04456
J3.390A	D01271
J2.509.696G	D06676
J19.288K	D03086
J13.093A	D00262
J294.789G	D05351
J196.186A	D07798
J8.897H	D04209
J861C	D07746
J363.314D	D00813
J1.366H	D00420
J2.365E	D02311
J203.735A	D01959
J62.952I	D06490
J1.631.466H	D00941
J2.309.659E	D05350
J34.317J	D07179
J209.232H	D05355
J388.656E	D02733
J1.407I	D07792
J1.382J	D00475
J7.875A	D01261
J240.216E	D00702
J231.018J	D00351
J311.163F	D00351
J299.460G	D02477
J25.810E	D07203
J10.437J	D07188
J549.417F	D00523
J383.162K	D03469
J556.740H	D00892
J280.988E	D07097
J321.820A	D08652
J693.926K	D02775
J7.097A	D00950
J287.075D	D08342
J21.671B	D08251
J252.851G	D01296
J300.500C	D01006
J349.622H	D02111
J623.884J	D05474
J8.511A	D01208
J10.284I	D05966
J153.931K	D03942
J33.161I	D08690
J19.223F	D02948
J1.592.816F	D04835
J262.680B	D00606
J231.261A	D00667
J16.173J	D07296
J135.046C	D02318
J9.496J	D03970
J4.551I	D00430
J423.836B	D08473
J6.145J	D07397
J355.525I	D03427
J43.962B	D02053
J87.543K	D07863
J34.501F	D07124
J5.555G	D08460
J785.620B	D00874
J10.171K	D08449
J794.573F	D01862
J281.212F	D07810
J33.156B	D06181
J33.383B	D07450
J358.575A	D01224
J586.049K	D08851
J2.389B	D02330
J369.107A	D01233
J14.640D	D07711
J244.541G	D05490
J8.172H	D07787
J334.665J	D01282
J243.853D	D00307
J199.699A	D07801
J9.846I	D00202
J3.134H	D00126
J1.423.936G	D02452
J4.152A	D00566
J231.455J	D00481
J545.190F	D06255
J9.608C	D05523
J220.090B	D04965
J4.345A	D07458
J2.167I	D01292
J34.477J	D08113
J9.435H	D03975
J6.396G	D03390
J16.166G	D04281
J4.604C	D03468
J523.873K	D04715
J2.104.914J	D02598
J213.728C	D08214
J11.127I	D07237
J549.465F	D07869
J321.960G	D08153
J349.668F	D02643
J10.914B	D08932
J244.279E	D04018
J33.075B	D02694
J245.506D	D00206
J10.063C	D08549
J19.504I	D08109
J182.099K	D02449
J44.043D	D01732
J1.392G	D00070
J7.935I	D04900
J346.050I	D06652
J6.268E	D08418
J311.856H	D07705
J15.833J	D04140
J69.302B	D07328
J5.656A	D01310
J3.218B	D07751
J473.072K	D01130
J231.526B	D02186
J220.195J	D02243
J9.386F	D07627
J1.530J	D04237
J60.102K	D08629
J2.367A	D00188
J4.205F	D08088
J5.685E	D04877
J22.219D	D01385
J34.127D	D03594
J5.680D	D04236
J321.184C	D08644
J265.257I	D03328
J3.439H	D00513
J388.992K	D03348;D03345;D03346
J244.479H	D05491
J1.591.912D	D02346
J8.622C	D03946
J253.817B	D02249
J32.871E	D04566
J32.514G	D08924
J20.172C	D06263
J8.746G	D04213
J715.876I	D05246
J82.338D	D02944
J3.784B	D05160
J43.600C	D00004
J8.003I	D04940
J2.056G	D02020
J33.787K	D07304
J5.131D	D01617
J1.403F	D01807
J2.046.067I	D01276
J203.595B	D05545
J203.594D	D05545
J244.411I	D05761
J4.417B	D07368
J10.057I	D08839
J2.194.310J	D06329
J67.779E	D00911
J346.534I	D00419
J86.067K	D02370
J2.500.397G	D03608
J380.264G	D04040
J22.495B	D05857
J4.009F	D00077
J5.256F	D04111
J365.004I	D03992
J2.773A	D00368
J369.156J	D07696
J8.862E	D07162
J4.588H	D07460
J10.216D	D01962
J19.709B	D03035
J244.642A	D05620
J16.451H	D00629
J6.328B	D07330
J4.200E	D07198
J8.698C	D06260
J245.491B	D01656
J2.200.722J	D02177
J311.241A	D08576
J16.607C	D07183
J334.155K	D03924
J404.471A	D03727
J237.256H	D04849
J220.553J	D04849
J8.625H	D08542
J257.267B	D02219
J134.096D	D04992
J2.601.657F	D07133
J22.038H	D03874
J19.956G	D07395
J10.409D	D04651
J20.519B	D02355
J503.379I	D04097
J10.732H	D04077
J231.254I	D04872
J5.058J	D07523
J150.533E	D00898
J300.553D	D01021
J7.244C	D08624
J10.110I	D02296
J18.479I	D00879
J8.983D	D05045
J244.007E	D01532
