PA450195	DB00001
PA10040	DB00002
PA10318	DB00003
PA164750594	DB00004
PA449515	DB00005
PA10032	DB00006
PA450203	DB00007
PA164749390	DB00008
PA164776730	DB00009
PA164749110	DB00010
PA164746538	DB00011
PA164743138	DB00012
PA451836	DB00013
PA164747674	DB00014
PA164743728	DB00015
PA10072	DB00016
PA448715	DB00017
PA164746228	DB00018
PA164781387	DB00019
PA164748631	DB00020
PA164784024	DB00022
PA448492	DB00023
PA164746560	DB00024
PA164750168	DB00025
PA10799	DB00026
PA449808	DB00027
PA164754884	DB00028
PA164769075	DB00029
PA164744571	DB00030
PA164776757	DB00031
PA164749406	DB00032
PA164746386	DB00033
PA164779048	DB00034
PA449237	DB00035
PA164748389	DB00036
PA164747991	DB00038
PA164744014	DB00039
PA164779052	DB00040
PA448081	DB00041
PA164747061	DB00042
PA164752253	DB00043
PA164750539	DB00044
PA164743058	DB00045
PA164747059	DB00046
PA449992	DB00047
PA449107	DB00048
PA10176	DB00049
PA164764506	DB00050
PA10004	DB00051
PA451446	DB00052
PA164742934	DB00053
PA448006	DB00054
PA131548935	DB00055
PA164749431	DB00056
PA164745371	DB00057
PA10308	DB00058
PA164760860	DB00059
PA450037	DB00060
PA450831	DB00061
PA164743293	DB00062
PA449483	DB00063
PA452639	DB00065
PA449693	DB00066
PA451858	DB00067
PA450039	DB00068
PA164749376	DB00069
PA164745713	DB00070
PA164781053	DB00071
PA451743	DB00072
PA451261	DB00073
PA164747126	DB00074
PA164743097	DB00075
PA164769030	DB00076
PA164781375	DB00078
PA164768820	DB00080
PA164748364	DB00081
PA164749630	DB00082
PA164754825	DB00083
PA448428	DB00085
PA164754919	DB00086
PA164783958	DB00087
PA164748093	DB00088
PA164745489	DB00089
PA164776670	DB00090
PA449167	DB00091
PA164748040	DB00092
PA164744374	DB00093
PA451835	DB00094
PA164748817	DB00095
PA164783947	DB00097
PA164743704	DB00098
PA449626	DB00099
PA164744952	DB00100
PA164749511	DB00102
PA164746527	DB00103
PA450678	DB00104
PA164783990	DB00105
PA164754915	DB00106
PA450760	DB00107
PA164747191	DB00108
PA164744517	DB00109
PA164748781	DB00110
PA164764446	DB00111
PA130232992	DB00112
PA164746540	DB00113
PA164749650	DB00114
PA451892	DB00115
PA164745110	DB00116
PA449882	DB00117
PA164754994	DB00118
PA164778686	DB00119
PA450931	DB00120
PA448625	DB00121
PA448976	DB00122
PA450280	DB00123
PA448478	DB00125
PA451898	DB00126
PA164781199	DB00127
PA448494	DB00128
PA164783814	DB00129
PA10090	DB00130
PA164744376	DB00131
