CID100000085	50037268
CID100000119	24183;50115805
CID100000137	50137023;50240386
CID100000143	50039121;286
CID100000146	50391007
CID100000158	50101822;50269996;50213982;35847;50125414;50224573
CID100000159	82215
CID100000160	85340;50035622;50020300
CID100000175	50074329
CID100000187	29405;97160;10759
CID100000191	14487;50093503;50144936;50134746;82533
CID100000206	50240803;50147888;50102881;50102882;50448403;50351158;50077229;34103;50165726;50423644;50057744;50147883
CID100000214	82098;50101828;50101853
CID100000222	-
CID100000232	50061059;21959
CID100000244	16418
CID100000247	50357226
CID100000271	14
CID100000297	-
CID100000298	23447
CID100000303	50236237;36165;21680
CID100000305	50026220;50055175;50026471
CID100000311	92494;14672
CID100000312	50027498;82266;86951;50019351;26979;50105098
CID100000338	50269984;26193;85513
CID100000401	50038178;50357231
CID100000444	50290504;50048392
CID100000450	50005414;22422;17292;20624;50023746;50075295;50041615;50060642;23952;25868;50084972
CID100000453	-
CID100000564	50357211
CID100000581	50420190
CID100000596	50087289
CID100000598	-
CID100000612	50420196;23233
CID100000679	50026472
CID100000681	50049797;50002316
CID100000698	17289;25829;50182488;50144770
CID100000699	24319;50269983;50366524;50137534;50071067;10022;50094213
CID100000700	7973
CID100000727	50410525
CID100000738	93009;18121
CID100000750	18133
CID100000753	-
CID100000767	26987;26986
CID100000772	-
CID100000774	22554;7966;50394702;50280123;22861
CID100000785	26190
CID100000813	-
CID100000815	-
CID100000838	50049795;50087512;50029050;50019058
CID100000853	50036400;50225220;50301375
CID100000861	18860;50178971
CID100000888	15
CID100000896	9019
CID100000923	-
CID100000937	23516;23515
CID100000942	50177169;50004108;50035407;50035403
CID100000946	26989
CID100000948	-
CID100000951	50030618;35234;50029051;50049792
CID100000961	-
CID100001003	50192455;14671;50079026
CID100001046	-
CID100001054	-
CID100001065	50252836;50411276;50198086;50370709;50367247;50252879;50046999;50410855;50292279;50154451;50198085;50121974;50121975;50017704;50127137;50242118;50017681
CID100001071	50092056
CID100001084	-
CID100001125	50373697
CID100001130	50373877
CID100001134	1
CID100001206	50009057;50359499;50359500
CID100001301	50009860;50056762;50269554;50339185
CID100001546	50008366
CID100001690	22984;50370552;43839;50184726
CID100001727	10458
CID100001775	50003655
CID100001798	50013792;50094422;10881
CID100001805	50424715
CID100001875	-
CID100001971	50366816;50166923;50128947
CID100001972	83198;96548
CID100001978	25755
CID100001983	26197
CID100001986	10880
CID100001990	50099857
CID100001993	50064610
CID100002019	50089528;43866;50023797
CID100002021	-
CID100002022	-
CID100002082	50241293
CID100002083	25769;50361247
CID100002085	-
CID100002088	50125977;50165345;50150876;25313
CID100002092	50033110
CID100002094	-
CID100002099	93624;50014558;50131429
CID100002118	50001728
CID100002123	-
CID100002130	50033369;50288951
CID100002133	-
CID100002140	-
CID100002141	-
CID100002142	91426
CID100002145	9460;50406640;50406639
CID100002148	50270006
CID100002153	82053;10847
CID100002156	50318906;18957
CID100002159	81790
CID100002160	50020712
CID100002161	-
CID100002162	50366619
CID100002163	-
CID100002168	-
CID100002170	22870
CID100002171	50350464
CID100002173	50292234;50350465;50169117
CID100002177	50163391;577
CID100002179	50013444
CID100002182	50000334
CID100002187	10015
CID100002215	50010691;50251114;50001955;50367948;50012986;50049794;86896
CID100002216	50021812;81926
CID100002232	50113825;50082588;50060061;50107452;50101744;50091037;50038001
CID100002244	22360;50269980;50420241
CID100002249	25753
CID100002250	50420200;50160780;50442868;22164;50221993;50011213
CID100002265	50373919
CID100002266	-
CID100002267	50341448
CID100002269	50373918
CID100002274	50240480
CID100002284	50032963;24182;50032964
CID100002307	-
CID100002308	-
CID100002311	50038597;50021153
CID100002315	-
CID100002337	-
CID100002341	-
CID100002344	50366775;50031099;86698
CID100002345	50134035
CID100002349	50269995;50169177;50377930;50022787;50292583
CID100002350	-
CID100002351	50017667
CID100002366	96589;50240425
CID100002367	-
CID100002369	50026854;50404948;25752;50405521
CID100002370	50423199
CID100002375	18678;18692;18525
CID100002391	-
CID100002405	25751
CID100002431	-
CID100002435	-
CID100002441	-
CID100002442	-
CID100002443	50026707;70294
CID100002462	50054954;50291964;50321942;50354850
CID100002471	25903
CID100002474	50350790;50350789;50417951;50350791
CID100002476	50076004;50084274;50222967;50369956;50246917;50105074;50354578;50028147
CID100002477	50001859;50367352
CID100002478	-
CID100002479	-
CID100002484	50436713
CID100002487	50240437
CID100002512	86052;50426497
CID100002519	10849
CID100002520	50338982;81939;50279753;50005628;50242630
CID100002522	50369964;50102252
CID100002524	50102250;50320749;50200182;50185661
CID100002540	50318907
CID100002541	50240609
CID100002547	-
CID100002548	20461;86537
CID100002550	50406955;50140754;21642;50011362;50121924;50011367
CID100002551	50014555;50004656
CID100002554	50003659
CID100002559	50270009;92464;50377929
CID100002563	50346881;50418773
CID100002564	94248;81464
CID100002576	-
CID100002578	50015950
CID100002583	50040065
CID100002585	25759
CID100002609	50292242
CID100002610	50350467;50292250
CID100002617	50370587;50292238;50169139
CID100002622	50350470;50292244;50169182
CID100002631	50169205;96523;50292249;50335523
CID100002637	50335563;50240589;50169176
CID100002646	-
CID100002650	50420259
CID100002654	50292237;50370586;50169133
CID100002655	-
CID100002656	50169154
CID100002658	50422689;50292243;50350472;50169172
CID100002662	91683;11639
CID100002663	-
CID100002666	50139896;50169120
CID100002675	50169161;50292241
CID100002676	18376;50160783
CID100002678	85029;85030;22890
CID100002684	50449645;50280535
CID100002708	50003677
CID100002712	50007664
CID100002713	50170723
CID100002719	22985;50411863;50192694
CID100002720	-
CID100002725	50367333;50007468;35938
CID100002726	50001888;50040186;50318908
CID100002727	50344965
CID100002732	25900
CID100002733	50290811
CID100002749	81379
CID100002751	-
CID100002754	50070490
CID100002756	50403559;22889;50018991
CID100002762	-
CID100002764	21690
CID100002767	50164081;50028111;92386;50164077;92393
CID100002771	86046;25870;50323776;50302225;50425188
CID100002781	50253157;94606
CID100002786	50411862;50373920
CID100002789	-
CID100002791	-
CID100002792	-
CID100002794	50378783
CID100002800	50170640;50170644
CID100002801	50021927
CID100002802	50019213
CID100002803	14062;50262234;50020341;50016897
CID100002806	50397662;50318910
CID100002809	-
CID100002812	31774
CID100002818	22869;50051254;50001884
CID100002826	22418;50279749;50454451;86207;50041284;50011691;50005532;50455945;50243136;50042487;50279752;50042491;50368238;50005535;50273606
CID100002828	-
CID100002833	50014846
CID100002881	50404862;50440033
CID100002883	-
CID100002891	-
CID100002895	112774
CID100002905	82375
CID100002907	-
CID100002909	50029193;50037810;50033060;50022815;50136475;50119406;50025048;50150950;50224967;86672;50123745;50150951;50119452;50119447
CID100002913	50017721
CID100002914	50063099;50094569;50154009
CID100002949	50423541;73822
CID100002951	50077309
CID100002955	50029764
CID100002958	50368352;50181501
CID100002972	-
CID100002973	50393308
CID100002978	86515;50007391;50053264;50000729
CID100002995	50010869;35229;50028289
CID100003000	-
CID100003003	18703;18207;50049514
CID100003007	50377987;50005246;50022721;50022723
CID100003008	50003560;50366613;50185244;50142865;50038722;50080946
CID100003009	50028197
CID100003015	-
CID100003016	50000766
CID100003019	50241108;86248
CID100003032	13066;50174201
CID100003038	10883
CID100003040	50169220;50005106;50350476;50292252
CID100003042	50010101
CID100003043	50404252
CID100003053	-
CID100003056	-
CID100003059	50240510
CID100003060	-
CID100003062	50089253;50060408;50115625;50131819
CID100003063	-
CID100003066	50280055;86235;50295557
CID100003075	50004704;50117920
CID100003080	-
CID100003100	50017674
CID100003105	-
CID100003108	23620
CID100003114	50028893
CID100003117	50058655
CID100003121	50003616;50009834
CID100003125	-
CID100003143	36351
CID100003148	50366823;50451546;50131427
CID100003151	50241107
CID100003152	50429790;50271227;50037176;50029923;50422179;8960;50037187;50342148
CID100003154	50041024;50041042;50094370;10884;13054;50043906
CID100003155	82548
CID100003156	-
CID100003157	86731;50019693
CID100003158	50079527;50240484;112780
CID100003168	50017705
CID100003171	-
CID100003182	82016
CID100003198	50134038;31773
CID100003199	50370993
CID100003202	50059901;120262;50108399;50055191
CID100003203	50085039;2483;50185704
CID100003209	50242349
CID100003219	50019624
CID100003222	50121915;50017129
CID100003226	-
CID100003241	50131441
CID100003249	50049515
CID100003250	81446;50390991
CID100003251	86529;50027065
CID100003255	50344942;50127141;50279776;86313;50421353
CID100003256	96262
CID100003261	-
CID100003263	-
CID100003267	-
CID100003268	50333645
CID100003269	50410506;25806
CID100003278	50186231
CID100003279	50448407
CID100003291	50240424
CID100003292	-
CID100003305	50115102
CID100003308	50016799
CID100003310	50127140;50045066;50029555;50282164
CID100003324	-
CID100003325	50036754;22891
CID100003331	-
CID100003333	-
CID100003339	50085042
CID100003340	50049796;50020681;50049800
CID100003342	50028382;50336273
CID100003345	50355376;50084769;50008984
CID100003348	22874
CID100003350	50032777;92326;50334788;50034160;50031882;50025356;50043609;50034510
CID100003354	-
CID100003355	50131434
CID100003363	-
CID100003364	50169187;50370590;50292246
CID100003365	25817
CID100003366	-
CID100003367	50118807;108248
CID100003368	-
CID100003370	-
CID100003372	50017655
CID100003373	26264;26263
CID100003375	-
CID100003379	-
CID100003380	25878
CID100003381	-
CID100003382	-
CID100003384	-
CID100003385	-
CID100003386	81875;30130;50331514;50136166
CID100003387	18189;50073060
CID100003388	-
CID100003392	-
CID100003393	-
CID100003394	50172473;50172479;50074922
CID100003397	50131270
CID100003399	50354849;50054949;50083759
CID100003403	50007276;50139803;50160794;50042668;50221997;86704;50139812;50368147
CID100003404	50028091
CID100003405	50367343
CID100003406	-
CID100003410	50419856;86453;50306816;50151720;50419318
CID100003414	50011181;50027536;50205803
CID100003417	50194427;50024894
CID100003419	-
CID100003425	19151
CID100003440	25902
CID100003443	-
CID100003446	50064406;50080153
CID100003449	50241745;10404;50117581;50260132
CID100003454	85707
CID100003461	-
CID100003462	-
CID100003463	50110590
CID100003467	-
CID100003475	-
CID100003476	-
CID100003478	50012956
CID100003488	50012957
CID100003494	50417445;50419524
CID100003510	50449636;50291698;50000483;50443668;50307814;50363282
CID100003512	31775
CID100003516	-
CID100003517	81983;96725;50027071;50262232
CID100003519	81984;50412316
CID100003520	50420178
CID100003553	-
CID100003559	21398;50051276
CID100003598	-
CID100003623	82370
CID100003636	50015725
CID100003637	81461
CID100003639	13076
CID100003640	13775;22476
CID100003642	-
CID100003647	25897
CID100003648	50241341
CID100003652	-
CID100003657	50017811
CID100003658	22875
CID100003661	50353900;50014540;50231846;50403547;50241332;86231
CID100003672	50009859;50416759;50269981;50169047;50169044
CID100003675	50105417
CID100003676	50017662
CID100003685	-
CID100003687	50375780;50370388
CID100003690	-
CID100003696	50010859;50028282
CID100003702	25901
CID100003706	50369581;50037526;517;50091614
CID100003715	17638
CID100003724	-
CID100003730	-
CID100003734	-
CID100003736	-
CID100003737	-
CID100003738	-
CID100003739	-
CID100003741	-
CID100003742	-
CID100003743	-
CID100003746	50021892;82372;50378083;50355610
CID100003749	50042235
CID100003750	51762;50128267
CID100003759	-
CID100003763	-
CID100003767	50336507
CID100003777	85345
CID100003779	50407518;50407517;25392
CID100003780	-
CID100003783	50326178
CID100003784	50436176
CID100003793	50011478;50127138
CID100003821	50044140
CID100003823	8610;31768;50004441;50121976;50004442
CID100003825	50022271;50028385;50088570;50169048
CID100003826	50009855
CID100003827	50258516;94597;50002087
CID100003830	50331853
CID100003848	36103;36102
CID100003869	25758
CID100003872	50377984
CID100003877	50366817;50046287;50039162
CID100003878	50031299
CID100003883	50400617
CID100003890	50240648;50423647;50150899
CID100003899	50054601
CID100003902	13061
CID100003911	50067483;50369395
CID100003914	-
CID100003915	50019405;85844
CID100003916	50418049;50339137
CID100003918	50369518;50367919;50326656;50017233;50001000;82427;50003571
CID100003928	50335522;92333
CID100003929	50116067
CID100003937	50084643;50044229;50130718;50189453;50367879
CID100003938	22867;50056445;85531;50067724
CID100003939	-
CID100003948	50417952
CID100003950	-
CID100003954	50017698;50105067
CID100003957	22876
CID100003958	50292627
CID100003961	50284068;82258;50406795;50209829
CID100003962	50011206;50042675;50024628;50042685;50003235;50004774
CID100003964	22871
CID100003998	10860
CID100004004	85372
CID100004011	35228;50378025
CID100004030	50180753
CID100004031	-
CID100004032	50369323;50061565
CID100004033	-
CID100004034	50318912;81467
CID100004036	22971;50012896
CID100004042	86680;50062404;50126115;50067678;50076295;50110518
CID100004043	-
CID100004044	50134036
CID100004046	50151865;50377446;50131436;50022889;50377454;50377463
CID100004048	-
CID100004051	50056998
CID100004053	50025837
CID100004054	50062599
CID100004057	50253050;50019290;50019289;50292707;50377964
CID100004058	50026752;50162126
CID100004060	21361
CID100004062	50417964
CID100004064	-
CID100004075	-
CID100004086	50295572
CID100004091	50229665
CID100004095	82507;50027393
CID100004101	-
CID100004107	-
CID100004112	50270007;50004545;18050;50420238
CID100004114	50041234
CID100004120	50015727;37635;50241132
CID100004121	-
CID100004138	-
CID100004139	50434369;50241461;50156160
CID100004140	86237;50330860
CID100004158	50142861;50062909;50165212;85933;50212379;50050098;50062912;50142839;50062915
CID100004159	-
CID100004160	50410531
CID100004163	50031942
CID100004168	50000491
CID100004170	25899
CID100004171	81883;25756;81881;81884
CID100004173	50375309
CID100004174	50028166
CID100004178	50117271;50135883;50135884
CID100004184	50014405;50027228;35256;31005
CID100004189	50139811;31772;50139808
CID100004192	21363
CID100004195	-
CID100004196	18723;50072024;50360468;86689;18627
CID100004197	86223;15296
CID100004201	81463
CID100004205	50115644
CID100004211	-
CID100004212	50427751;50003674
CID100004235	15613
CID100004236	50336892;50336893;50156055
CID100004240	50148733
CID100004248	50052024
CID100004253	50026674;50000092;50261468;50101157;50027241;50125693;50027499;86258
CID100004259	50366824;50146367
CID100004264	50290686
CID100004271	-
CID100004272	50113226;19264
CID100004274	-
CID100004409	-
CID100004411	25766
CID100004419	50105085
CID100004421	21691
CID100004422	50045776;85326;86930
CID100004425	50027804;86260;50199899;50000788
CID100004428	50049562;50000787;86493;92847;50080468;50127013
CID100004432	-
CID100004436	50001922;50262237;50027061
CID100004440	50073682
CID100004443	50344967
CID100004449	50069447
CID100004450	-
CID100004451	50366785;50369322;50061306;50114966;81679;50084668;50156144;518;50091613
CID100004454	19;50073907;50366388
CID100004456	50022775;50047738;50188012
CID100004463	1434
CID100004473	50367298;50291816
CID100004485	50235991;50336640;50000778
CID100004493	50135912
CID100004497	50318493
CID100004499	82056
CID100004506	50020856
CID100004509	-
CID100004510	-
CID100004513	-
CID100004536	50148732;50028006
CID100004539	50045000
CID100004542	50410522
CID100004543	50020710;112777
CID100004547	50153520
CID100004568	-
CID100004583	50167506;50366826;50045004
CID100004585	50053711;35254;82479
CID100004594	50241343
CID100004595	50000493;50241365;85330
CID100004599	24988;24567;50274723;50246652
CID100004601	50062614
CID100004603	5025
CID100004607	50350483;50169190;50292247
CID100004609	92388;92389
CID100004614	50002861
CID100004616	85031
CID100004623	-
CID100004631	50240370
CID100004634	50151858;50165019
CID100004635	50292254;50170965;50370595
CID100004638	-
CID100004639	50026676;50001707
CID100004649	50131552
CID100004666	50161874;50089348;50001839;50176140;50036786
CID100004673	50165344;50150874;12581
CID100004675	86425;50149879
CID100004678	-
CID100004679	50409893;50241342
CID100004680	14754
CID100004689	-
CID100004691	50331515;50110581;22416;50377958;86422
CID100004695	-
CID100004724	82364
CID100004725	-
CID100004727	50217941;50311534
CID100004730	50370584;50292235;50169123
CID100004735	50368101;50015245
CID100004736	50032403;50001028;50210190;50001033;50170663;50299715;50035131;50407300;50114098;50035103;50423875
CID100004737	50055935
CID100004739	50139882;22925;50028155
CID100004740	10850
CID100004745	86233;50028421;50026709;50047148;50067720;50017543
CID100004746	50117921
CID100004747	50346422
CID100004748	50130273
CID100004756	50420356
CID100004763	50021437
CID100004768	50017679
CID100004771	50246598
CID100004775	36184
CID100004782	36024
CID100004786	50118704;50367603;50022722;50405615;50405613
CID100004810	50050093
CID100004811	50222010;50326255;50055182;50004000;10709;10608;10609
CID100004812	24782
CID100004819	50008075;50008072
CID100004828	50019443;50072755
CID100004829	50111005;50049240
CID100004834	50240426
CID100004845	-
CID100004865	50035218
CID100004868	50410807
CID100004870	-
CID100004885	50025817;50226040;50116766;50025819;50017550
CID100004889	50006412;50368146;50042648;20688
CID100004891	-
CID100004893	50299207;29568
CID100004894	50024897;19190;50107363
CID100004895	-
CID100004896	-
CID100004900	-
CID100004906	-
CID100004908	50149893;50203193
CID100004909	-
CID100004911	50269994;50206509
CID100004913	50059898
CID100004914	-
CID100004915	-
CID100004917	50292708
CID100004920	50126120;8903;50076299
CID100004923	-
CID100004927	50017696
CID100004932	50067133
CID100004934	-
CID100004935	-
CID100004943	50058046
CID100004946	50246936;36109;36108;25761
CID100004976	50176062
CID100004989	-
CID100004991	50313079;50367878
CID100004992	22567;26227;22878
CID100004993	18512
CID100004999	-
CID100005002	50095890
CID100005005	50368166;50452255;50452254
CID100005029	50409892;50409894;50139804
CID100005032	86288;36014;36015;36029;36028;86284;86287
CID100005035	50057660;50102903;19441
CID100005038	50084681
CID100005039	22893
CID100005040	50089446;50064359;92863;36608;50075185;50240955;36609
CID100005051	-
CID100005052	50017712;50121979
CID100005064	-
CID100005070	-
CID100005071	-
CID100005073	50001885
CID100005076	520;50127136
CID100005077	10620;50342600;50221925;11682;50169864
CID100005078	50033437
CID100005090	22369
CID100005095	50020680
CID100005106	50417959;91198
CID100005152	25771;50212731
CID100005155	-
CID100005161	85244
CID100005184	50368127;50015720;50452855
CID100005193	-
CID100005195	15579
CID100005203	50028094;86421;82218;82216;82217;50021903
CID100005206	-
CID100005210	84742
CID100005212	50144208;50359766;14390
CID100005214	-
CID100005215	50166571
CID100005238	26981;50339818
CID100005245	12576
CID100005248	-
CID100005253	50024315;25762
CID100005257	50366822;50131426
CID100005267	50228080;50324225
CID100005291	13530;86734;50434581
CID100005297	50215396;50366387
CID100005300	-
CID100005311	19149
CID100005314	50061568
CID100005318	31770;50133359
CID100005320	50316126
CID100005329	50029770
CID100005333	10857
CID100005352	50012899
CID100005358	50005835
CID100005359	50090676
CID100005372	50079777;50370393;50028860;50068574;50064355;50079263;50030448
CID100005376	20607
CID100005379	50117914
CID100005381	50265951
CID100005391	50408032
CID100005394	-
CID100005396	-
CID100005401	50033111
CID100005402	50018518
CID100005403	25770
CID100005404	31769;50375318
CID100005407	50014325;50367848
CID100005408	8885;50091402;50410492;50025452
CID100005409	-
CID100005410	50128553;50215709
CID100005411	50017659;50172538
CID100005419	96559;50027073
CID100005426	50070114
CID100005430	50121347
CID100005452	50002338
CID100005453	50418086
CID100005454	86187
CID100005466	50039251;50047918;50368628;50047912;50047904
CID100005468	-
CID100005470	-
CID100005472	85509
CID100005478	50292219;25767;50404945
CID100005479	-
CID100005483	50020805
CID100005486	50004058;50039584
CID100005487	50240671
CID100005496	50291699;50366778;50090265
CID100005503	-
CID100005505	50027886
CID100005508	50295287
CID100005512	50165008
CID100005514	50258802;50156388;10887;50108574
CID100005515	50045394;50034026;50291958;50369074;50008935
CID100005516	50393326
CID100005523	50176259;50176261;50176262;50176260
CID100005524	82264;50027056;82265;82267
CID100005525	50369775;50405540;50021782;50452241;50021785;50084632
CID100005526	50428067
CID100005530	50113851;50028544;50261814;50236898;50143083;50370383;50240772
CID100005533	50073444
CID100005538	50031459;31892;31891;50064254;31883
CID100005544	-
CID100005546	6644
CID100005556	50001765
CID100005564	8726
CID100005565	50323751
CID100005566	50001886
CID100005572	50071183;81462;50291694
CID100005576	-
CID100005577	-
CID100005578	50135136;18069
CID100005582	18268
CID100005584	50240410
CID100005591	50085045
CID100005593	82371
CID100005595	50108392;50368651;50045584;50366293;50007871;91594
CID100005596	-
CID100005625	50097045;1944
CID100005636	-
CID100005645	21674;50090946;50117092;50420187;50334960
CID100005647	-
CID100005650	50282371;50049186
CID100005651	58373;50335519
CID100005656	50010868;82071;50400815;50400816;82072
CID100005665	50118886;50357219
CID100005672	-
CID100005717	50009073
CID100005718	50145605
CID100005719	86521
CID100005721	50165355;4934;50040516;50092137;50048447;5265;50330326;50098748
CID100005726	50251506;50359627
CID100005727	-
CID100005731	50033428;50033383
CID100005732	26266
CID100005734	35998;10888
CID100005735	26265;50054136
CID100005746	50428658
CID100005771	50013775;50114021;50332722;50205990;86210;50056794
CID100005775	50008789;50262181
CID100005877	-
CID100005878	-
CID100005939	-
CID100005978	50139772
CID100006018	50342818;50017701;50048891
CID100006049	50330325
CID100006058	7968
CID100006116	-
CID100006238	50423511
CID100006256	-
CID100006432	-
CID100006436	-
CID100006451	50420251
CID100006468	50000662
CID100006476	-
CID100006503	-
CID100006726	-
CID100007012	36097;36096
CID100007029	-
CID100007187	-
CID100007638	50410520
CID100007699	-
CID100008197	-
CID100008230	35667;50205302;50291330;50407346;50030082;50397208;50221814
CID100008612	-
CID100008982	-
CID100009034	-
CID100009354	-
CID100009433	50367874
CID100009904	50080092
CID100010100	82269
CID100010340	50155536;50155533
CID100010413	50023575
CID100010547	50016940
CID100010631	-
CID100010660	-
CID100011125	-
CID100011973	-
CID100012453	50393327;81491;81482
CID100012460	-
CID100012536	-
CID100012555	50095471
CID100012559	-
CID100012597	-
CID100012620	-
CID100013314	50240409
CID100013342	50130852;50012278;50370233;50225954
CID100014789	-
CID100014888	-
CID100014917	26978
CID100015232	-
CID100015459	-
CID100016124	50162816;50079024
CID100016230	16173;50356108
CID100016362	50334150;50193186
CID100016533	-
CID100016850	-
CID100016886	96274
CID100017358	-
CID100018140	50333646
CID100019090	-
CID100020585	-
CID100020969	-
CID100021800	50421892
CID100021945	-
CID100022258	50386689
CID100022318	50153289
CID100022502	-
CID100023703	-
CID100023897	50130290
CID100023925	-
CID100023926	-
CID100023951	-
CID100023954	-
CID100023957	-
CID100023976	-
CID100023978	-
CID100023982	-
CID100023993	-
CID100023994	16
CID100024087	-
CID100024414	-
CID100024424	-
CID100024450	50004328
CID100024642	-
CID100024706	-
CID100024748	-
CID100024841	-
CID100025419	50216172
CID100025959	-
CID100027304	-
CID100027400	82088
CID100027661	-
CID100027991	50205291;50205308;85094;50145128
CID100027993	-
CID100028332	-
CID100028486	-
CID100029089	-
CID100030623	-
CID100031072	50275889
CID100031264	-
CID100031378	-
CID100031477	-
CID100032169	-
CID100032281	50241265;86216;50050530;50072394;50156180;86214
CID100032603	-
CID100032797	-
CID100032800	21147;50018059;21148;50281667
CID100034312	-
CID100036339	50125937;50125938;50125935
CID100036523	50422274;50090731;50067486
CID100036811	50325274
CID100037392	50096846;50151855
CID100037720	-
CID100038904	-
CID100039042	28701
CID100039507	-
CID100039524	-
CID100039764	86424;50424713;50149889
CID100039860	50287941
CID100040159	-
CID100040632	50005201
CID100040703	-
CID100040973	50423510
CID100040976	50423516
CID100041317	-
CID100041684	-
CID100041693	50012490;94503
CID100041744	-
CID100041774	50333465;50292278;23406;50308261;50234367
CID100041781	-
CID100042113	-
CID100042395	-
CID100042615	-
CID100042955	85606;85178
CID100044563	-
CID100044564	-
CID100045469	50377921
CID100047319	50149881
CID100047320	-
CID100047419	-
CID100047471	-
CID100047528	-
CID100047640	50170647
CID100047725	-
CID100050294	-
CID100050614	-
CID100051263	50008979
CID100051577	50242271
CID100051634	50312528;50156362;50312530;18355;50312526
CID100052421	-
CID100054158	-
CID100054313	50168296;23954
CID100054331	-
CID100054373	50059090;50272772;50205821;50175592
CID100054454	50003240;50139181
CID100054547	50292251;50169216
CID100054688	50106545;50404044
CID100054786	-
CID100054808	-
CID100054840	50022784;50366567;50133749
CID100054949	-
CID100055331	50021530
CID100055466	-
CID100055480	50275771;86420;50032379;50175513
CID100056338	-
CID100056959	-
CID100057166	-
CID100057469	50240849
CID100057537	50054062;50123626
CID100057697	-
CID100059708	50422542;50001546
CID100059768	50404796
CID100060146	86846;50060964
CID100060164	50290084;50048280
CID100060172	50001103
CID100060183	-
CID100060184	-
CID100060198	50398447
CID100060490	50418083;50000541;50320449
CID100060496	-
CID100060612	50036913;50241196;50085683
CID100060613	31915
CID100060668	-
CID100060695	-
CID100060706	-
CID100060714	-
CID100060726	50027940
CID100060751	-
CID100060752	50131432
CID100060754	-
CID100060787	50069008;50121523;50010494;50373904;50039563;50373905;50114967;519
CID100060795	50130293
CID100060814	-
CID100060830	50296345
CID100060834	84745;50136680;50136674;50136671
CID100060843	18796
CID100060852	12577
CID100060853	50131438;50048803;50366825
CID100060860	-
CID100060864	50002093;50002096
CID100060867	50283545
CID100060871	-
CID100060877	-
CID100060878	50011977
CID100060936	50442524
CID100060953	-
CID100061475	-
