CID100000085	DB02648;DB00583
CID100000119	DB02530
CID100000137	DB00855
CID100000143	DB03256;DB00650
CID100000146	DB04789;DB04375
CID100000158	DB00917
CID100000159	DB01240
CID100000160	-
CID100000175	DB04184;DB03166
CID100000187	DB03128
CID100000191	DB00194;DB03528;DB00640
CID100000206	DB02944;DB02687;DB03989;DB02379
CID100000214	DB00770
CID100000222	-
CID100000232	DB04027;DB00125
CID100000244	DB06770
CID100000247	DB04455
CID100000271	DB01373
CID100000297	DB04148
CID100000298	DB00446
CID100000303	DB02659
CID100000305	DB00122
CID100000311	DB04272
CID100000312	DB00318
CID100000338	DB01398;DB01397;DB00936
CID100000401	DB00260;DB03123
CID100000444	DB01156
CID100000450	DB00783
CID100000453	DB01638;DB00742
CID100000564	DB04134;DB00513
CID100000581	DB06151
CID100000596	DB02097;DB05494;DB00987
CID100000598	-
CID100000612	DB04398;DB03066
CID100000679	DB01093
CID100000681	DB00988
CID100000698	DB00655
CID100000699	DB04574;DB00286
CID100000700	DB03994
CID100000727	DB00431
CID100000738	DB02174;DB00130
CID100000750	DB00145
CID100000753	DB04077
CID100000767	-
CID100000772	DB01225;DB00407
CID100000774	DB05891;DB05381;DB00667
CID100000785	-
CID100000813	-
CID100000815	DB01172
CID100000838	DB00668
CID100000853	DB00451;DB00509
CID100000861	DB00279
CID100000888	DB01378
CID100000896	DB08189;DB01065
CID100000923	DB01014
CID100000937	DB00627
CID100000942	DB00184
CID100000946	-
CID100000948	-
CID100000951	DB00368
CID100000961	-
CID100001003	DB02831
CID100001046	DB00339
CID100001054	DB00165
CID100001065	DB00908;DB00468
CID100001071	DB00162
CID100001084	-
CID100001125	DB00360;DB03918;DB02692
CID100001130	DB00152
CID100001134	DB04485;DB01265
CID100001206	DB01577
CID100001301	DB00788;DB08298
CID100001546	DB00242
CID100001690	DB00445;DB00997
CID100001727	DB06637
CID100001775	DB00252
CID100001798	DB00703
CID100001805	DB00928
CID100001875	-
CID100001971	DB01048
CID100001972	DB00681
CID100001978	DB01193
CID100001983	DB00316
CID100001986	DB00819
CID100001990	DB00551
CID100001993	DB06709
CID100002019	DB00970
CID100002021	DB00919
CID100002022	DB00787;DB05347
CID100002082	DB00518
CID100002083	DB01001
CID100002085	-
CID100002088	DB00630
CID100002092	DB00346
CID100002094	DB00437
CID100002099	DB00969
CID100002118	DB00404
CID100002123	DB00488
CID100002130	DB00915
CID100002133	DB00288
CID100002140	DB00271
CID100002141	DB01143
CID100002142	DB00479
CID100002145	DB00357
CID100002148	DB00345
CID100002153	DB00277
CID100002156	DB01118
CID100002159	DB06288
CID100002160	DB00321
CID100002161	DB01025
CID100002162	DB00381
CID100002163	DB01351
CID100002168	-
CID100002170	DB00543
CID100002171	DB01060
CID100002173	DB00415
CID100002177	DB00701
CID100002179	DB00276
CID100002182	DB00261
CID100002187	DB01217
CID100002215	DB00714
CID100002216	DB00964
CID100002232	DB00278
CID100002244	DB00945
CID100002249	DB06987;DB00335
CID100002250	DB01076
CID100002265	DB00993
