CID100000961	D00001
CID100000206	D00009
CID100000175	D00010
CID100000750	D00011
CID100000738	D00015
CID111020241	D00018
CID100000753	D00028
CID100000311	D00037
CID100002891	D00042
CID100000191	D00045
CID100000937	D00049
CID100006049	D00052
CID100000119	D00058
CID100000453	D00062
CID100005496	D00063
CID100004920	D00066
CID100000698	D00067
CID100003405	D00070
CID100000785	D00073
CID100145068	D00074
CID100005408	D00075
CID100000951	D00076
CID100000244	D00077
CID100000158	D00079
CID100000160	D00081
CID100003640	D00088
CID100005771	D00089
CID100005538	D00094
CID100000838	D00095
CID100000453	D00096
CID100000338	D00097
CID111979316	D00101
CID100000948	D00102
CID100000298	D00104
CID100000450	D00105
CID100000159	D00106
CID100005372	D00107
CID100002244	D00109
CID100002826	D00110
CID100000612	D00111
CID100003661	D00113
CID100001301	D00118
CID100005352	D00120
CID100005032	D00124
CID100003310	D00125
CID100003672	D00126
CID123690938	D00127
CID100002524	D00129
CID100003059	D00130
CID100003117	D00131
CID100003825	D00132
CID100002082	D00134
CID100003559	D00136
CID100005184	D00138
CID100004114	D00139
CID100003255	D00140
CID100003715	D00141
CID100004112	D00142
CID100001046	D00144
CID100005578	D00145
CID100003661	D00147
CID100004812	D00148
CID100004044	D00151
CID100005407	D00153
CID100004739	D00155
CID100005508	D00158
CID100000564	D00160
CID100667490	D00161
CID100004649	D00162
CID100005645	D00163
CID100002891	D00166
CID100003080	D00167
CID100000596	D00168
CID100004036	D00169
CID100032281	D00176
CID100000214	D00180
CID100002232	D00181
CID100004536	D00182
CID100004421	D00183
CID100002909	D00184
CID100003269	D00185
CID100002764	D00186
CID100003249	D00187
CID100004678	D00193
CID100000312	D00195
CID100004811	D00196
CID100005052	D00197
CID100005051	D00198
CID125880664	D00201
CID100001972	D00203
CID100002173	D00204
CID144134877	D00205
CID100005746	D00208
CID100003512	D00209
CID100004539	D00210
CID105381226	D00211
CID100005651	D00212
CID100003443	D00213
CID100002019	D00214
CID100041774	D00216
CID100001983	D00217
CID100001986	D00218
CID100001990	D00220
CID100000581	D00221
CID100002022	D00222
CID100003928	D00223
CID100002118	D00225
CID100002141	D00226
CID100009433	D00227
CID100002170	D00228
CID100002171	D00229
CID100002249	D00235
CID100074989	D00236
CID100002265	D00238
CID100002274	D00240
CID100002284	D00241
CID100007699	D00242
CID100003003	D00244
CID100002391	D00245
CID100002462	D00246
CID100002471	D00247
CID100002478	D00248
CID116129616	D00249
CID100002548	D00250
CID100002550	D00251
CID100002554	D00252
CID100002578	D00254
CID100002585	D00255
CID100002609	D00256
CID100002610	D00257
CID100002675	D00258
CID100050614	D00260
CID100002646	D00261
CID100002658	D00262
CID100002666	D00263
CID100002708	D00266
CID100002712	D00267
CID100002726	D00270
CID100002727	D00271
CID100002732	D00272
CID100060613	D00273
CID100002767	D00275
CID100054688	D00276
CID100002786	D00277
CID100002794	D00278
CID100002802	D00280
CID100002803	D00281
CID100002812	D00282
CID100002818	D00283
CID116129617	D00284
CID100358641	D00285
CID100002907	D00287
CID105281007	D00288
CID100002949	D00289
CID151601240	D00290
CID100027991	D00291
CID100003003	D00292
CID100003016	D00293
CID100003019	D00294
CID100002756	D00295
CID100003043	D00296
CID100003062	D00298
CID100003100	D00300
CID100003108	D00302
CID100003114	D00303
CID100003121	D00304
CID100002978	D00306
CID125880656	D00307
CID100003168	D00308
CID100003261	D00311
CID100000699	D00312
CID100003278	D00313
CID100003305	D00314
CID100003308	D00315
CID100003324	D00317
CID100003325	D00318
CID100003333	D00319
CID100003345	D00320
CID100003350	D00321
CID100003365	D00322
CID100003366	D00323
CID100003379	D00324
CID100003382	D00325
CID100003386	D00326
CID100003387	D00327
CID100003392	D00328
CID100003393	D00329
CID100003394	D00330
CID100003440	D00331
CID100003446	D00332
CID100003454	D00333
CID100003463	D00334
CID100003478	D00335
CID100003488	D00336
CID100003516	D00337
CID100003639	D00340
CID100003657	D00341
CID100003687	D00342
CID100003690	D00343
CID100003702	D00345
CID100003767	D00346
CID100012597	D00347
CID100005538	D00348
CID100003784	D00349
CID100003793	D00350
CID100003823	D00351
CID100003872	D00352
CID100003877	D00353
CID100003878	D00354
CID100003883	D00355
CID100003890	D00356
CID100003961	D00357
CID100003676	D00358
CID100003962	D00359
CID100000727	D00360
CID100003937	D00362
CID100003950	D00363
CID100003957	D00364
CID100003958	D00365
CID100004030	D00368
CID100004053	D00369
CID100005391	D00370
CID100002153	D00371
CID100005430	D00372
CID100005452	D00373
CID100005454	D00374
CID100004060	D00375
CID100004064	D00376
CID100004075	D00377
CID100005478	D00378
CID100005503	D00379
CID100005505	D00380
CID100041781	D00382
CID100005525	D00383
CID100005544	D00385
CID100005546	D00386
CID100005556	D00387
CID100006256	D00391
CID100005576	D00392
CID100004101	D00393
CID100005584	D00394
CID100005591	D00395
CID100006503	D00396
CID100005593	D00397
CID100005647	D00398
CID100003121	D00399
CID100005650	D00400
CID101349907	D00401
CID100004107	D00402
CID100003916	D00403
CID100006476	D00404
CID100004138	D00405
CID100000191	D00406
CID100004159	D00407
CID100004160	D00408
CID100004173	D00409
CID100004174	D00410
CID100005717	D00411
CID100005718	D00412
CID100005726	D00413
CID100060490	D00414
CID100005731	D00415
CID100004189	D00416
CID100004197	D00417
CID100004201	D00418
CID100042955	D00419
CID100004211	D00420
CID100005038	D00421
CID100005039	D00422
CID100005064	D00423
CID105361912	D00424
CID100004409	D00425
CID100005073	D00426
CID100005076	D00427
CID100005161	D00428
CID100060787	D00429
CID100005193	D00430
CID100004170	D00431
