DAP000541	DB00001
DNC000788	DB00002
DAP000981	DB00003
DAP001098	DB00004
DNC000605	DB00005
DAP000542	DB00006
DAP000020	DB00007
DAP001278	DB00008
DAP000203	DB00009
DAP001055	DB00010
DAP001280	DB00011
DAP000800	DB00012
DAP001194	DB00013
DAP000023	DB00014
DAP001195	DB00015
DAP000202	DB00016
DAP001302	DB00017
DAP001281	DB00018
DAP000395	DB00019
DAP001053	DB00020
DAP001279	DB00022
DAP001248	DB00024
DAP000095	DB00026
DAP001327	DB00027
DAP001197	DB00029
DAP000802	DB00030
DAP000204	DB00031
DAP001027	DB00032
DAP001286	DB00033
DAP000801	DB00034
DNC000526	DB00035
DAP001287	DB00038
DAP001026	DB00039
DAP001037	DB00040
DAP001099	DB00041
DAP001272	DB00042
DAP000387	DB00043
DAP001103	DB00044
DAP001334	DB00045
DNC000800	DB00046
DAP001088	DB00047
DAP000965	DB00048
DAP000096	DB00050
DAP000392	DB00051
DAP001054	DB00052
DAP000473	DB00054
DAP000151	DB00055
DAP000390	DB00056
DAP001299	DB00057
DAP001102	DB00058
DAP001282	DB00060
DAP000285	DB00063
DAP000107	DB00065
DAP001028	DB00066
DAP000018	DB00067
DAP001283	DB00068
DAP001284	DB00069
DAP001089	DB00071
DAP000391	DB00072
DAP000382	DB00073
DAP000388	DB00074
DAP001301	DB00075
DAP000383	DB00078
DAP001328	DB00080
DAP000384	DB00081
DAP000286	DB00082
DAP001298	DB00083
DAP001198	DB00086
DAP000385	DB00087
DAP001049	DB00089
DNC001177	DB00091
DAP000540	DB00092
DAP000217	DB00093
DAP001029	DB00094
DAP001095	DB00095
DAP001030	DB00097
DAP001300	DB00098
DAP000113	DB00099
DAP000964	DB00100
DAP000028	DB00102
DAP000397	DB00104
DAP001285	DB00105
DAP000094	DB00106
DAP001156	DB00107
DAP001094	DB00108
DAP000157	DB00109
DAP000386	DB00110
DAP000389	DB00111
DAP000393	DB00112
DAP001303	DB00113
DNC001499	DB00114
DAP001308	DB00116
DAP000543	DB00119
DAP000807	DB00120
DNC000259	DB00126
DAP001319	DB00131
DAP000808	DB00135
DAP000289	DB00136
DAP000545	DB00139
DAP000872	DB00141
DAP000015	DB00142
DAP000288	DB00145
DAP000290	DB00146
DAP001316	DB00150
DAP000870	DB00152
DAP000291	DB00153
DAP000806	DB00154
DAP001291	DB00157
DAP001309	DB00158
DAP000969	DB00159
DAP000805	DB00160
DNC001498	DB00162
DAP000869	DB00165
DAP001273	DB00169
DNC001501	DB00170
DNC000262	DB00171
DAP000198	DB00172
DAP000982	DB00173
DAP000550	DB00175
DNC000897	DB00176
DAP000363	DB00177
DAP000581	DB00178
DNC001037	DB00179
DAP001046	DB00180
DAP000257	DB00181
DAP001146	DB00182
DNC001170	DB00183
DAP000175	DB00184
DAP000075	DB00185
DAP000237	DB00186
DAP000304	DB00187
DAP001318	DB00188
DAP000163	DB00189
DAP000592	DB00190
DAP000719	DB00191
DAP000503	DB00192
DAP000140	DB00193
DAP000642	DB00194
DAP000305	DB00195
DAP000628	DB00196
DAP001337	DB00197
DAP000714	DB00198
DAP000111	DB00199
DAP001336	DB00200
DAP000099	DB00201
DAP001132	DB00202
DAP000614	DB00203
DAP000495	DB00204
DAP000633	DB00205
DAP000755	DB00206
DNC001539	DB00207
DAP000723	DB00208
DAP000342	DB00209
DAP000115	DB00210
DAP000229	DB00211
DAP001220	DB00212
DAP000724	DB00213
DAP000745	DB00214
DAP000118	DB00215
DAP000008	DB00216
DAP000047	DB00217
DAP000158	DB00218
DAP001124	DB00219
DAP000705	DB00220
DAP000935	DB00221
DAP000132	DB00222
DAP001184	DB00223
DAP000168	DB00224
DAP000059	DB00226
DAP000551	DB00227
DAP000799	DB00228
DAP001177	DB00229
DAP001264	DB00230
DAP000238	DB00231
DAP000746	DB00232
DAP000720	DB00234
DAP000150	DB00235
DAP000988	DB00236
DAP000667	DB00237
DAP000184	DB00238
DAP001204	DB00239
DAP000415	DB00240
DAP000668	DB00241
DAP000565	DB00242
DAP000875	DB00243
DAP000729	DB00244
DAP001460	DB00245
DAP000079	DB00246
DAP000366	DB00247
DAP000251	DB00248
DAP000997	DB00249
DAP000637	DB00250
DAP000629	DB00251
DAP000130	DB00252
DAP001048	DB00253
DAP001371	DB00254
DAP001011	DB00255
DAP000881	DB00256
DAP000138	DB00257
DNC001391	DB00259
DAP001468	DB00260
DAP000612	DB00261
DAP000041	DB00262
DAP001203	DB00263
DAP000481	DB00264
DAP000768	DB00266
DAP001178	DB00267
DAP001515	DB00268
DAP001012	DB00269
DAP000134	DB00270
DAP001081	DB00272
DAP000137	DB00273
DAP001179	DB00274
DAP001412	DB00275
DAP000046	DB00276
DAP000002	DB00277
DAP000758	DB00278
DAP000082	DB00279
DAP000504	DB00280
DAP000121	DB00281
DAP001416	DB00282
DAP000322	DB00283
DCL000309	DB00284
DAP000054	DB00285
DNC001150	DB00286
DAP000274	DB00287
DAP001044	DB00288
DAP000721	DB00289
DAP000531	DB00290
DNC001110	DB00291
DAP000669	DB00292
DAP000759	DB00293
DAP000855	DB00294
DAP000071	DB00295
DAP001230	DB00296
DAP001229	DB00297
DAP000298	DB00298
DAP000488	DB00299
DAP001430	DB00300
DAP001163	DB00301
DAP000199	DB00302
DAP000431	DB00303
DAP001209	DB00304
DAP001402	DB00305
DAP000670	DB00306
DAP000276	DB00307
DAP000279	DB00308
DAP000949	DB00309
DAP000521	DB00310
DAP000598	DB00311
DAP000671	DB00312
DNC001659	DB00313
DAP000892	DB00314
DAP000077	DB00315
DAP001436	DB00316
DAP000657	DB00317
DAP000213	DB00318
DAP001164	DB00319
DAP000078	DB00320
DNC001466	DB00321
DAP001245	DB00322
DAP000607	DB00323
DAP001047	DB00324
DNC001351	DB00325
DAP000472	DB00327
DAP000617	DB00328
DAP000055	DB00330
DAP000205	DB00331
DNC000806	DB00332
DAP000267	DB00333
DAP000022	DB00334
DAP000482	DB00335
DAP000594	DB00337
DAP000180	DB00338
DAP000660	DB00339
DAP000346	DB00340
DAP000323	DB00341
DAP000102	DB00342
DAP001262	DB00343
DAP000863	DB00344
DCL000664	DB00346
DAP001265	DB00347
DAP000774	DB00348
DAP000672	DB00349
DAP000143	DB00350
DAP000861	DB00351
DAP000194	DB00352
DAP000978	DB00353
DAP001076	DB00354
DAP000117	DB00355
DAP000952	DB00356
DAP000842	DB00357
DAP001310	DB00358
DAP001238	DB00359
DNC000425	DB00360
DAP000765	DB00361
DAP000546	DB00362
DAP000029	DB00363
DAP001005	DB00365
DAP000859	DB00366
DAP001207	DB00367
DNC001034	DB00368
DAP001083	DB00369
DAP000010	DB00370
DAP001507	DB00371
DAP000315	DB00372
DAP000088	DB00373
DAP001214	DB00374
DAP001532	DB00376
DAP000367	DB00377
DAP001205	DB00378
DAP000505	DB00379
DAP000649	DB00380
DAP000139	DB00381
