P31946	CHEMBL3710403
P62258	CHEMBL3329082
Q04917	CHEMBL3708585
P61981	CHEMBL1293296
P31947	CHEMBL1909482
P27348	CHEMBL3710408
P63104	CHEMBL4105899
Q15172	CHEMBL4763
P63151	CHEMBL4284
P14060	CHEMBL1958
P26439	CHEMBL3670
P46952	CHEMBL3108657
P29372	CHEMBL3396943
Q13541	CHEMBL3351214
P08908	CHEMBL214
P28222	CHEMBL1898
P28221	CHEMBL1983
P28566	CHEMBL2182
P30939	CHEMBL1805
P28223	CHEMBL224
P41595	CHEMBL1833
P28335	CHEMBL225
P46098	CHEMBL1899
O95264	CHEMBL2111332
Q8WXA8	CHEMBL2094132
Q70Z44	CHEMBL2094132
A5X5Y0	CHEMBL2094132
Q13639	CHEMBL1875
P47898	CHEMBL3426
P50406	CHEMBL3371
P34969	CHEMBL3155
P49902	CHEMBL3708197
P21589	CHEMBL5957
P52209	CHEMBL3404
P36639	CHEMBL3708265
P02763	CHEMBL4285
P19652	CHEMBL5958
P05067	CHEMBL2487
P30542	CHEMBL226
P29274	CHEMBL251
P29275	CHEMBL255
P0DMS8	CHEMBL256
P22760	CHEMBL3509584
Q15758	CHEMBL3562162
P01011	CHEMBL5960
Q8N5Z0	CHEMBL2046259
Q2M2I8	CHEMBL3830
Q9Y478	CHEMBL3847
O43741	CHEMBL2117
P54619	CHEMBL2393
Q9UGJ0	CHEMBL2453
Q9UGI9	CHEMBL3038452;CHEMBL3038457;CHEMBL4106159;CHEMBL4106162
Q13131	CHEMBL4045
P54646	CHEMBL2116
P17174	CHEMBL2189139
Q5VST6	CHEMBL2189132
P31941	CHEMBL1741179
Q8IUX4	CHEMBL2007626
Q9HC16	CHEMBL1741217
O95477	CHEMBL2362986
Q2M3G0	CHEMBL1772928
Q9NP58	CHEMBL2007630
Q9NP78	CHEMBL1293189
O95342	CHEMBL6020
Q09428	CHEMBL2071
O60706	CHEMBL1971
Q96J66	CHEMBL2073702
Q9UNQ0	CHEMBL5393
Q8N2K0	CHEMBL5516
Q9BV23	CHEMBL2189127
Q8NFV4	CHEMBL2189134
O95870	CHEMBL6168
P00519	CHEMBL1862
P42684	CHEMBL4014
Q13085	CHEMBL3351
O00763	CHEMBL4829
P49748	CHEMBL4105892
O00400	CHEMBL3638338
Q6JQN1	CHEMBL4105816
Q709F0	CHEMBL4105707
Q9BYF1	CHEMBL3736
Q8TDN7	CHEMBL3351194
Q5QJU3	CHEMBL2331067
P22303	CHEMBL220
P12821	CHEMBL1808
