P31946	DIP-743N
P62258	DIP-36676N
Q04917	DIP-27566N
P61981	DIP-33406N
P31947	DIP-29861N
P27348	DIP-27584N
P63104	DIP-563N
Q15172	DIP-459N
Q14738	DIP-29961N
Q13362	DIP-39401N
P30153	DIP-29394N
P30154	DIP-36616N
P63151	DIP-29398N
P11171	DIP-17032N
Q13541	DIP-30944N
Q13542	DIP-36572N
P28223	DIP-41844N
P21589	DIP-59992N
Q676U5	DIP-27552N;DIP-50290N
P01009	DIP-35493N
P02750	DIP-60317N
P01023	DIP-1118N
P05067	DIP-574N
Q9Y478	DIP-39736N
O43741	DIP-39763N
P54619	DIP-39974N
Q13131	DIP-39973N
P54646	DIP-39796N
P31941	DIP-61365N
Q9NRW3	DIP-48919N
Q8IUX4	DIP-59966N
Q9HC16	DIP-37519N
O95477	DIP-29211N
Q4W5N1	DIP-62121N
Q09428	DIP-58642N
Q8NE71	DIP-50666N
Q9UNQ0	DIP-29162N
Q9H222	DIP-42630N
Q9H221	DIP-42631N
Q9Y235	DIP-60263N
Q9NUJ1	DIP-56934N
Q8IZP0	DIP-31118N
Q9NYB9	DIP-37566N
P00519	DIP-1042N
P42684	DIP-91N
Q6UWZ7	DIP-29615N
Q13085	DIP-36122N
O00763	DIP-51617N
Q9H845	DIP-53699N
P11310	DIP-34281N
Q96AP0	DIP-29611N
Q9BYF1	DIP-44689N
P22303	DIP-1119N
Q9UGM1	DIP-61053N
Q9UKV3	DIP-32963N
Q07912	DIP-33858N
Q16570	DIP-3783N
Q9NPB9	DIP-5918N
O96019	DIP-27565N
P08172	DIP-56282N
P20309	DIP-44291N
P08173	DIP-61455N
O14734	DIP-38179N
Q9NUB1	DIP-61208N
P60709	DIP-29686N
Q01718	DIP-29949N
P12814	DIP-33184N
P35609	DIP-383N
O43707	DIP-33179N
P36896	DIP-427N
P37023	DIP-5938N
Q04771	DIP-212N
P45381	DIP-60793N
P14621	DIP-48449N
O14672	DIP-39889N
P78536	DIP-31044N
P35348	DIP-33401N
P35368	DIP-33399N
P08913	DIP-61452N
P18089	DIP-61453N
O75689	DIP-41731N
P00813	DIP-371N
Q08462	DIP-422N
Q9H2P0	DIP-47288N
P08588	DIP-36294N
P07550	DIP-33948N
P13945	DIP-61451N
Q16186	DIP-42668N
P12235	DIP-33116N
P05141	DIP-33873N
Q6ZN18	DIP-58581N
P55197	DIP-37633N
P42568	DIP-56409N
P51825	DIP-56407N
P52594	DIP-35546N
Q9UL18	DIP-29193N
Q9UKV8	DIP-29194N
Q9H9G7	DIP-54486N
O95994	DIP-48825N
O14514	DIP-40884N
O60242	DIP-56121N
Q9HAR2	DIP-56228N
P35869	DIP-946N
Q9NZD4	DIP-35198N
Q9GZX7	DIP-48519N
O95831	DIP-32975N
O14862	DIP-59741N
Q13155	DIP-34421N
O00170	DIP-34068N
O43918	DIP-47504N
O43572	DIP-48753N
P24588	DIP-186N
O43823	DIP-38194N
Q99996	DIP-29942N
Q12802	DIP-180N
Q9ULX6	DIP-27541N
P31749	DIP-24269N
P31751	DIP-32583N
Q9Y243	DIP-32584N
P02768	DIP-29902N
P05091	DIP-40262N
Q9UM73	DIP-5954N
Q9UKV5	DIP-29060N
Q8IY63	DIP-50682N
Q9Y2J4	DIP-57510N
Q4VCS5	DIP-53711N
P49418	DIP-40729N
Q9C0C7	DIP-53597N
P30533	DIP-39355N
Q9UJX6	DIP-32957N
Q96K21	DIP-60854N
P10275	DIP-125N
Q9P2R3	DIP-46068N
Q9UKU9	DIP-59886N
Q86XS5	DIP-59887N
O15123	DIP-6048N
P01019	DIP-309N
Q01484	DIP-37425N
Q12955	DIP-49017N
Q8IWZ3	DIP-36371N
Q9Y2G4	DIP-39375N
Q99873	DIP-30878N
O14744	DIP-33172N
P16066	DIP-46246N
O75179	DIP-47290N
Q96NW4	DIP-57614N
O15084	DIP-27583N
Q8WVL7	DIP-61280N
Q9ULJ7	DIP-47302N
Q7Z6G8	DIP-41406N
P01008	DIP-38009N
P58335	DIP-32476N
P04083	DIP-32875N
Q06278	DIP-61698N
Q10567	DIP-24207N
O75843	DIP-31185N
O95782	DIP-33164N
P63010	DIP-33098N
O00203	DIP-24208N
O14617	DIP-46793N
Q9Y6B7	DIP-24209N
Q2VPB7	DIP-60181N
Q9H0R1	DIP-60180N
Q9NUS5	DIP-60182N
O14727	DIP-27624N
O00213	DIP-30903N
Q9UM13	DIP-39885N
Q9NYG5	DIP-52741N
Q9BS18	DIP-56455N
P60006	DIP-61021N
Q96DE5	DIP-56449N
Q9H1A4	DIP-32940N
Q9UJX5	DIP-56450N
Q9UJX4	DIP-32945N
Q9UJX3	DIP-39765N
Q8J025	DIP-56190N
P25054	DIP-33556N
P27695	DIP-6130N
Q96BI3	DIP-44671N
Q8IW19	DIP-39136N
P51693	DIP-30846N
Q06481	DIP-31047N
P02647	DIP-29619N
P06727	DIP-38333N
P04114	DIP-44767N
P02649	DIP-1120N
P02749	DIP-46878N
P29972	DIP-29607N
P55087	DIP-48842N
P55064	DIP-46292N
O60306	DIP-53576N
Q9Y2Y0	DIP-48323N
P10398	DIP-31374N
P25098	DIP-42429N
Q92747	DIP-33142N
O15143	DIP-41254N
Q8IWT0	DIP-61031N
Q7LC44	DIP-60107N
P15514	DIP-5766N
P84077	DIP-31597N
P18085	DIP-38214N
P84085	DIP-61289N
P62330	DIP-33352N
Q8N726	DIP-24171N
Q9NR80	DIP-40814N
Q15052	DIP-42694N
Q14155	DIP-40794N
O15085	DIP-31622N
Q9NZN5	DIP-37887N
O14497	DIP-33016N
Q9Y4X5	DIP-53626N
P29374	DIP-463N
Q68CP9	DIP-33391N
Q9Y4B4	DIP-47284N
P36404	DIP-47535N
P36405	DIP-47537N
Q9H0F7	DIP-61535N
P27540	DIP-30886N
P61160	DIP-33165N
P61158	DIP-33140N
Q9BPX5	DIP-50399N
Q9H9F9	DIP-34297N
O15144	DIP-33197N
O15145	DIP-33187N
P59998	DIP-33188N
O15511	DIP-33144N
Q7Z6K5	DIP-60587N
P49407	DIP-29979N
P32121	DIP-40089N
Q5T4W7	DIP-29113N
Q9H672	DIP-43701N
Q96DX5	DIP-52905N
Q9ULZ3	DIP-27618N
Q9Y294	DIP-29241N
Q9NVP2	DIP-29242N
Q9UBL3	DIP-29222N
Q13625	DIP-426N
P00966	DIP-34055N
Q8IXJ9	DIP-46910N
P05023	DIP-38196N
P54709	DIP-50717N
Q9UN42	DIP-60961N
P16615	DIP-33868N
P23634	DIP-6128N
Q6PL18	DIP-46197N
Q96QE3	DIP-62118N
Q9NVI7	DIP-33194N
P18846	DIP-652N
P15336	DIP-632N
P18847	DIP-344N
P18848	DIP-354N
P18850	DIP-29304N
O94817	DIP-46466N
O75143	DIP-60540N
Q9NT62	DIP-35052N
Q9H1Y0	DIP-29758N
