P31946	ENSG00000166913
P62258	ENSG00000108953;ENSG00000274474
Q04917	ENSG00000128245
P61981	ENSG00000170027
P31947	ENSG00000175793
P27348	ENSG00000134308
P63104	ENSG00000164924
Q96QU6	ENSG00000110455
Q4AC99	ENSG00000205126
Q15172	ENSG00000066027
Q15173	ENSG00000068971
Q14738	ENSG00000112640
Q16537	ENSG00000154001
Q13362	ENSG00000078304
P30153	ENSG00000105568
P30154	ENSG00000137713
P63151	ENSG00000221914
Q00005	ENSG00000156475
Q66LE6	ENSG00000175470
Q9Y2T4	ENSG00000074211
P14060	ENSG00000203857
P26439	ENSG00000203859
Q9H2F3	ENSG00000099377
Q9Y3L3	ENSG00000100092
P78314	ENSG00000087266
Q7L8J4	ENSG00000175137
O60239	ENSG00000131370
P46952	ENSG00000162882
P31937	ENSG00000106049
P29372	ENSG00000103152
P11171	ENSG00000159023
O60516	ENSG00000243056
Q9NRA8	ENSG00000184708
P08195	ENSG00000168003
P08908	ENSG00000178394
P28222	ENSG00000135312
P28221	ENSG00000179546
P28566	ENSG00000168830
P30939	ENSG00000179097
P28223	ENSG00000102468
P41595	ENSG00000135914
P28335	ENSG00000147246
P46098	ENSG00000166736
O95264	ENSG00000149305
Q8WXA8	ENSG00000178084
Q70Z44	ENSG00000186090
A5X5Y0	ENSG00000186038
Q13639	ENSG00000164270
P47898	ENSG00000157219
P50406	ENSG00000158748
P34969	ENSG00000148680
Q9BXI3	ENSG00000116981
Q96P26	ENSG00000185013
Q9H0P0	ENSG00000122643
Q969T7	ENSG00000141698
P49902	ENSG00000076685
P21589	ENSG00000135318
P52209	ENSG00000142657
O95336	ENSG00000130313
P05408	ENSG00000166922;ENSG00000277614;ENSG00000281931
P36639	ENSG00000106268
P0DKL9	ENSG00000268223
Q8IZ83	ENSG00000161618
Q676U5	ENSG00000085978;ENSG00000281089
Q8NAA4	ENSG00000168010
P02763	ENSG00000229314
P19652	ENSG00000228278
P01009	ENSG00000197249
P04217	ENSG00000121410
Q9NQ94	ENSG00000148584
Q5TYW2	ENSG00000260691
Q5SQ80	ENSG00000183148
Q5VUR7	ENSG00000276203
Q4UJ75	ENSG00000172014
P08697	ENSG00000167711;ENSG00000276838
P02750	ENSG00000171236
P01023	ENSG00000175899
A8K2U0	ENSG00000166535
