P31946	YWHAB
P62258	YWHAE
Q04917	YWHAH
P61981	YWHAG
P31947	SFN
P27348	YWHAQ
P63104	YWHAZ
Q96QU6	ACCS
Q4AC99	ACCSL
Q15172	PPP2R5A
Q15173	PPP2R5B
Q14738	PPP2R5D
Q16537	PPP2R5E
Q13362	PPP2R5C
P30153	PPP2R1A
P30154	PPP2R1B
P63151	PPP2R2A
Q00005	PPP2R2B
Q66LE6	PPP2R2D
Q9Y2T4	PPP2R2C
P14060	HSD3B1
P26439	HSD3B2
Q9H2F3	HSD3B7
Q9Y3L3	SH3BP1
P78314	SH3BP2
Q7L8J4	SH3BP5L
O60239	SH3BP5
P46952	HAAO
P31937	HIBADH
P29372	MPG
P11171	EPB41
Q13541	EIF4EBP1
Q13542	EIF4EBP2
O60516	EIF4EBP3
Q9NRA8	EIF4ENIF1
P08195	SLC3A2
P08908	HTR1A
P28222	HTR1B
P28221	HTR1D
P28566	HTR1E
P30939	HTR1F
P28223	HTR2A
P41595	HTR2B
P28335	HTR2C
P46098	HTR3A
O95264	HTR3B
Q8WXA8	HTR3C
Q70Z44	HTR3D
A5X5Y0	HTR3E
Q13639	HTR4
P47898	HTR5A
P50406	HTR6
P34969	HTR7
Q9BXI3	NT5C1A
Q96P26	NT5C1B
Q9H0P0	NT5C3A
Q969T7	NT5C3B
P49902	NT5C2
P21589	NT5E
P52209	PGD
O95336	PGLS
P05408	SCG5
P36639	NUDT1
P0DKL9	ARL14EPL
Q8IZ83	ALDH16A1
Q676U5	ATG16L1
Q8NAA4	ATG16L2
P02763	ORM1
P19652	ORM2
P20848	SERPINA2
P01009	SERPINA1
P04217	A1BG
Q9NQ94	A1CF
Q8NF67	ANKRD20A12P
Q5TYW2	ANKRD20A1
Q5SQ80	ANKRD20A2
Q5VUR7	ANKRD20A3
Q4UJ75	ANKRD20A4
A0PJZ0	ANKRD20A5P
Q96IX9	ANKRD36BP1
P08697	SERPINF2
P02750	LRG1
P01023	A2M
A8K2U0	A2ML1
A7E2S9	ANKRD30BL
U3KPV4	A3GALT2
Q5T5F5	ADAMTSL4-AS1
Q9NPC4	A4GALT
Q9UNA3	A4GNT
P05067	APP
Q96GX2	ATXN7L3B
P30542	ADORA1
P29274	ADORA2A
P29275	ADORA2B
P0DMS8	ADORA3
Q9NS82	SLC7A10
P22760	AADAC
Q9NRG9	AAAS
Q15758	SLC1A5
Q86V21	AACS
P01011	SERPINA3
Q8N5Z0	AADAT
Q6PD74	AAGAB
Q2M2I8	AAK1
Q9Y478	PRKAB1
O43741	PRKAB2
