P31946	HGNC:12849
P62258	HGNC:12851
Q04917	HGNC:12853
P61981	HGNC:12852
P31947	HGNC:10773
P27348	HGNC:12854
P63104	HGNC:12855
Q96QU6	HGNC:23989
Q4AC99	HGNC:34391
Q15172	HGNC:9309
Q15173	HGNC:9310
Q14738	HGNC:9312
Q16537	HGNC:9313
Q13362	HGNC:9311
P30153	HGNC:9302
P30154	HGNC:9303
P63151	HGNC:9304
Q00005	HGNC:9305
Q66LE6	HGNC:23732
Q9Y2T4	HGNC:9306
P14060	HGNC:5217
P26439	HGNC:5218
Q9H2F3	HGNC:18324
Q9Y3L3	HGNC:10824
P78314	HGNC:10825
Q7L8J4	HGNC:29360
O60239	HGNC:10827
P46952	HGNC:4796
P31937	HGNC:4907
P29372	HGNC:7211
P11171	HGNC:3377
Q13541	HGNC:3288
Q13542	HGNC:3289
O60516	HGNC:3290
Q9NRA8	HGNC:16687
P08195	HGNC:11026
P08908	HGNC:5286
P28222	HGNC:5287
P28221	HGNC:5289
P28566	HGNC:5291
P30939	HGNC:5292
P28223	HGNC:5293
P41595	HGNC:5294
P28335	HGNC:5295
P46098	HGNC:5297
O95264	HGNC:5298
Q8WXA8	HGNC:24003
Q70Z44	HGNC:24004
A5X5Y0	HGNC:24005
Q13639	HGNC:5299
P47898	HGNC:5300
P50406	HGNC:5301
P34969	HGNC:5302
Q9BXI3	HGNC:17819
Q96P26	HGNC:17818
Q9H0P0	HGNC:17820
Q969T7	HGNC:28300
P49902	HGNC:8022
P21589	HGNC:8021
P52209	HGNC:8891
O95336	HGNC:8903
P05408	HGNC:10816
P36639	HGNC:8048
P0DKL9	HGNC:44201
Q8IZ83	HGNC:28114
Q676U5	HGNC:21498
Q8NAA4	HGNC:25464
P02763	HGNC:8498
P19652	HGNC:8499
P20848	HGNC:8985
P01009	HGNC:8941
P04217	HGNC:5
Q9NQ94	HGNC:24086
Q8NF67	HGNC:43603
Q5TYW2	HGNC:23665
Q5SQ80	HGNC:31979
Q5VUR7	HGNC:31981
Q4UJ75	HGNC:31982
A0PJZ0	HGNC:33833
Q96IX9	HGNC:28169
P08697	HGNC:9075
P02750	HGNC:29480
P01023	HGNC:7
A8K2U0	HGNC:23336
A7E2S9	HGNC:35167
U3KPV4	HGNC:30005
Q5T5F5	HGNC:32041
Q9NPC4	HGNC:18149
Q9UNA3	HGNC:17968
P05067	HGNC:620
Q96GX2	HGNC:37931
P30542	HGNC:262
P29274	HGNC:263
P29275	HGNC:264
P0DMS8	HGNC:268
Q9NS82	HGNC:11058
P22760	HGNC:17
Q9NRG9	HGNC:13666
Q15758	HGNC:10943
Q86V21	HGNC:21298
P01011	HGNC:16
Q8N5Z0	HGNC:17929
Q6PD74	HGNC:25662
Q2M2I8	HGNC:19679
Q9Y478	HGNC:9378
O43741	HGNC:9379
P54619	HGNC:9385
Q9UGJ0	HGNC:9386
Q9UGI9	HGNC:9387
Q9H7C9	HGNC:30205
Q13685	HGNC:18
Q13131	HGNC:9376
P54646	HGNC:9377
Q9Y312	HGNC:15886
Q4LEZ3	HGNC:33842
P86434	HGNC:37122
Q9BTE6	HGNC:28417;HGNC:43946
Q9UDR5	HGNC:17366
Q8NHS2	HGNC:28487
P17174	HGNC:4432
Q9NY61	HGNC:19235
P00505	HGNC:4433
Q7Z5M8	HGNC:19837
Q96GS6	HGNC:28756
Q5VST6	HGNC:24278
Q6PCB6	HGNC:26925
Q7Z5R6	HGNC:17379
P31941	HGNC:17343
Q9UH17	HGNC:17352
Q9NRW3	HGNC:17353
Q96AK3	HGNC:17354
Q8IUX4	HGNC:17356
Q9HC16	HGNC:17357
Q6NTF7	HGNC:24100
