P31946	CAB003759;HPA007925;HPA011212;HPA061603
P62258	CAB016200;CAB021109;CAB047350;HPA008445;HPA061603
Q04917	CAB025918;HPA061603
P61981	CAB013274;CAB018389;HPA026918;HPA061603
P31947	CAB006268;CAB040552;HPA011105;HPA061603
P27348	CAB010286;HPA007925;HPA061603
P63104	CAB005065;HPA061603
Q96QU6	HPA018873;HPA021654
Q15172	HPA059288
Q15173	HPA036607
Q14738	HPA029045;HPA029046
Q16537	CAB072342;HPA006034
Q13362	HPA027553
P30153	CAB018599
P30154	CAB004034;HPA018908
P63151	CAB079289;HPA042122;HPA042770
Q00005	HPA038118;HPA042122;HPA042770
Q66LE6	HPA042122;HPA042770
Q9Y2T4	HPA042122;HPA042770;HPA060473
P14060	HPA043261;HPA043264;HPA044028
P26439	HPA043261;HPA043264;HPA044028
Q9H2F3	HPA050521;HPA060847
Q9Y3L3	HPA000757
P78314	HPA036790
Q7L8J4	HPA038067;HPA038068
O60239	HPA036445;HPA057988
P46952	HPA036394;HPA042024
P31937	HPA019522;HPA021002
P29372	HPA006531
P11171	HPA028076;HPA028096;HPA028412;HPA028414
Q13541	CAB005032;CAB005039;HPA023501
Q13542	CAB019415;HPA037410;HPA061665
O60516	HPA045537
Q9NRA8	HPA001619;HPA002078
P08195	CAB010455;HPA017980
P08908	HPA018073
P28222	HPA028808
P28566	HPA004931
P30939	HPA005555
P28223	HPA014011
P41595	HPA012867;HPA063658
P46098	HPA069442
O95264	HPA039559
A5X5Y0	HPA049764
Q13639	HPA040591
P47898	CAB017467
P50406	HPA068165
P34969	CAB022708;HPA073617
Q9BXI3	HPA050283;HPA054158
Q96P26	HPA056683
Q9H0P0	HPA010630;HPA029058
Q969T7	HPA030786;HPA057095
P49902	HPA003751
P21589	HPA017357
P52209	HPA031314;HPA031315
O95336	HPA040744;HPA042032
P05408	HPA013136;HPA074618
P36639	HPA012636
Q8IZ83	HPA059488
Q676U5	HPA012577;HPA063900
Q8NAA4	HPA045444;HPA050312
P02763	CAB006265;HPA046438;HPA047725;HPA057726
P19652	HPA046438;HPA047725;HPA057726
P01009	CAB013211;CAB016648;CAB073396;HPA000927;HPA001292
P04217	CAB016673;HPA044252
Q9NQ94	HPA037779;HPA044079
Q5TYW2	HPA043239;HPA047112;HPA047167;HPA047766;HPA051753
Q5SQ80	HPA043239;HPA047112;HPA047167;HPA047766;HPA051753
Q5VUR7	HPA043239;HPA047112;HPA047167;HPA047766;HPA051753
Q4UJ75	HPA043239;HPA047112;HPA047167;HPA047766;HPA051753
P08697	CAB024863;HPA001885
P02750	HPA001888;HPA001889
P01023	CAB017621;HPA002265
A8K2U0	HPA038847;HPA038848
Q9NPC4	HPA001141
Q9UNA3	HPA008017
P05067	CAB000157;HPA001462
Q96GX2	HPA056612
