P31946	hsa:7529
P62258	hsa:7531
Q04917	hsa:7533
P61981	hsa:7532
P31947	hsa:2810
P27348	hsa:10971
P63104	hsa:7534
Q96QU6	hsa:84680
Q4AC99	hsa:390110
Q15172	hsa:5525
Q15173	hsa:5526
Q14738	hsa:5528
Q16537	hsa:5529
Q13362	hsa:5527
P30153	hsa:5518
P30154	hsa:5519
P63151	hsa:5520
Q00005	hsa:5521
Q66LE6	hsa:55844
Q9Y2T4	hsa:5522
P14060	hsa:3283
P26439	hsa:3284
Q9H2F3	hsa:80270
Q9Y3L3	hsa:23616
P78314	hsa:6452
Q7L8J4	hsa:80851
O60239	hsa:9467
P46952	hsa:23498
P31937	hsa:11112
P29372	hsa:4350
P11171	hsa:2035
Q13541	hsa:1978
Q13542	hsa:1979
O60516	hsa:8637
Q9NRA8	hsa:56478
P08195	hsa:6520
P08908	hsa:3350
P28222	hsa:3351
P28221	hsa:3352
P28566	hsa:3354
P30939	hsa:3355
P28223	hsa:3356
P41595	hsa:3357
P28335	hsa:3358
P46098	hsa:3359
O95264	hsa:9177
Q8WXA8	hsa:170572
Q70Z44	hsa:200909
A5X5Y0	hsa:285242
Q13639	hsa:3360
P47898	hsa:3361
P50406	hsa:3362
P34969	hsa:3363
Q9BXI3	hsa:84618
Q96P26	hsa:100526794;hsa:93034
Q9H0P0	hsa:51251
Q969T7	hsa:115024
P49902	hsa:22978
P21589	hsa:4907
P52209	hsa:5226
O95336	hsa:25796
P05408	hsa:6447
P36639	hsa:4521
P0DKL9	hsa:644100
Q8IZ83	hsa:126133
Q676U5	hsa:55054
Q8NAA4	hsa:89849
P02763	hsa:5004
P19652	hsa:5005
P01009	hsa:5265
P04217	hsa:1
Q9NQ94	hsa:29974
Q5TYW2	hsa:84210
Q5SQ80	hsa:441430
Q5VUR7	hsa:441425
Q4UJ75	hsa:728747
P08697	hsa:5345
P02750	hsa:116844
P01023	hsa:2
A8K2U0	hsa:144568
U3KPV4	hsa:127550
Q9NPC4	hsa:53947
Q9UNA3	hsa:51146
P05067	hsa:351
Q96GX2	hsa:552889
P30542	hsa:134
P29274	hsa:135
P29275	hsa:136
P0DMS8	hsa:140
Q9NS82	hsa:56301
P22760	hsa:13
Q9NRG9	hsa:8086
Q15758	hsa:6510
Q86V21	hsa:65985
P01011	hsa:12
Q8N5Z0	hsa:51166
Q6PD74	hsa:79719
Q2M2I8	hsa:22848
Q9Y478	hsa:5564
O43741	hsa:5565
P54619	hsa:5571
Q9UGJ0	hsa:51422
Q9UGI9	hsa:53632
Q9H7C9	hsa:28971
Q13685	hsa:14
Q13131	hsa:5562
P54646	hsa:5563
Q9Y312	hsa:25980
Q4LEZ3	hsa:441376
Q9BTE6	hsa:100885850;hsa:80755
Q9UDR5	hsa:10157
Q8NHS2	hsa:137362
P17174	hsa:2805
Q9NY61	hsa:26574
P00505	hsa:2806
Q7Z5M8	hsa:145447
Q96GS6	hsa:81926
Q5VST6	hsa:51104
Q6PCB6	hsa:58489
Q7Z5R6	hsa:54518
P31941	hsa:100913187;hsa:200315
Q9UH17	hsa:9582
Q9NRW3	hsa:27350
Q8IUX4	hsa:200316
Q9HC16	hsa:60489
Q6NTF7	hsa:164668
O95477	hsa:19
Q9BZC7	hsa:20
Q99758	hsa:21
P78363	hsa:24
Q8WWZ7	hsa:23461
Q8N139	hsa:23460
Q8IZY2	hsa:10347
O94911	hsa:10351
Q8IUA7	hsa:10350
Q8WWZ4	hsa:10349
Q86UK0	hsa:26154
Q86UQ4	hsa:154664
Q2M3G0	hsa:340273
Q9NP58	hsa:10058
O75027	hsa:22
Q9NP78	hsa:23457
Q9NRK6	hsa:23456
O95342	hsa:8647
Q09428	hsa:6833
O60706	hsa:10060
Q96J66	hsa:85320
P33897	hsa:215
Q9UBJ2	hsa:225
P28288	hsa:5825
O14678	hsa:5826
P61221	hsa:6059
Q8NE71	hsa:23
Q9UG63	hsa:10061;hsa:114483834
Q9NUQ8	hsa:55324
P45844	hsa:9619
Q9UNQ0	hsa:9429
Q9H172	hsa:64137
Q9H222	hsa:64240
Q9H221	hsa:64241
Q8N2K0	hsa:26090
P41238	hsa:339
Q9Y235	hsa:10930
Q8WW27	hsa:403314
Q6UXT9	hsa:116236
Q96SE0	hsa:84696
P08910	hsa:11057
Q8WU67	hsa:171586
Q8TB40	hsa:63874
Q8WTS1	hsa:51099
Q9BV23	hsa:57406
Q96I13	hsa:79575
Q9NUJ1	hsa:55347
Q8NFV4	hsa:83451
Q7L211	hsa:84945
Q9BUJ0	hsa:25864
Q96IU4	hsa:84836
O95870	hsa:7920
Q9H3Z7	hsa:140701
Q8IZP0	hsa:10006
Q9NYB9	hsa:10152
Q9P2A4	hsa:51225
Q9NX38	hsa:54942
P00519	hsa:25
P42684	hsa:27
O14639	hsa:3983
Q6H8Q1	hsa:84448
O94929	hsa:22885
Q9P1F3	hsa:58527
Q8N0Z2	hsa:137735
Q6UWZ7	hsa:84142
Q15018	hsa:23172
Q12979	hsa:29
Q9ULW3	hsa:29777
Q969K4	hsa:80325
Q8N961	hsa:25841
Q13085	hsa:31
O00763	hsa:32
Q9UKU7	hsa:27034
Q9H845	hsa:28976
P28330	hsa:33
P11310	hsa:34
P16219	hsa:35
P49748	hsa:37
Q15027	hsa:9744
Q15057	hsa:23527
Q96P50	hsa:116983
O00400	hsa:9197
