P31946	601289
P62258	605066
Q04917	113508
P61981	605356;617665
P31947	601290
P27348	609009
P63104	601288
Q96QU6	608405
Q15172	601643
Q15173	601644
Q14738	601646;616355
Q16537	601647
Q13362	601645
P30153	605983;616362
P30154	603113
P63151	604941
Q00005	604325;604326
Q66LE6	613992
Q9Y2T4	605997
P14060	109715
P26439	201810;613890
Q9H2F3	607764;607765
Q9Y3L3	617368
P78314	118400;602104
O60239	605612
P46952	604521;617660
P31937	608475
P29372	156565
P11171	130500;611804
Q13541	602223
Q13542	602224
O60516	603483
Q9NRA8	607445
P08195	158070
P08908	109760;614674
P28222	182131
P28221	182133
P28566	182132
P30939	182134
P28223	182135
P41595	601122
P28335	312861
P46098	182139
O95264	604654
Q8WXA8	610121
Q70Z44	610122
A5X5Y0	610123
Q13639	602164
P47898	601305
P50406	601109
P34969	182137
Q9BXI3	610525
Q96P26	610526
Q9H0P0	266120;606224
P49902	600417;613162
P21589	129190;211800
P52209	172200
O95336	604951
P05408	173120
P36639	600312
Q8IZ83	613358
Q676U5	610767;611081
P02763	138600
P19652	138610
P20848	107410
P01009	107400;613490
P04217	138670
Q9NQ94	618199
P08697	262850;613168
P02750	611289
P01023	103950
A8K2U0	166760;610627
Q9NPC4	111400;607922
P05067	104300;104760;605714
Q96GX2	615579
P30542	102775
P29274	102776
P29275	600446
P0DMS8	600445
Q9NS82	607959
P22760	600338
Q9NRG9	231550;605378
Q15758	109190
Q86V21	614364
P01011	107280
Q8N5Z0	611754
Q6PD74	148600;614888
Q2M2I8	616405
Q9Y478	602740
O43741	602741
P54619	602742
Q9UGJ0	194200;261740;600858;602743
Q9UGI9	604976
Q13685	603488
Q13131	602739
P54646	600497
Q9Y312	617365
Q9BTE6	613212
Q9UDR5	238700;605113;616034
P17174	138180;614419
Q9NY61	608463
P00505	138150
Q96GS6	617942
Q5VST6	617943
Q6PCB6	617944
Q7Z5R6	609036
P31941	607109
Q9UH17	607110
Q9NRW3	607750
Q96AK3	609900
Q8IUX4	608993
Q9HC16	607113
Q6NTF7	610976
O95477	205400;600046;604091
Q9BZC7	600047
Q99758	601615;610921
P78363	153800;248200;601691;601718;604116
Q8WWZ7	612503
Q8N139	612504
Q8IZY2	605414;608907
O94911	612505
Q8IUA7	612507
Q8WWZ4	612508
Q86UK0	242500;601277;607800
Q86UQ4	607807
Q2M3G0	611785
Q9NP58	111600;605452;609153;614497;615402
O75027	300135;301310
Q9NP78	605453
Q9NRK6	605454
O95342	601847;603201;605479
Q09428	240800;256450;600509;602485;606176;610374
O60706	239850;601439;608569;614050
Q96J66	117800;607040
P33897	300100;300371
Q9UBJ2	601081
P28288	170995;616278
O14678	603214;614857
P61221	601213
Q8NE71	603429
Q9UG63	612510
P45844	603076
Q9UNQ0	138900;603756;614490
Q9H172	607784
Q9H222	210250;605459
Q9H221	210250;605460;611465
Q8N2K0	612674;613599
P41238	600130
Q9Y235	604797
Q8WW27	609908
Q96SE0	612195
P08910	612196
Q8WU67	612197
Q8WTS1	275630;604780
O95870	142620
Q8IZP0	603050
Q9NYB9	606442
Q9P2A4	606363
P00519	189980;608232;617602
P42684	164690
O14639	602330
