P31946	PA37438
P62258	PA37440
Q04917	PA37442
P61981	PA37441
P31947	PA177
P27348	PA37443
P63104	PA37444
Q96QU6	PA162375284
Q4AC99	PA164714805
Q15172	PA33672
Q15173	PA33673
Q14738	PA33676
Q16537	PA33677
Q13362	PA33674
P30153	PA33666
P30154	PA33667
P63151	PA33668
Q00005	PA33669
Q66LE6	PA134899040
Q9Y2T4	PA33670
P14060	PA29486
P26439	PA29487
Q9H2F3	PA134940289
Q9Y3L3	PA35732
P78314	PA35733
Q7L8J4	PA142670923
O60239	PA35735
P46952	PA29171
P31937	PA29280
P29372	PA30917
P11171	PA27810
Q13541	PA27715
Q13542	PA27716
O60516	PA27718
Q9NRA8	PA38410
P08195	PA35894
P08908	PA192
P28222	PA29549
P28221	PA29550
P28566	PA29552
P30939	PA29553
P28223	PA193
P41595	PA29554
P28335	PA194
P46098	PA29555
O95264	PA29556
Q8WXA8	PA134925741
Q70Z44	PA134866755
A5X5Y0	PA134900226
Q13639	PA29557
P47898	PA29558
P50406	PA29560
P34969	PA29561
Q9BXI3	PA31799
Q96P26	PA31800
Q9H0P0	PA31802
P49902	PA31801
P21589	PA31804
P52209	PA33229
O95336	PA33240
P05408	PA35724
P36639	PA31830
Q8IZ83	PA134903503
Q676U5	PA134902949
Q8NAA4	PA142672575
P02763	PA260
P19652	PA32818
P01009	PA35509
P04217	PA24356
Q9NQ94	PA162375098
Q5TYW2	PA134953648
Q5SQ80	PA142672619
Q5VUR7	PA143485301
Q4UJ75	PA145149866
P08697	PA35522
P02750	PA134919634
P01023	PA24357
Q9NPC4	PA24359
Q9UNA3	PA134960042
P05067	PA24910
Q96GX2	PA165512339
P30542	PA24583
P29274	PA24584
P29275	PA24585
Q9NS82	PA35918
P22760	PA24363
Q9NRG9	PA24361
Q15758	PA35830
Q86V21	PA134940696
P01011	PA35020
Q8N5Z0	PA24364
Q6PD74	PA165478457
Q2M2I8	PA134990616
Q9Y478	PA33746
O43741	PA33747
P54619	PA33751
Q9UGJ0	PA33752
Q9UGI9	PA33753
Q9H7C9	PA144596486
Q13685	PA24365
Q13131	PA33744
P54646	PA33745
Q9Y312	PA25753
Q4LEZ3	PA164717502
Q9BTE6	PA142670464
Q9UDR5	PA24369
Q8NHS2	PA142671724
P17174	PA28817
Q9NY61	PA128395780
P00505	PA28818
Q7Z5M8	PA162375213
Q96GS6	PA134947443
Q5VST6	PA162385624
Q6PCB6	PA162385639
Q7Z5R6	PA134933955
P31941	PA24891
Q9UH17	PA24892
Q9NRW3	PA24893
Q96AK3	PA24894
Q8IUX4	PA24896
Q9HC16	PA24897
Q6NTF7	PA162376694
O95477	PA24373
Q9BZC7	PA24377
Q99758	PA24378
P78363	PA24379
Q8WWZ7	PA24380
Q8N139	PA24381
Q8IZY2	PA24382
O94911	PA24383
Q8IUA7	PA24384
Q8WWZ4	PA24374
Q86UK0	PA29604
Q86UQ4	PA134925234
