P31946	54816;54817
P62258	57377;57378
Q04917	58300
P61981	57355
P31947	54818;54819
P27348	54380
P63104	57477
Q96QU6	5797;77907
Q4AC99	62089
Q15172	60481;60482
Q15173	60483;60484
Q14738	60149;60150;60151
Q16537	60898;7180
Q13362	24176;59345;59346;59347;59348
P30153	54636
P30154	2377;30144;54637;54638;54639
P63151	57497;57498
Q00005	32258;57832;57833;57834;57835;57836
Q66LE6	65964
Q9Y2T4	85893;85894;85895;85896
P14060	53017
P26439	54346;54347
Q9H2F3	80538;80539
Q9Y3L3	86041;86042
P78314	12870;57557;57558;57559
Q7L8J4	4857;68837
O60239	49268;49269
P46952	55777;55778
P31937	54804
P29372	33913;54553;54554;62987
P11171	52706;52707;52708;52709;52710;52711;52712
Q13541	59525
Q13542	59526
O60516	49454
Q9NRA8	3074;82323;82324
P08195	52082;52083;52084;52085
P08908	52173
P28222	54452
P28221	54451
P28566	54490
P30939	54747
P28223	24094;54453
P41595	55473
P28335	3230;54476
P46098	33864;55722;55723;55724;55725
O95264	50765;50766
Q8WXA8	74998
Q70Z44	68580;68581;68582
A5X5Y0	20309;750;751;752;753
Q13639	59633;59634;59635;59636;59637;59638;59639;59640;7599
P47898	55817
P50406	56219
P34969	54961;54962;54963
Q9BXI3	79426
Q96P26	77604;77605;77606;77607
Q9H0P0	80305;80306;80307;80308
Q969T7	10565;75844
P49902	56174;6498
P21589	53883;53884
P52209	4884;56472
O95336	50807
P05408	51834;51835
P36639	55217;55218;55219;55220
Q8IZ83	71287;71288;71289
Q676U5	65982;65983;65984;65985;65986
Q8NAA4	72661;72662;72663
P02763	51584
P19652	53685
P20848	53815
P01009	51300;51301;51302
P04217	51684;51685
Q9NQ94	82112;82113;82114;82115;82116;82117
Q8NF67	73266
Q5TYW2	65211
Q5SQ80	63791
Q5VUR7	65426
Q4UJ75	62267
A0PJZ0	74
Q96IX9	76866
P08697	52156;52157
P02750	51566
P01023	51307
A8K2U0	1852;26118
A7E2S9	1793;1794
Q5T5F5	64520
Q9NPC4	81966
Q9UNA3	85276
P05067	4307;51774;51775;51776;51777;51778;51779;51780;51781;51782;51783
Q96GX2	76676
P30542	54718;54719
P29274	54531
P29275	54532
Q9NS82	82507
