P01050	DB00001
P24855	DB00003
P00587	DB00004
P20333	DB00005
P01563	DB00011;DB00022;DB00008;DB00034;DB00105
P00750	DB00031;DB00009;DB00015;DB00029
P01588	DB00016;DB00012
P00749	DB00013
P01263	DB00017
P09919	DB00099;DB00019
P04141	DB00020
P37595	DB00023;DB00059
P01225	DB00066;DB00094;DB00024
P00451	DB00025
P18510	DB00026
P01877	DB00028
Q8HXV2	DB00071;DB00030
P01229	DB00044;DB00032
P01579	DB00033
P08709	DB00036
P20809	DB00038
P21781	DB00039
Q8MJ25	DB00040
P60569	DB00041
P10844	DB00042
P01857	DB00065;DB00111;DB00073;DB00074;DB00081;DB00043;DB00051;DB00072
P14013	DB00045
Q00511	DB00049
P58756	DB00052;DB00082
P04062	DB00053;DB00088;DB06720
P04070	DB00055
P01009	DB00058
P01574	DB00060;DB00068
P56658	DB00061
P02768	DB00062
P38567	DB00070
P01865	DB00078
P10845	DB00083
P04746	DB00085
P00779	DB00086
P35475	DB00090
P01233	DB00097
P00740	DB00100
P01127	DB00102
P06280	DB00103
Q70626	DB00109
P01859	DB01269
P01266	DB01584
P16860	DB04899
P98119	DB04925
Q05329	DB04963
P04179	DB04976
P11226	DB05237
P01270	DB05829
P05155	DB06404;DB09228
O00300	DB06511
P01275	DB06655
P01286	DB08869
P06608	DB08886
P06621	DB08898
P43220	DB09045
P41159	DB09046
P34059	DB09051
P38571	DB11563
P12643	DB11639
P01160	DB15591
