A0A024RBG1	NUD4B
A0A075B6H7	KV37
A0A075B6H8	KVD42
A0A075B6H9	LV469
A0A075B6I0	LV861
A0A075B6I1	LV460
A0A075B6I3	LVK55
A0A075B6I4	LVX54
A0A075B6I6	LV150
A0A075B6I7	LV548
A0A075B6I9	LV746
A0A075B6J1	LV537
A0A075B6J2	LV233
A0A075B6J6	LV322
A0A075B6J9	LV218
A0A075B6K0	LV316
A0A075B6K2	LV312
A0A075B6K4	LV310
A0A075B6K5	LV39
A0A075B6K6	LV403
A0A075B6N1	TVB19
A0A075B6N2	TVBT1
A0A075B6N3	TVBX1
A0A075B6N4	TVBY1
A0A075B6P5	KV228
A0A075B6Q5	HV364
A0A075B6R0	TRGV2
A0A075B6R2	HV404
A0A075B6R9	KVD24
A0A075B6S0	TRGJ1
A0A075B6S2	KVD29
A0A075B6S4	KVD17
A0A075B6S5	KV127
A0A075B6S6	KVD30
A0A075B6S9	KV137
A0A075B6T6	TVAL2
A0A075B6T7	TVA6
A0A075B6T8	TVA91
A0A075B6U4	TVA7
A0A075B6V5	TVA36
A0A075B6W5	TVA23
A0A075B6X5	TVA18
A0A075B6Y3	TJA3
A0A075B6Y9	TJA42
A0A075B706	TRDJ1
A0A075B759	PAL4E
A0A075B767	PAL4H
A0A087WSX0	LV545
A0A087WSY4	HV432
A0A087WSY6	KVD15
A0A087WSZ0	KVD08
A0A087WSZ9	TVA30
A0A087WT01	TVA27
A0A087WT02	TVA92
A0A087WT03	TVAZ1
A0A087WTH1	TM265
A0A087WTH5	KCE1B
A0A087WUL8	NBPFJ
A0A087WV53	SPEGN
A0A087WV62	TVB16
A0A087WVF3	TBC3D
A0A087WW87	KV240
A0A087WWA1	P3URF
A0A087WX78	ELB3C
A0A087WXM9	MEIKN
A0A087WXS9	TBC3I
A0A087X0M5	TVB18
A0A087X179	TBC3E
A0A087X1C5	CP2D7
A0A087X1G2	TBC3K
A0A096LNP1	D131B
A0A096LP01	SIM26
A0A096LP49	CC187
A0A096LP55	QCR6L
A0A096LPI5	GVQW2
A0A0A0MRZ7	KVD26
A0A0A0MRZ8	KVD11
A0A0A0MRZ9	LV552
A0A0A0MS00	LV332
A0A0A0MS14	HV145
A0A0A0MS15	HV349
A0A0A0MT36	KVD21
A0A0A0MT70	TJB26
A0A0A0MT76	LJ01
A0A0A0MT78	TJB27
A0A0A0MT87	TJB24
A0A0A0MT89	KJ01
A0A0A0MT94	TJB22
A0A0A0MTA4	TJB25
A0A0A0MTA7	TJB21
A0A0A6YYC5	TVA14
A0A0A6YYD4	TVB13
A0A0A6YYG2	TVB66
A0A0A6YYG3	TVB68
A0A0A6YYJ7	TVA83
A0A0A6YYK1	TVA81
A0A0A6YYK6	TVA16
A0A0A6YYK7	TVA19
A0A0A6YYL3	POTEB
A0A0B4J1U3	LV136
A0A0B4J1U4	TRGV5
A0A0B4J1U6	TVB9
A0A0B4J1U7	HV601
A0A0B4J1V0	HV315
A0A0B4J1V1	HV321
A0A0B4J1V2	HV226
A0A0B4J1V6	HV373
A0A0B4J1V7	HV781
A0A0B4J1X5	HV374
A0A0B4J1X8	HV343
A0A0B4J1Y8	LV949
A0A0B4J1Y9	HV372
A0A0B4J1Z2	KVD43
A0A0B4J200	TJB23
A0A0B4J234	TVA2
A0A0B4J235	TVAM2
A0A0B4J237	TVA82
A0A0B4J238	TVA12
A0A0B4J240	TVA10
A0A0B4J241	TVAM1
A0A0B4J244	TVA3
A0A0B4J245	TVAL1
A0A0B4J248	TVA11
A0A0B4J249	TVA5
A0A0B4J262	TVA86
A0A0B4J263	TVA39
A0A0B4J264	TV381
A0A0B4J265	TVAZ2
A0A0B4J266	TVA41
A0A0B4J268	TVA4
A0A0B4J271	TVAL3
A0A0B4J272	TVA24
A0A0B4J273	TVA34
A0A0B4J274	TVA20
A0A0B4J275	TVA17
A0A0B4J276	TVA25
A0A0B4J277	TVA22
A0A0B4J279	TVA21
A0A0B4J280	TVA40
A0A0B4J2A2	PAL4C
A0A0B4J2D5	GAL3B
A0A0B4J2D9	KVD13
A0A0B4J2E0	TVBL4
A0A0B4J2F0	PIOS1
A0A0B4J2F2	SIK1B
A0A0B4J2H0	HV69D
A0A0C4DH24	KV621
A0A0C4DH25	KVD20
A0A0C4DH26	KVD41
A0A0C4DH27	TRGV8
A0A0C4DH28	TRGV4
A0A0C4DH29	HV103
A0A0C4DH30	HV316
A0A0C4DH31	HV118
A0A0C4DH32	HV320
A0A0C4DH33	HV124
A0A0C4DH34	HV428
A0A0C4DH35	HV335
A0A0C4DH36	HV338
A0A0C4DH38	HV551
A0A0C4DH39	HV158
A0A0C4DH41	HV461
A0A0C4DH42	HV366
A0A0C4DH43	HV70D
A0A0C4DH55	KVD07
A0A0C4DH59	TVB54
A0A0C4DH62	HJ01
A0A0C4DH67	KV108
A0A0C4DH68	KV224
A0A0C4DH69	KV109
A0A0C4DH72	KV106
A0A0C4DH73	KV112
A0A0C5B5G6	MOTSC
A0A0D9SF12	CC163
A0A0G2JMD5	PRA33
A0A0G2JMI3	HV692
A0A0G2JS06	LV539
A0A0J9YVY3	HV741
A0A0J9YWL9	TX13C
A0A0J9YWP8	TJB13
A0A0J9YWX3	TJB16
A0A0J9YX06	TJB12
A0A0J9YX35	HV64D
A0A0J9YX75	TVB69
A0A0J9YX94	PMA6F
A0A0J9YXA8	TJB11
A0A0J9YXG5	TJB14
A0A0J9YXM7	TJB15
A0A0J9YXQ4	PMA6E
A0A0J9YXX1	HV5X1
A0A0J9YXY3	TVB62
A0A0J9YY54	TX13D
A0A0K0K1A3	TVBJ1
A0A0K0K1A5	TVB65
A0A0K0K1B3	TVB30
A0A0K0K1C0	TVBK1
A0A0K0K1C4	TVB27
A0A0K0K1D8	TVB61
A0A0K0K1E9	TVB77
A0A0K0K1G6	TVBJ3
A0A0K0K1G8	TVBJ2
A0A0K2S4Q6	CD3CH
A0A0U1RQE8	GLYLB
A0A0U1RQF7	DP2NB
A0A0U1RQI7	KLF18
A0A0U1RQS6	TM275
A0A0U1RR11	CENL1
A0A0U1RR37	CA232
A0A0U1RRE5	NBDY
A0A0U1RRI6	CENL3
A0A0U1RRK4	LBHD2
A0A0U1RRL7	MMPOS
A0A0U1RRN3	SPTOS
A0A140G945	CRYA2
A0A183	LCE6A
A0A1B0GTC6	CC085
A0A1B0GTD5	TEX49
A0A1B0GTH6	CS2IP
A0A1B0GTI1	CC201
A0A1B0GTI8	TM272
A0A1B0GTK4	F237A
A0A1B0GTK5	F236D
A0A1B0GTL2	CT204
A0A1B0GTQ4	MYMX
A0A1B0GTR0	EDD13
A0A1B0GTR3	CX05A
A0A1B0GTR4	SPRR5
A0A1B0GTS1	HSFX4
A0A1B0GTU1	ZC11B
A0A1B0GTU2	CTXD1
A0A1B0GTW7	LMLN2
A0A1B0GTY4	TEX50
A0A1B0GTZ2	CC196
A0A1B0GU29	SIM28
A0A1B0GU33	TEX53
A0A1B0GU71	C97D2
A0A1B0GUA5	SIM32
A0A1B0GUA6	CC195
A0A1B0GUA7	TEX51
A0A1B0GUA9	CM046
A0A1B0GUC4	MYCOS
A0A1B0GUI7	BRDOS
A0A1B0GUJ8	PNM8C
A0A1B0GUQ0	F236A
A0A1B0GUS0	CS085
A0A1B0GUS4	UB2L5
A0A1B0GUT2	CJ143
A0A1B0GUU1	CQ113
A0A1B0GUV7	TEX48
A0A1B0GUW6	SPEM3
A0A1B0GUW7	SIM27
A0A1B0GUX0	VAFNB
A0A1B0GUY1	MRCOL
A0A1B0GV03	GG6L7
A0A1B0GV22	F236B
A0A1B0GV85	RELD1
A0A1B0GV90	CTXD2
A0A1B0GVD1	F237B
A0A1B0GVG4	CC194
A0A1B0GVG6	TEX54
A0A1B0GVH4	PRS51
A0A1B0GVH6	CM042
A0A1B0GVH7	IQCM
A0A1B0GVK7	F240A
