Lepirudin	DB00001
Cetuximab	DB00002
Dornase_alfa	DB00003
Denileukin_diftitox	DB00004
Etanercept	DB00005
Bivalirudin	DB00006
Leuprolide	DB00007
Peginterferon_alfa-2a	DB00008
Alteplase	DB00009
Sermorelin	DB00010
Darbepoetin_alfa	DB00012
Urokinase	DB00013
Goserelin	DB00014
Reteplase	DB00015
Epoetin_alfa	DB00016
Calcitonin	DB06773;DB00017
Interferon_alfa-n3	DB00018
Pegfilgrastim	DB00019
Sargramostim	DB00020
Peginterferon_alfa-2b	DB00022
Asparaginase	DB08886;DB00023
Thyrotropin_Alfa	DB00024
Antihemophilic_Factor	DB00025
Anakinra	DB00026
Gramicidin_D	DB00027
Anistreplase	DB00029
Insulin	DB00071;DB00030
Tenecteplase	DB00031
Menotropins	DB00032
Interferon_gamma-1b	DB00033
Interferon_Alfa-2a,_Recombinant	DB00034
Desmopressin	DB00035
Factor_VII	DB00036
Oprelvekin	DB00038
Palifermin	DB00039
Glucagon_recombinant	DB00040
Aldesleukin	DB00041
Botulinum_toxin	DB00042
Omalizumab	DB00043
Lutropin_alfa	DB00044
Insulin_lispro	DB00046
Insulin_glargine	DB00047
Collagenase	DB00048
Rasburicase	DB00049
Cetrorelix	DB00050
Adalimumab	DB00051
Somatropin_recombinant	DB00052
Imiglucerase	DB00053
Abciximab	DB00054
Drotrecogin_alfa	DB00055
Gemtuzumab_ozogamicin	DB00056
Alpha_1-antitrypsin	DB00058
Pegaspargase	DB00059
Interferon_beta-1a	DB00060
Pegademase_bovine	DB00061
Serum_albumin	DB00062
Eptifibatide	DB00063
Infliximab	DB00065
Follicle-stimulating_hormone	DB00066
Vasopressin	DB00067;DB14642
Interferon_beta-1b	DB00068
Interferon_alfacon-1	DB00069
Hyaluronidase	DB06205;DB00070;DB14740
Trastuzumab	DB00072
Rituximab	DB00073
Basiliximab	DB00074
Muromonab	DB00075
Digoxin_Immune_Fab	DB00076
Ibritumomab	DB00078
Daptomycin	DB00080
Tositumomab	DB00081
Pegvisomant	DB00082
Botox	DB00083
Pancrelipase	DB00085
Streptokinase	DB00086
Alemtuzumab	DB00087
Alglucerase	DB00088
Indium_(111In)_capromab_pendetide	DB00089
Laronidase	DB00090
Cyclosporine	DB00091
Alefacept	DB00092
Felypressin	DB00093
Urofollitropin	DB00094
Efalizumab	DB00095
Choriogonadotropin_alfa	DB00097
Anti-thymocyte_globulin	DB00098;DB09312
Filgrastim	DB00099
Factor_IX	DB00100
Becaplermin	DB00102
Agalsidase_beta	DB00103
Octreotide	DB00104
Interferon_alfa-2b	DB00105
Abarelix	DB00106
Oxytocin	DB00107
Natalizumab	DB00108
Enfuvirtide	DB00109
Palivizumab	DB00110
Daclizumab	DB00111
Bevacizumab	DB00112
Arcitumomab	DB00113
Pyridoxal-phosphate	DB00114
Cyanocobalamin	DB00115
Tetrahydrofolic_acid	DB00116
L-Histidine	DB00117
S-Adenosylmethionine	DB00118
Pyruvic_acid	DB00119
L-Phenylalanine	DB00120
Biotin	DB00121
Choline	DB00122;DB14006
L-Lysine	DB00123
Arginine	DB04027;DB00125
Vitamin_C	DB00126
Spermine	DB00127
L-Aspartic_Acid	DB00128
Ornithine	DB00129
Glutamine	DB00130
Adenosine_monophosphate	DB00131
Alpha-Linolenic_acid	DB00132
Serine	DB03929;DB00133
Methionine	DB00134;DB13972
Tyrosine	DB00135
Calcitriol	DB00136
Xanthophyll	DB00137
Cystine	DB00138
Succinate	DB00139
Riboflavin	DB00140
N-Acetylglucosamine	DB00141
L-Glutamic_Acid	DB00142
Glutathione	DB00143
Phosphatidylserine	DB00144
Glycine	DB00145
Calcidiol	DB00146
Pyridoxal	DB00147
Creatine	DB00148
Leucine	DB00149
Tryptophan	DB00150
L-Cysteine	DB00151
Thiamine	DB00152
Ergocalciferol	DB00153
Dihomo-gamma-linolenic_acid	DB00154
Citrulline	DB00155
L-Threonine	DB00156
Nicotinamide_adenine_dinucleotide	DB00157;DB14128
Folic_Acid	DB00158
Eicosapentaenoic_acid	DB00159
Alanine	DB00160
L-Valine	DB00161
Vitamin_A	DB00162
Vitamin_E	DB00163
Pyridoxine	DB00165
Lipoic_acid	DB00166
L-Isoleucine	DB00167
Aspartame	DB00168
Cholecalciferol	DB00169
Menadione	DB00170
Adenosine_triphosphate	DB00171
L-Proline	DB00172
Adenine	DB00173
Asparagine	DB00174
Pravastatin	DB00175
Fluvoxamine	DB00176
Valsartan	DB00177
Ramipril	DB00178
Masoprocol	DB00179
Flunisolide	DB00180
Baclofen	DB00181
Amphetamine	DB00182
Pentagastrin	DB00183
Nicotine	DB00184
Cevimeline	DB00185
Lorazepam	DB00186
Esmolol	DB00187
Bortezomib	DB00188
Ethchlorvynol	DB00189
Carbidopa	DB00190
Phentermine	DB00191
Indecainide	DB00192
Tramadol	DB00193
Vidarabine	DB00194
Betaxolol	DB00195
Fluconazole	DB00196
Troglitazone	DB00197
Oseltamivir	DB00198
Erythromycin	DB00199
Hydroxocobalamin	DB00200
Caffeine	DB00201
Succinylcholine	DB00202
Sildenafil	DB00203
Dofetilide	DB00204
Pyrimethamine	DB00205
Reserpine	DB00206
Azithromycin	DB00207
Ticlopidine	DB00208
Trospium	DB00209
Adapalene	DB00210
Midodrine	DB00211
Remikiren	DB00212
Pantoprazole	DB00213
Torasemide	DB00214
Citalopram	DB00215
Eletriptan	DB00216
Bethanidine	DB00217
Moxifloxacin	DB00218
Oxyphenonium	DB00219
Nelfinavir	DB00220
Isoetharine	DB00221
Glimepiride	DB00222
Diflorasone	DB00223
Indinavir	DB00224
Gadodiamide	DB00225
Guanadrel	DB00226
Lovastatin	DB00227
Enflurane	DB00228
Cefotiam	DB00229
Pregabalin	DB00230
Temazepam	DB00231
Methyclothiazide	DB00232
4-Aminosalicylic_acid	DB00233
Reboxetine	DB00234
Milrinone	DB00235
Pipobroman	DB00236
Butabarbital	DB00237
Nevirapine	DB00238
Oxiconazole	DB00239
Alclometasone	DB00240
Butalbital	DB00241
Cladribine	DB00242
Ranolazine	DB00243
Mesalazine	DB00244
Benztropine	DB00245
Ziprasidone	DB00246
Methysergide	DB00247
Cabergoline	DB00248
Idoxuridine	DB00249
Dapsone	DB00250
Terconazole	DB00251
Phenytoin	DB00252
Medrysone	DB00253
Doxycycline	DB00254
Diethylstilbestrol	DB00255
Lymecycline	DB00256
Clotrimazole	DB00257
Calcium_acetate	DB00258
Sulfanilamide	DB00259
Cycloserine	DB00260
Anagrelide	DB00261
Carmustine	DB00262
Sulfisoxazole	DB00263
Metoprolol	DB00264
Crotamiton	DB00265
Dicumarol	DB00266
Cefmenoxime	DB00267
Ropinirole	DB00268
Chlorotrianisene	DB00269
Isradipine	DB00270
Diatrizoate	DB00271
Betazole	DB00272
Topiramate	DB00273
Cefmetazole	DB00274
Olmesartan	DB00275
Amsacrine	DB00276
Theophylline	DB00277
Argatroban	DB00278
Liothyronine	DB00279
Disopyramide	DB00280
Lidocaine	DB00281
Pamidronate	DB00282
Clemastine	DB00283
Acarbose	DB00284
Venlafaxine	DB00285
Conjugated_estrogen	DB09317;DB09318;DB00286
Travoprost	DB00287
Amcinonide	DB00288
Atomoxetine	DB00289
Bleomycin	DB00290
Chlorambucil	DB00291
Etomidate	DB00292
Raltitrexed	DB00293
Etonogestrel	DB00294
Morphine	DB00295
Ropivacaine	DB00296
Bupivacaine	DB00297
Dapiprazole	DB00298
Penciclovir	DB00299
Tenofovir_disoproxil	DB14126;DB00300
Flucloxacillin	DB00301
Tranexamic_acid	DB00302
Ertapenem	DB00303
Desogestrel	DB00304
Mitomycin	DB00305
Talbutal	DB00306
Bexarotene	DB00307
Ibutilide	DB00308
Vindesine	DB00309
Chlorthalidone	DB00310
Ethoxzolamide	DB00311
Pentobarbital	DB00312
Valproic_Acid	DB00313
Capreomycin	DB00314
Zolmitriptan	DB00315
Acetaminophen	DB00316
Gefitinib	DB00317
Codeine	DB00318
Piperacillin	DB00319
Dihydroergotamine	DB00320
Amitriptyline	DB00321
Floxuridine	DB00322
Tolcapone	DB00323
Fluorometholone	DB00324
Nitroprusside	DB00325
Calcium_glucoheptonate	DB00326
Hydromorphone	DB00327
Indomethacin	DB00328
Ethambutol	DB00330
Metformin	DB00331
Ipratropium_bromide	DB00332
Methadone	DB00333
Olanzapine	DB00334
Atenolol	DB13443;DB00335
Nitrofurazone	DB00336
Pimecrolimus	DB00337
Omeprazole	DB00338
Pyrazinamide	DB00339
Metixene	DB00340
Cetirizine	DB00341
Terfenadine	DB00342
Diltiazem	DB00343
Protriptyline	DB00344
Aminohippuric_acid	DB00345
Alfuzosin	DB00346
