PA37438	P31946
PA37440	P62258
PA37442	Q04917;Q9H4N8
PA37441	P61981
PA177	P31947
PA37443	P27348
PA37444	P63104;D0PNI1
PA162375284	Q96QU6
PA164714805	Q4AC99;Q3C1W0
PA33672	Q15172
PA33673	Q15173
PA33676	Q14738
PA33677	Q16537
PA33674	Q13362
PA33666	P30153;A8K7B7
PA33667	P30154
PA33668	P63151
PA33669	Q00005
PA134899040	Q66LE6;Q6PEG1
PA33670	Q9Y2T4
PA29486	P14060
PA29487	P26439
PA134940289	Q9H2F3
PA35732	Q9Y3L3
PA35733	P78314
PA142670923	Q7L8J4
PA35735	O60239
PA29171	P46952
PA29280	P31937
PA30917	P29372;Q1W6H1
PA27810	P11171;Q59F12;Q29RX4;Q1WWM3
PA27715	Q13541
PA27716	Q13542
PA27718	O60516
PA38410	Q9NRA8
PA35894	P08195
PA192	P08908;Q5ZGX3
PA29549	P28222
PA29550	P28221
PA29552	P28566
PA29553	P30939
PA193	P28223
PA29554	P41595
PA194	P28335
PA29555	P46098;B4E398
PA29556	O95264
PA134925741	Q8WXA8
PA134866755	Q70Z44
PA134900226	A5X5Y0
PA29557	Q13639
PA29558	P47898;A4D2N2
PA29560	P50406
PA29561	P34969
PA31799	Q9BXI3
PA31800	Q96P26;B3KUK6
PA31802	Q9H0P0
PA31801	P49902;A8K6K2
PA31804	P21589;B2RBH2;Q6NZX3
PA33229	P52209
PA33240	O95336
PA35724	P05408
PA31830	P36639
PA134903503	Q8IZ83
PA134902949	Q676U5;Q17RG0;Q53SV2
PA142672575	Q8NAA4;Q9H7Q5
PA260	P02763
PA32818	P19652
PA35509	P01009
PA24356	P04217
PA162375098	Q9NQ94
PA134953648	Q5TYW2
PA142672619	Q5SQ80
PA143485301	Q5VUR7
PA145149866	Q4UJ75
PA35522	P08697
PA134919634	P02750;Q68CK4
PA24357	P01023
PA24359	Q9NPC4
PA134960042	Q9UNA3
PA24910	P05067;B4DGD0
PA165512339	Q96GX2
PA24583	P30542
PA24584	P29274;B3KVQ4
PA24585	P29275
PA35918	Q9NS82
PA24363	P22760
PA24361	Q9NRG9
PA35830	Q15758;Q59ES3
PA134940696	Q86V21
PA35020	P01011
PA24364	Q8N5Z0;Q4W5N8
PA165478457	Q6PD74
PA134990616	Q2M2I8
PA33746	Q9Y478
PA33747	O43741
PA33751	P54619
PA33752	Q9UGJ0
