UniRef100_P31946	P31946;V9HWD6
UniRef100_P62258	P62258;V9HW98
UniRef100_Q04917	Q04917;A0A024R1K7
UniRef100_P61981	P61981;B4DHC4
UniRef100_P31947	P31947
UniRef100_P27348	P27348
UniRef100_P63104	P63104;B7Z2E6;B0AZS6;D0PNI1;H0YB80;E7ESK7;Q2F831
UniRef100_Q96QU6	Q96QU6;E9PS61;E9PRT9;A0A0S2Z622
UniRef100_Q4AC99	Q4AC99
UniRef100_Q15172	Q15172
UniRef100_Q15173	Q15173;A0A024R593
UniRef100_Q14738	Q14738;A0A024RD11
UniRef100_Q16537	Q16537
UniRef100_Q13362	Q13362;Q96B13
UniRef100_P30153	P30153;A8K7B7
UniRef100_P30154	P30154
UniRef100_P63151	P63151;E5RFR9;A0A590UJJ1;A0A140VJT0
UniRef100_Q00005	Q00005;Q9NS07
UniRef100_Q66LE6	Q66LE6
UniRef100_Q9Y2T4	Q9Y2T4
UniRef100_P14060	P14060;E9PRN7
UniRef100_P26439	P26439;A0A024R0F9;Q5QP01;A0A0B5HME7
UniRef100_Q9H2F3	Q9H2F3;I3L2H6
UniRef100_Q9Y3L3	Q9Y3L3;A0A2X0SFX7
UniRef100_P78314	P78314;A0A384N6E5
UniRef100_Q7L8J4	Q7L8J4;A0A024R0T2;Q96MW4;Q96ET3
UniRef100_O60239	O60239;A0A024R2J3;B2R7Y8;Q6MZG3
UniRef100_P46952	P46952;C9IY88
UniRef100_P31937	P31937;A0A024RA75
UniRef100_P29372	P29372;Q1W6H1;A2IDA3
UniRef100_P11171	P11171;A0A2R8YD30
UniRef100_Q13541	Q13541
UniRef100_Q13542	Q13542;A0A024QZM3
UniRef100_O60516	O60516
UniRef100_Q9NRA8	Q9NRA8;A0A024R1K0
UniRef100_P08195	P08195
UniRef100_P08908	P08908;Q5ZGX3;D6RA34
UniRef100_P28222	P28222;X5D7I5
UniRef100_P28221	P28221
UniRef100_P28566	P28566
UniRef100_P30939	P30939;Q9P2Q4
UniRef100_P28223	P28223;B3VRB0;Q9P2Q9;B3VRC0
UniRef100_P41595	P41595;B3VRD5;B3VRC5
UniRef100_P28335	P28335;B3VRE0;B3VRF0
UniRef100_P46098	P46098;Q9UEP2
UniRef100_O95264	O95264;B3VRL0;B3VRM0;B3VRP5;B3VRP0;B3VRN5;B3VRN0;B3VRL5;B3VRK5
UniRef100_Q8WXA8	Q8WXA8
UniRef100_Q70Z44	Q70Z44
UniRef100_A5X5Y0	A5X5Y0
UniRef100_Q13639	Q13639;A0A2D3FAF9
UniRef100_P47898	P47898;A4D2N2;Q86UN1;Q75LH0
UniRef100_P50406	P50406
UniRef100_P34969	P34969
UniRef100_Q9BXI3	Q9BXI3
UniRef100_Q96P26	Q96P26;A0A140VJC7
UniRef100_Q9H0P0	Q9H0P0;A0A090N7U2;C9K084;X6RM59
UniRef100_Q969T7	Q969T7
UniRef100_P49902	P49902;A0A384MED8
UniRef100_P21589	P21589
UniRef100_P52209	P52209;B4DV68
UniRef100_O95336	O95336;A0A0K0K1K7
UniRef100_P05408	P05408;A0A024R9I1
UniRef100_P36639	P36639;A0A024R858
UniRef100_P0DKL9	P0DKL9
UniRef100_Q8IZ83	Q8IZ83
UniRef100_Q676U5	Q676U5;Q17RG0;Q53SV2
UniRef100_Q8NAA4	Q8NAA4;F5H7B6
UniRef100_P02763	P02763;V9HWF6
UniRef100_P19652	P19652
UniRef100_P20848	P20848
UniRef100_P01009	P01009;E9KL23;G3V544;A0A0B4J278;G3V387;G3V5R8;G3V2B9;Q3I0J7;A6YP93
UniRef100_P04217	P04217;V9HWD8
UniRef100_Q9NQ94	Q9NQ94;Q5T0W7;A0A024QZM7;Q7Z2U9
UniRef100_Q8NF67	Q8NF67
UniRef100_Q5TYW2	Q5TYW2;A0A384NKR9
UniRef100_Q5SQ80	Q5SQ80
UniRef100_Q5VUR7	Q5VUR7
UniRef100_Q4UJ75	Q4UJ75
UniRef100_A0PJZ0	A0PJZ0
UniRef100_Q96IX9	Q96IX9
UniRef100_P08697	P08697;C9JMH6
UniRef100_P02750	P02750
UniRef100_P01023	P01023
UniRef100_A8K2U0	A8K2U0;H0YGG5
UniRef100_A7E2S9	A7E2S9
UniRef100_U3KPV4	U3KPV4
UniRef100_Q5T5F5	Q5T5F5
