P31946	9606.ENSP00000361930
P62258	9606.ENSP00000264335
Q04917	9606.ENSP00000248975
P61981	9606.ENSP00000306330
P31947	9606.ENSP00000340989
P27348	9606.ENSP00000371267
P63104	9606.ENSP00000379287
Q96QU6	9606.ENSP00000263776
Q4AC99	9606.ENSP00000368109
Q15172	9606.ENSP00000261461
Q15173	9606.ENSP00000164133
Q14738	9606.ENSP00000417963
Q16537	9606.ENSP00000337641
Q13362	9606.ENSP00000412324
P30153	9606.ENSP00000324804
P30154	9606.ENSP00000311344
P63151	9606.ENSP00000325074
Q00005	9606.ENSP00000377936
Q66LE6	9606.ENSP00000399970
Q9Y2T4	9606.ENSP00000335083
P14060	9606.ENSP00000358421
P26439	9606.ENSP00000445122
Q9H2F3	9606.ENSP00000297679
Q9Y3L3	9606.ENSP00000350018
P78314	9606.ENSP00000422168
Q7L8J4	9606.ENSP00000355428
O60239	9606.ENSP00000373301
P46952	9606.ENSP00000294973
P31937	9606.ENSP00000265395
P29372	9606.ENSP00000219431
P11171	9606.ENSP00000345259
Q13541	9606.ENSP00000340691
Q13542	9606.ENSP00000362314
O60516	9606.ENSP00000308472
Q9NRA8	9606.ENSP00000380659
P08195	9606.ENSP00000367123
P08908	9606.ENSP00000316244
P28222	9606.ENSP00000358963
P28221	9606.ENSP00000363748
P28566	9606.ENSP00000307766
P30939	9606.ENSP00000322924
P28223	9606.ENSP00000437737
P41595	9606.ENSP00000258400
P28335	9606.ENSP00000276198
P46098	9606.ENSP00000347754
O95264	9606.ENSP00000260191
Q8WXA8	9606.ENSP00000322617
Q70Z44	9606.ENSP00000371929
A5X5Y0	9606.ENSP00000406050
Q13639	9606.ENSP00000353915
P47898	9606.ENSP00000287907
P50406	9606.ENSP00000289753
P34969	9606.ENSP00000337949
Q9BXI3	9606.ENSP00000235628
Q96P26	9606.ENSP00000352904
Q9H0P0	9606.ENSP00000484415
Q969T7	9606.ENSP00000389948
P49902	9606.ENSP00000339479
P21589	9606.ENSP00000257770
P52209	9606.ENSP00000270776
O95336	9606.ENSP00000252603
P05408	9606.ENSP00000300175
P36639	9606.ENSP00000380241
P0DKL9	9606.ENSP00000472409
Q8IZ83	9606.ENSP00000293350
Q676U5	9606.ENSP00000375872
Q8NAA4	9606.ENSP00000326340
P02763	9606.ENSP00000259396
P19652	9606.ENSP00000394936
P01009	9606.ENSP00000416066
P04217	9606.ENSP00000263100
Q9NQ94	9606.ENSP00000378868
Q5TYW2	9606.ENSP00000477695
Q5SQ80	9606.ENSP00000366826
Q5VUR7	9606.ENSP00000482325
Q4UJ75	9606.ENSP00000349891
P08697	9606.ENSP00000321853
P02750	9606.ENSP00000302621
P01023	9606.ENSP00000323929
A8K2U0	9606.ENSP00000299698
A7E2S9	9606.ENSP00000386398
U3KPV4	9606.ENSP00000475261
Q9NPC4	9606.ENSP00000384794
Q9UNA3	9606.ENSP00000236709
P05067	9606.ENSP00000284981
Q96GX2	9606.ENSP00000430000
P30542	9606.ENSP00000356205
P29274	9606.ENSP00000480012
P29275	9606.ENSP00000304501
Q9NS82	9606.ENSP00000253188
P22760	9606.ENSP00000232892
Q9NRG9	9606.ENSP00000209873
Q15758	9606.ENSP00000444408
Q86V21	9606.ENSP00000324842
P01011	9606.ENSP00000450540
Q8N5Z0	9606.ENSP00000423190
Q6PD74	9606.ENSP00000261880
Q2M2I8	9606.ENSP00000386456
Q9Y478	9606.ENSP00000229328
O43741	9606.ENSP00000254101
P54619	9606.ENSP00000323867
Q9UGJ0	9606.ENSP00000287878
Q9UGI9	9606.ENSP00000397133
Q9H7C9	9606.ENSP00000431808
Q13685	9606.ENSP00000248450
Q13131	9606.ENSP00000346148
P54646	9606.ENSP00000360290
Q9Y312	9606.ENSP00000363043
Q4LEZ3	9606.ENSP00000367528
Q9BTE6	9606.ENSP00000400870
Q9UDR5	9606.ENSP00000377040
Q8NHS2	9606.ENSP00000303077
P17174	9606.ENSP00000359539
Q9NY61	9606.ENSP00000477848
P00505	9606.ENSP00000245206
Q7Z5M8	9606.ENSP00000336693
Q5VST6	9606.ENSP00000366240
Q6PCB6	9606.ENSP00000258884
Q7Z5R6	9606.ENSP00000365411
P31941	9606.ENSP00000384359
Q9UH17	9606.ENSP00000327459
Q9NRW3	9606.ENSP00000355340
Q96AK3	9606.ENSP00000216099
Q8IUX4	9606.ENSP00000309749
Q9HC16	9606.ENSP00000385057
Q6NTF7	9606.ENSP00000385741
O95477	9606.ENSP00000363868
Q9BZC7	9606.ENSP00000344155
Q99758	9606.ENSP00000301732
P78363	9606.ENSP00000359245
Q8WWZ7	9606.ENSP00000376443
Q8N139	9606.ENSP00000284425
Q8IZY2	9606.ENSP00000263094
O94911	9606.ENSP00000467271
Q8IUA7	9606.ENSP00000342216
Q8WWZ4	9606.ENSP00000269081
Q86UK0	9606.ENSP00000272895
Q86UQ4	9606.ENSP00000411096
Q2M3G0	9606.ENSP00000384881
Q9NP58	9606.ENSP00000265316
O75027	9606.ENSP00000253577
Q9NP78	9606.ENSP00000440288
Q9NRK6	9606.ENSP00000355637
O95342	9606.ENSP00000263817
Q09428	9606.ENSP00000303960
O60706	9606.ENSP00000261200
Q96J66	9606.ENSP00000378230
P33897	9606.ENSP00000218104
Q9UBJ2	9606.ENSP00000310688
P28288	9606.ENSP00000359233
O14678	9606.ENSP00000349396
P61221	9606.ENSP00000296577
Q8NE71	9606.ENSP00000313603
Q9UG63	9606.ENSP00000222388
Q9NUQ8	9606.ENSP00000411471
P45844	9606.ENSP00000354995
Q9UNQ0	9606.ENSP00000237612
Q9H172	9606.ENSP00000481728
Q9H222	9606.ENSP00000260645
Q9H221	9606.ENSP00000272286
Q8N2K0	9606.ENSP00000365725
Q0P651	9606.ENSP00000381937
P41238	9606.ENSP00000229304
Q9Y235	9606.ENSP00000244669
Q8WW27	9606.ENSP00000310622
Q6UXT9	9606.ENSP00000302657
Q96SE0	9606.ENSP00000326491
P08910	9606.ENSP00000268129
Q8WU67	9606.ENSP00000289119
Q8TB40	9606.ENSP00000414558
Q8WTS1	9606.ENSP00000390849
Q9BV23	9606.ENSP00000420315
Q96I13	9606.ENSP00000247706
Q9NUJ1	9606.ENSP00000273359
Q8NFV4	9606.ENSP00000222800
Q7L211	9606.ENSP00000365063
Q9BUJ0	9606.ENSP00000273596
Q96IU4	9606.ENSP00000420065
O95870	9606.ENSP00000379282
Q9H3Z7	9606.ENSP00000358932
Q8IZP0	9606.ENSP00000365312
Q9NYB9	9606.ENSP00000295851
Q9P2A4	9606.ENSP00000225941
Q9NX38	9606.ENSP00000363753
P00519	9606.ENSP00000361423
P42684	9606.ENSP00000427562
O14639	9606.ENSP00000277895
Q6H8Q1	9606.ENSP00000393511
O94929	9606.ENSP00000425394
Q9P1F3	9606.ENSP00000356632
Q8N0Z2	9606.ENSP00000311436
Q6UWZ7	9606.ENSP00000369857
Q15018	9606.ENSP00000298492
Q12979	9606.ENSP00000303909
Q9ULW3	9606.ENSP00000274849
Q969K4	9606.ENSP00000232744
Q8N961	9606.ENSP00000410157
Q13085	9606.ENSP00000483300
O00763	9606.ENSP00000341044
Q9UKU7	9606.ENSP00000281182
Q9H845	9606.ENSP00000312618
P28330	9606.ENSP00000233710
P11310	9606.ENSP00000359871
P16219	9606.ENSP00000242592
P49748	9606.ENSP00000438689
Q15027	9606.ENSP00000158762
Q15057	9606.ENSP00000324287
Q96P50	9606.ENSP00000346733
O00400	9606.ENSP00000376587
Q5T8D3	9606.ENSP00000379568
Q9BR61	9606.ENSP00000356567
Q8N6N7	9606.ENSP00000367453
Q96GR2	9606.ENSP00000258873
Q5FVE4	9606.ENSP00000465589
P07108	9606.ENSP00000439012
Q6JQN1	9606.ENSP00000389813
Q709F0	9606.ENSP00000264990
P45954	9606.ENSP00000357873
Q96AP0	9606.ENSP00000483117
Q9BYF1	9606.ENSP00000389326
Q8TDN7	9606.ENSP00000301452
Q5QJU3	9606.ENSP00000342609
Q9NUN7	9606.ENSP00000434480
P22303	9606.ENSP00000303211
P12821	9606.ENSP00000290866
Q9GZZ6	9606.ENSP00000250699
Q15822	9606.ENSP00000385026
P32297	9606.ENSP00000315602
P43681	9606.ENSP00000359285
P30532	9606.ENSP00000299565
Q15825	9606.ENSP00000276410
P36544	9606.ENSP00000407546
Q9UGM1	9606.ENSP00000312663
P02708	9606.ENSP00000261007
P17787	9606.ENSP00000357461
Q05901	9606.ENSP00000289957
P30926	9606.ENSP00000261751
P11230	9606.ENSP00000304290
Q07001	9606.ENSP00000258385
Q04844	9606.ENSP00000293780
P07510	9606.ENSP00000374145
Q9UKV3	9606.ENSP00000262710
Q07912	9606.ENSP00000371341
Q6P4H8	9606.ENSP00000422338
Q16570	9606.ENSP00000357103
O00590	9606.ENSP00000416996
P25106	9606.ENSP00000272928
Q9NPB9	9606.ENSP00000249887
Q5JWF8	9606.ENSP00000329647
O96019	9606.ENSP00000397552
O94805	9606.ENSP00000160382
Q9Y615	9606.ENSP00000334300
Q9Y614	9606.ENSP00000363799
P53396	9606.ENSP00000253792
P11229	9606.ENSP00000306490
P08172	9606.ENSP00000399745
P20309	9606.ENSP00000255380
P08173	9606.ENSP00000409378
P08912	9606.ENSP00000372750
Q8TDX5	9606.ENSP00000348459
Q8WXI4	9606.ENSP00000360366
Q8WYK0	9606.ENSP00000303246
Q9NPJ3	9606.ENSP00000230048
P21399	9606.ENSP00000309477
O00767	9606.ENSP00000359380
Q99798	9606.ENSP00000216254
Q86TX2	9606.ENSP00000311224
P49753	9606.ENSP00000238651
Q8N9L9	9606.ENSP00000323071
Q3I5F7	9606.ENSP00000370531
O14734	9606.ENSP00000217455
Q9Y305	9606.ENSP00000368605
Q15067	9606.ENSP00000293217
Q99424	9606.ENSP00000307697
O15254	9606.ENSP00000348775
Q9NUZ1	9606.ENSP00000407761
Q6ZNF0	9606.ENSP00000327557
P13798	9606.ENSP00000296456
O14561	9606.ENSP00000458770
Q8NEB7	9606.ENSP00000229243
Q96QF7	9606.ENSP00000362799
P10323	9606.ENSP00000216139
Q08AH3	9606.ENSP00000459451
Q68CK6	9606.ENSP00000327453
Q9NUB1	9606.ENSP00000316924
Q9NR19	9606.ENSP00000253382
Q96CM8	9606.ENSP00000401831
Q4G176	9606.ENSP00000479130
Q4L235	9606.ENSP00000205214
P33121	9606.ENSP00000422607
O95573	9606.ENSP00000350012
O60488	9606.ENSP00000339787
Q9ULC5	9606.ENSP00000348429
Q9UKU0	9606.ENSP00000368566
