hsa:7529	P31946;V9HWD6
hsa:7531	P62258;V9HW98
hsa:7533	Q04917;A0A024R1K7;Q9H4N8
hsa:7532	P61981
hsa:2810	P31947
hsa:10971	P27348
hsa:7534	P63104;D0PNI1
hsa:84680	Q96QU6;A0A0S2Z622
hsa:390110	Q4AC99;Q3C1W0
hsa:5525	Q15172
hsa:5526	Q15173;A0A024R593
hsa:5528	Q14738;A0A024RD11
hsa:5529	Q16537
hsa:5527	Q13362
hsa:5518	P30153;A8K7B7
hsa:5519	P30154
hsa:5520	P63151;A0A140VJT0
hsa:5521	Q00005
hsa:55844	Q66LE6
hsa:5522	Q9Y2T4
hsa:3283	P14060
hsa:3284	P26439;A0A024R0F9
hsa:80270	Q9H2F3
hsa:23616	Q9Y3L3;A0A2X0SFX7
hsa:6452	P78314;A0A384N6E5
hsa:80851	Q7L8J4;A0A024R0T2
hsa:9467	O60239
hsa:23498	P46952
hsa:11112	P31937;A0A024RA75
hsa:4350	P29372;Q1W6H1
hsa:2035	P11171;Q59F12;Q1WWM3
hsa:1978	Q13541
hsa:1979	Q13542;A0A024QZM3
hsa:8637	O60516
hsa:56478	Q9NRA8;A0A024R1K0
hsa:6520	P08195
hsa:3350	P08908;Q5ZGX3;A8K5W4
hsa:3351	P28222;X5D7I5;A8K215
hsa:3352	P28221
hsa:3354	P28566
hsa:3355	P30939
hsa:3356	P28223
hsa:3357	P41595
hsa:3358	P28335
hsa:3359	P46098;B4E398
hsa:9177	O95264
hsa:170572	Q8WXA8
hsa:200909	Q70Z44
hsa:285242	A5X5Y0
hsa:3360	Q13639;A0A2D3FAF9
hsa:3361	P47898;A4D2N2
hsa:3362	P50406
hsa:3363	P34969
hsa:84618	Q9BXI3
hsa:100526794	Q96P26
hsa:93034	Q96P26;A0A140VJC7
hsa:51251	Q9H0P0
hsa:115024	Q969T7
hsa:22978	P49902;A0A384MED8;A8K6K2
hsa:4907	P21589;Q6NZX3
hsa:5226	P52209
hsa:25796	O95336;A0A0K0K1K7
hsa:6447	P05408;A0A024R9I1
hsa:4521	P36639;A0A024R858
hsa:644100	P0DKL9
hsa:126133	Q8IZ83
hsa:55054	Q676U5;Q17RG0
hsa:89849	Q8NAA4;Q9H7Q5
hsa:5004	P02763
hsa:5005	P19652
hsa:5265	P01009;E9KL23
hsa:1	P04217;V9HWD8
hsa:29974	Q9NQ94;A0A024QZI9;B4E1E3
hsa:84210	Q5TYW2;A0A384NKR9
hsa:441430	Q5SQ80
hsa:441425	Q5VUR7;B2RTT7
hsa:728747	Q4UJ75
hsa:5345	P08697
hsa:116844	P02750;Q68CK4
hsa:2	P01023
hsa:144568	A8K2U0;B3KVV6
hsa:127550	U3KPV4
hsa:53947	Q9NPC4;A0A0S2Z5J1
hsa:51146	Q9UNA3
hsa:351	P05067;A0A140VJC8
hsa:552889	Q96GX2
hsa:134	P30542
hsa:135	P29274;X5DNB4;B3KVQ4
hsa:136	P29275
hsa:140	P0DMS8
hsa:56301	Q9NS82
hsa:13	P22760
hsa:8086	Q9NRG9
hsa:6510	Q15758;Q59ES3
hsa:65985	Q86V21;A0A024RBV2
hsa:12	P01011;A0A024R6P0
hsa:51166	Q8N5Z0;Q4W5N8
hsa:79719	Q6PD74
hsa:22848	Q2M2I8
hsa:5564	Q9Y478;A0A024RBN1
hsa:5565	O43741
hsa:5571	P54619;A0A024R125
hsa:51422	Q9UGJ0;A0A090N8Q6
hsa:53632	Q9UGI9
hsa:28971	Q9H7C9
hsa:14	Q13685
hsa:5562	Q13131
hsa:5563	P54646
hsa:25980	Q9Y312
hsa:441376	Q4LEZ3;B2RU19
hsa:100885850	Q9BTE6
hsa:80755	Q9BTE6
hsa:10157	Q9UDR5;A4D0W4
