K16197	P31946;P27348;P63104;D0PNI1;V9HWD6
K06630	P62258;V9HW98
K16198	Q04917;P61981;A0A024R1K7;Q9H4N8
K06644	P31947
K11584	Q15172;Q15173;Q14738;Q16537;Q13362;A0A024R593;A0A024RD11
K03456	P30153;P30154;A8K7B7
K04354	P63151;Q00005;Q66LE6;Q9Y2T4;A0A140VJT0
K00070	P14060;P26439;A0A024R0F9
K12408	Q9H2F3
K20652	Q9Y3L3;A0A2X0SFX7
K07984	P78314;A0A384N6E5
K23739	Q7L8J4;O60239;A0A024R0T2
K00452	P46952
K00020	P31937;A0A024RA75
K03652	P29372;Q1W6H1
K06107	P11171;Q9H4G0;O43491;Q9Y2J2;I6L9B1;Q59F12;Q1WWM3
K07205	Q13541
K18644	Q13542;A0A024QZM3
K18645	O60516
K18728	Q9NRA8;A0A024R1K0
K06519	P08195
K04153	P08908;P28222;P28221;P28566;P30939;Q5ZGX3;X5D7I5;A8K215;A8K5W4
K04157	P28223;P41595;P28335
K04819	P46098;O95264;Q8WXA8;Q70Z44;A5X5Y0;B4E398
K04160	Q13639;A0A2D3FAF9
K04161	P47898;A4D2N2
K04162	P50406
K04163	P34969
K01081	Q9BXI3;Q96P26;Q9H0P0;Q969T7;P49902;Q8TCD5;Q9NPB1;V9HWF3;A0A140VJC7;A0A384MED8;A8K6K2
K19970	P21589;Q6NZX3
K00033	P52209
K01057	O95336;A0A0K0K1K7
K17816	P36639;A0A024R858
K17890	Q676U5;Q17RG0
K20868	Q8NAA4;Q9H7Q5
K17308	P02763;P19652
K03984	P01009;E9KL23
K17299	Q5TYW2;Q5SQ80;H3BUK9;Q6S8J7;A0A0A6YYL3;B2RU33;Q86YR6;Q6S8J3;A5A3E0;Q6S5H5;Q6S545;P0CG38;P0CG39;A6NI47;Q495V5;A0A384NKR9
K03983	P08697
K03910	P01023
K23593	A8K2U0;B3KVV6
K20736	U3KPV4
K01988	Q9NPC4;A0A0S2Z5J1
K08251	Q9UNA3
K04520	P05067;A0A140VJC8
K04265	P30542
K04266	P29274;X5DNB4;B3KVQ4
K04267	P29275
K04268	P0DMS8
K13782	Q9NS82
K13616	P22760
K14320	Q9NRG9
K05616	Q15758;Q59ES3
K01907	Q86V21;A0A024RBV2
K04525	P01011;P08185;P29622;Q86U17;Q8IW75;Q86WD7;Q9UK55;A0A024R6I9;A0A024R6P0;A0A024R6I6;A0A0G2JPK4;A0A2Z4LCH4;S4UD68
K00825	Q8N5Z0;Q4W5N8
K08853	Q2M2I8
K07199	Q9Y478;O43741;A0A024RBN1
K07200	P54619;Q9UGJ0;Q9UGI9;A0A024R125;A0A090N8Q6
K07198	Q13131;P54646
K13205	Q9Y312
K07050	Q9BTE6
K14157	Q9UDR5;A4D0W4
K14454	P17174;A0A140VK69
K14782	Q9NY61
K14455	P00505
K13705	Q7Z5M8
K01076	Q96GS6;Q5VST6;Q6PCB6;A0A384MEH9
K17704	Q7Z5R6
K18750	P31941;Q9UH17;Q9NRW3;Q8IUX4;Q9HC16;Q6NTF7;A0A0K0MJ49
K05641	O95477;B7XCW9;B2RUU2
